name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,ML_ALGORITHM,ERROR_TYPE,BEST_METHOD
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,DECISION_TREES,uniform,KNN
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,DECISION_TREES,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,DECISION_TREES,row-based,STANDARD
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,KNN,uniform,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,KNN,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,KNN,row-based,DROP_ROWS
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,NAIVE_BAYES,uniform,KNN
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,NAIVE_BAYES,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,NAIVE_BAYES,row-based,DROP_ROWS
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,LOGISTIC_REGR,uniform,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,LOGISTIC_REGR,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,LOGISTIC_REGR,row-based,DROP_ROWS
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,DECISION_TREES,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,DECISION_TREES,column-based,MF
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,DECISION_TREES,row-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,KNN,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,KNN,column-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,KNN,row-based,DROP_ROWS
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,NAIVE_BAYES,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,NAIVE_BAYES,column-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,NAIVE_BAYES,row-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,LOGISTIC_REGR,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,LOGISTIC_REGR,column-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,LOGISTIC_REGR,row-based,DROP_ROWS
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,DECISION_TREES,uniform,KNN
