name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD
car,lug_boot,1728,5,0.0,1.0,0.8432,69248,0.0017,8.2712,0.9051,0.0,0.0514,-0.2995,categorical,None,None,0.4878,dt,impute_logistic_regression
car,lug_boot,1728,5,0.0,1.0,0.8403,69248,0.0017,7.5803,0.9603,0.0,0.0514,-0.2995,categorical,None,None,0.4086,dt,impute_logistic_regression
car,lug_boot,1728,5,0.0,1.0,0.8403,69248,0.0017,5.3605,1.0164,0.0,0.0514,-0.2995,categorical,None,None,0.305,dt,impute_logistic_regression
car,lug_boot,1728,5,0.0,1.0,0.8403,69248,0.0017,12.1806,1.0564,0.0,0.0514,-0.2995,categorical,None,None,0.2031,dt,impute_logistic_regression
car,lug_boot,1728,5,0.0,1.0,0.8466,69248,0.0017,11.6891,1.0833,0.0,0.0514,-0.2995,categorical,None,None,0.1013,dt,impute_logistic_regression
car,lug_boot,1728,5,0.0,1.0,0.8432,69248,0.0017,8.2712,0.9051,0.0,0.0514,-0.2995,categorical,None,None,0.4878,lr,impute_bfill
car,lug_boot,1728,5,0.0,1.0,0.8403,69248,0.0017,7.5803,0.9603,0.0,0.0514,-0.2995,categorical,None,None,0.4086,lr,impute_logistic_regression
car,lug_boot,1728,5,0.0,1.0,0.8403,69248,0.0017,5.3605,1.0164,0.0,0.0514,-0.2995,categorical,None,None,0.305,lr,impute_bfill
car,lug_boot,1728,5,0.0,1.0,0.8403,69248,0.0017,12.1806,1.0564,0.0,0.0514,-0.2995,categorical,None,None,0.2031,lr,impute_bfill
car,lug_boot,1728,5,0.0,1.0,0.8466,69248,0.0017,11.6891,1.0833,0.0,0.0514,-0.2995,categorical,None,None,0.1013,lr,impute_bfill
car,doors,1728,5,0.0,1.0,0.8466,69248,0.0017,8.0826,0.9048,0.0,0.0514,-0.2811,categorical,None,None,0.4878,dt,impute_logistic_regression
car,doors,1728,5,0.0,1.0,0.8455,69248,0.0017,7.3674,0.9603,0.0,0.0514,-0.2914,categorical,None,None,0.4086,dt,impute_logistic_regression
car,doors,1728,5,0.0,1.0,0.8438,69248,0.0017,5.3348,1.0164,0.0,0.0514,-0.3015,categorical,None,None,0.305,dt,impute_logistic_regression
car,doors,1728,5,0.0,1.0,0.8426,69248,0.0017,4.1988,1.0563,0.0,0.0514,-0.2827,categorical,None,None,0.2031,dt,impute_logistic_regression
car,doors,1728,5,0.0,1.0,0.8466,69248,0.0017,5.0619,1.0833,0.0,0.0514,-0.2947,categorical,None,None,0.1013,dt,impute_logistic_regression
car,doors,1728,5,0.0,1.0,0.8466,69248,0.0017,8.0826,0.9048,0.0,0.0514,-0.2811,categorical,None,None,0.4878,lr,impute_bfill
car,doors,1728,5,0.0,1.0,0.8455,69248,0.0017,7.3674,0.9603,0.0,0.0514,-0.2914,categorical,None,None,0.4086,lr,impute_logistic_regression
car,doors,1728,5,0.0,1.0,0.8438,69248,0.0017,5.3348,1.0164,0.0,0.0514,-0.3015,categorical,None,None,0.305,lr,impute_logistic_regression
car,doors,1728,5,0.0,1.0,0.8426,69248,0.0017,4.1988,1.0563,0.0,0.0514,-0.2827,categorical,None,None,0.2031,lr,impute_bfill
car,doors,1728,5,0.0,1.0,0.8466,69248,0.0017,5.0619,1.0833,0.0,0.0514,-0.2947,categorical,None,None,0.1013,lr,impute_bfill
car,index,1728,5,0.0,1.0,0.8571,69248,0.0023,4.0019,1.0524,0.0,0.0402,-0.2995,categorical,None,None,0.4878,dt,impute_bfill
car,index,1728,5,0.0,1.0,0.8553,69248,0.0023,3.4667,1.1298,0.0,0.0612,-0.2995,categorical,None,None,0.4086,dt,impute_logistic_regression
car,index,1728,5,0.0,1.0,0.8536,69248,0.0023,2.5239,1.2163,0.0,0.0612,-0.2995,categorical,None,None,0.305,dt,impute_bfill
car,index,1728,5,0.0,1.0,0.853,69248,0.0023,1.9491,1.2851,0.0,0.0473,-0.2995,categorical,None,None,0.2031,dt,impute_logistic_regression
car,index,1728,5,0.0,1.0,0.8553,69248,0.0023,1.0051,1.3418,0.0,0.0402,-0.2995,categorical,None,None,0.1013,dt,impute_bfill
car,index,1728,5,0.0,1.0,0.8571,69248,0.0023,4.0019,1.0524,0.0,0.0402,-0.2995,categorical,None,None,0.4878,lr,impute_logistic_regression
car,index,1728,5,0.0,1.0,0.8553,69248,0.0023,3.4667,1.1298,0.0,0.0612,-0.2995,categorical,None,None,0.4086,lr,impute_logistic_regression
car,index,1728,5,0.0,1.0,0.8536,69248,0.0023,2.5239,1.2163,0.0,0.0612,-0.2995,categorical,None,None,0.305,lr,impute_logistic_regression
car,index,1728,5,0.0,1.0,0.853,69248,0.0023,1.9491,1.2851,0.0,0.0473,-0.2995,categorical,None,None,0.2031,lr,impute_logistic_regression
car,index,1728,5,0.0,1.0,0.8553,69248,0.0023,1.0051,1.3418,0.0,0.0402,-0.2995,categorical,None,None,0.1013,lr,no_impute
car,buying,1728,5,0.0,1.0,0.8582,69248,0.0023,4.0046,1.0524,0.0,0.0514,-0.2995,categorical,None,None,0.4878,dt,impute_logistic_regression
car,buying,1728,5,0.0,1.0,0.8565,69248,0.0023,3.7095,1.13,0.0,0.0514,-0.2995,categorical,None,None,0.4086,dt,impute_bfill
car,buying,1728,5,0.0,1.0,0.8553,69248,0.0023,2.2065,1.2153,0.0,0.0514,-0.2995,categorical,None,None,0.305,dt,impute_bfill
car,buying,1728,5,0.0,1.0,0.8542,69248,0.0023,1.8916,1.2854,0.0,0.0514,-0.2995,categorical,None,None,0.2031,dt,impute_logistic_regression
car,buying,1728,5,0.0,1.0,0.8582,69248,0.0023,0.9353,1.3418,0.0,0.0514,-0.2995,categorical,None,None,0.1013,dt,impute_logistic_regression
car,buying,1728,5,0.0,1.0,0.8582,69248,0.0023,4.0046,1.0524,0.0,0.0514,-0.2995,categorical,None,None,0.4878,lr,impute_logistic_regression
car,buying,1728,5,0.0,1.0,0.8565,69248,0.0023,3.7095,1.13,0.0,0.0514,-0.2995,categorical,None,None,0.4086,lr,impute_logistic_regression
car,buying,1728,5,0.0,1.0,0.8553,69248,0.0023,2.2065,1.2153,0.0,0.0514,-0.2995,categorical,None,None,0.305,lr,impute_logistic_regression
car,buying,1728,5,0.0,1.0,0.8542,69248,0.0023,1.8916,1.2854,0.0,0.0514,-0.2995,categorical,None,None,0.2031,lr,impute_bfill
car,buying,1728,5,0.0,1.0,0.8582,69248,0.0023,0.9353,1.3418,0.0,0.0514,-0.2995,categorical,None,None,0.1013,lr,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3014,20168,0.014,2.3475,0.6019,0.4,0.8142,-0.0046,categorical,None,None,0.4711,dt,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3154,20168,0.014,2.3478,0.5967,0.4,0.8142,-0.0292,categorical,None,None,0.3952,dt,no_impute
house,SaleType,501,5,0.6,0.4,0.3134,20168,0.012,3.2917,0.5416,0.4,0.8142,-0.0723,categorical,None,None,0.2994,dt,no_impute
house,SaleType,501,5,0.6,0.4,0.3333,20168,0.016,1.7572,0.529,0.4,0.8142,-0.0395,categorical,None,None,0.1796,dt,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3553,20168,0.016,1.7571,0.4925,0.4,0.8142,-0.0429,categorical,None,None,0.0858,dt,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3014,20168,0.014,2.3475,0.6019,0.4,0.8142,-0.0046,categorical,None,None,0.4711,lr,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3154,20168,0.014,2.3478,0.5967,0.4,0.8142,-0.0292,categorical,None,None,0.3952,lr,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3134,20168,0.012,3.2917,0.5416,0.4,0.8142,-0.0723,categorical,None,None,0.2994,lr,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3333,20168,0.016,1.7572,0.529,0.4,0.8142,-0.0395,categorical,None,None,0.1796,lr,impute_logistic_regression
house,SaleType,501,5,0.6,0.4,0.3553,20168,0.016,1.7571,0.4925,0.4,0.8142,-0.0429,categorical,None,None,0.0858,lr,impute_logistic_regression
house,GarageYrBlt,501,5,0.6,0.4,0.3194,20168,0.1517,0.0149,2.4844,0.4,0.822,-0.0447,numerical,1978.6565,24.451,0.4711,dt,impute_linear_regression
house,GarageYrBlt,501,5,0.6,0.4,0.3253,20168,0.1657,0.0123,2.804,0.4,0.8532,-0.0447,numerical,1977.352,25.9742,0.3952,dt,impute_linear_regression
house,GarageYrBlt,501,5,0.6,0.4,0.3234,20168,0.1677,0.0119,3.1588,0.4,0.8139,-0.0447,numerical,1978.1211,24.6103,0.2994,dt,impute_bfill
house,GarageYrBlt,501,5,0.6,0.4,0.3353,20168,0.1756,0.0108,3.5827,0.4,0.82,-0.0447,numerical,1977.3356,25.5736,0.1796,dt,no_impute
house,GarageYrBlt,501,5,0.6,0.4,0.3573,20168,0.1796,0.0102,3.899,0.4,0.8215,-0.0447,numerical,1977.0665,25.2933,0.0858,dt,impute_mean
house,GarageYrBlt,501,5,0.6,0.4,0.3194,20168,0.1517,0.0149,2.4844,0.4,0.822,-0.0447,numerical,1978.6565,24.451,0.4711,lr,impute_linear_regression
house,GarageYrBlt,501,5,0.6,0.4,0.3253,20168,0.1657,0.0123,2.804,0.4,0.8532,-0.0447,numerical,1977.352,25.9742,0.3952,lr,impute_bfill
house,GarageYrBlt,501,5,0.6,0.4,0.3234,20168,0.1677,0.0119,3.1588,0.4,0.8139,-0.0447,numerical,1978.1211,24.6103,0.2994,lr,no_impute
house,GarageYrBlt,501,5,0.6,0.4,0.3353,20168,0.1756,0.0108,3.5827,0.4,0.82,-0.0447,numerical,1977.3356,25.5736,0.1796,lr,impute_linear_regression
house,GarageYrBlt,501,5,0.6,0.4,0.3573,20168,0.1796,0.0102,3.899,0.4,0.8215,-0.0447,numerical,1977.0665,25.2933,0.0858,lr,impute_linear_regression
house,YearBuilt,501,5,0.6,0.4,0.3134,20168,0.1517,0.0149,2.4894,0.4,0.822,-0.0116,numerical,1972.9019,30.1112,0.4711,dt,impute_bfill
house,YearBuilt,501,5,0.6,0.4,0.3154,20168,0.1756,0.0108,2.8311,0.4,0.8532,-0.0292,numerical,1971.6469,31.7913,0.3952,dt,impute_mean
house,YearBuilt,501,5,0.6,0.4,0.3134,20168,0.1776,0.0105,3.2046,0.4,0.8139,-0.0723,numerical,1971.5613,30.9475,0.2994,dt,no_impute
house,YearBuilt,501,5,0.6,0.4,0.3313,20168,0.1856,0.0095,3.6426,0.4,0.82,-0.0395,numerical,1971.0998,31.3437,0.1796,dt,impute_bfill
house,YearBuilt,501,5,0.6,0.4,0.3553,20168,0.1936,0.0087,3.9672,0.4,0.8215,-0.0429,numerical,1970.6681,31.3258,0.0858,dt,impute_mean
house,YearBuilt,501,5,0.6,0.4,0.3134,20168,0.1517,0.0149,2.4894,0.4,0.822,-0.0116,numerical,1972.9019,30.1112,0.4711,lr,no_impute
