name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD
users,CT,322,5,0.0,1.0,0.9224,13008,0.0124,6.44,0.9875,nan,nan,nan,categorical,None,None,0.4689,nb,impute_logistic_regression
users,CT,322,5,0.0,1.0,0.9161,13008,0.0124,6.292,1.0367,nan,nan,nan,categorical,None,None,0.3913,nb,impute_logistic_regression
users,CT,322,5,0.0,1.0,0.9193,13008,0.0124,6.0342,1.1028,nan,nan,nan,categorical,None,None,0.295,nb,impute_logistic_regression
users,CT,322,5,0.0,1.0,0.9193,13008,0.0124,5.9636,1.1498,nan,nan,nan,categorical,None,None,0.1894,nb,impute_logistic_regression
users,CT,322,5,0.0,1.0,0.9255,13008,0.0124,5.7406,1.1796,nan,nan,nan,categorical,None,None,0.118,nb,impute_logistic_regression
users,CT,322,5,0.0,1.0,0.9224,13008,0.0124,6.44,0.9875,nan,nan,nan,categorical,None,None,0.4689,knn,impute_bfill
users,CT,322,5,0.0,1.0,0.9161,13008,0.0124,6.292,1.0367,nan,nan,nan,categorical,None,None,0.3913,knn,impute_bfill
users,CT,322,5,0.0,1.0,0.9193,13008,0.0124,6.0342,1.1028,nan,nan,nan,categorical,None,None,0.295,knn,impute_bfill
users,CT,322,5,0.0,1.0,0.9193,13008,0.0124,5.9636,1.1498,nan,nan,nan,categorical,None,None,0.1894,knn,impute_bfill
users,CT,322,5,0.0,1.0,0.9255,13008,0.0124,5.7406,1.1796,nan,nan,nan,categorical,None,None,0.118,knn,impute_bfill
users,CU,322,5,0.0,1.0,0.9224,13008,0.0093,12.3776,0.6578,nan,nan,nan,categorical,None,None,0.4689,nb,impute_logistic_regression
users,CU,322,5,0.0,1.0,0.913,13008,0.0124,7.2649,0.7003,nan,nan,nan,categorical,None,None,0.3913,nb,impute_logistic_regression
users,CU,322,5,0.0,1.0,0.9193,13008,0.0093,13.97,0.6612,nan,nan,nan,categorical,None,None,0.295,nb,impute_logistic_regression
users,CU,322,5,0.0,1.0,0.9193,13008,0.0124,6.9671,0.7121,nan,nan,nan,categorical,None,None,0.1894,nb,impute_logistic_regression
users,CU,322,5,0.0,1.0,0.9255,13008,0.0124,7.1239,0.6745,nan,nan,nan,categorical,None,None,0.118,nb,impute_logistic_regression
users,CU,322,5,0.0,1.0,0.9224,13008,0.0093,12.3776,0.6578,nan,nan,nan,categorical,None,None,0.4689,knn,no_impute
users,CU,322,5,0.0,1.0,0.913,13008,0.0124,7.2649,0.7003,nan,nan,nan,categorical,None,None,0.3913,knn,no_impute
users,CU,322,5,0.0,1.0,0.9193,13008,0.0093,13.97,0.6612,nan,nan,nan,categorical,None,None,0.295,knn,no_impute
users,CU,322,5,0.0,1.0,0.9193,13008,0.0124,6.9671,0.7121,nan,nan,nan,categorical,None,None,0.1894,knn,impute_bfill
users,CU,322,5,0.0,1.0,0.9255,13008,0.0124,7.1239,0.6745,nan,nan,nan,categorical,None,None,0.118,knn,no_impute
users,LT,322,5,0.0,1.0,0.9255,13008,0.0124,5.3009,0.9686,nan,nan,nan,categorical,None,None,0.4689,nb,impute_logistic_regression
users,LT,322,5,0.0,1.0,0.9224,13008,0.0124,5.1784,1.001,nan,nan,nan,categorical,None,None,0.3913,nb,impute_logistic_regression
users,LT,322,5,0.0,1.0,0.9255,13008,0.0124,4.4829,1.073,nan,nan,nan,categorical,None,None,0.295,nb,impute_logistic_regression
users,LT,322,5,0.0,1.0,0.9255,13008,0.0124,4.5548,1.111,nan,nan,nan,categorical,None,None,0.1894,nb,impute_logistic_regression
users,LT,322,5,0.0,1.0,0.9286,13008,0.0124,7.2931,1.1299,nan,nan,nan,categorical,None,None,0.118,nb,impute_logistic_regression
users,LT,322,5,0.0,1.0,0.9255,13008,0.0124,5.3009,0.9686,nan,nan,nan,categorical,None,None,0.4689,knn,no_impute
users,LT,322,5,0.0,1.0,0.9224,13008,0.0124,5.1784,1.001,nan,nan,nan,categorical,None,None,0.3913,knn,no_impute
users,LT,322,5,0.0,1.0,0.9255,13008,0.0124,4.4829,1.073,nan,nan,nan,categorical,None,None,0.295,knn,impute_logistic_regression
users,LT,322,5,0.0,1.0,0.9255,13008,0.0124,4.5548,1.111,nan,nan,nan,categorical,None,None,0.1894,knn,no_impute
users,LT,322,5,0.0,1.0,0.9286,13008,0.0124,7.2931,1.1299,nan,nan,nan,categorical,None,None,0.118,knn,no_impute
users,TC,322,5,0.0,1.0,0.9193,13008,0.0124,2.5459,0.9978,nan,nan,nan,categorical,None,None,0.4689,nb,impute_logistic_regression
users,TC,322,5,0.0,1.0,0.913,13008,0.0124,2.1953,1.091,nan,nan,nan,categorical,None,None,0.3913,nb,impute_logistic_regression
users,TC,322,5,0.0,1.0,0.9161,13008,0.0124,1.9487,1.1348,nan,nan,nan,categorical,None,None,0.295,nb,impute_logistic_regression
users,TC,322,5,0.0,1.0,0.9161,13008,0.0124,2.8331,1.214,nan,nan,nan,categorical,None,None,0.1894,nb,impute_logistic_regression
users,TC,322,5,0.0,1.0,0.9224,13008,0.0124,4.2658,1.2476,nan,nan,nan,categorical,None,None,0.118,nb,impute_logistic_regression
users,TC,322,5,0.0,1.0,0.9193,13008,0.0124,2.5459,0.9978,nan,nan,nan,categorical,None,None,0.4689,knn,impute_bfill
users,TC,322,5,0.0,1.0,0.913,13008,0.0124,2.1953,1.091,nan,nan,nan,categorical,None,None,0.3913,knn,impute_bfill
users,TC,322,5,0.0,1.0,0.9161,13008,0.0124,1.9487,1.1348,nan,nan,nan,categorical,None,None,0.295,knn,impute_bfill
users,TC,322,5,0.0,1.0,0.9161,13008,0.0124,2.8331,1.214,nan,nan,nan,categorical,None,None,0.1894,knn,impute_bfill
users,TC,322,5,0.0,1.0,0.9224,13008,0.0124,4.2658,1.2476,nan,nan,nan,categorical,None,None,0.118,knn,impute_bfill
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9866,160968,0.0022,1.3636,1.1078,0.0,0.5526,-0.5665,categorical,None,None,0.4932,nb,no_impute
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9866,160968,0.0022,1.3619,1.2202,0.0,0.5526,-0.5839,categorical,None,None,0.3937,nb,no_impute
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9866,160968,0.0022,1.3505,1.3057,0.0,0.5526,-0.5839,categorical,None,None,0.3039,nb,impute_bfill
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9866,160968,0.0022,1.3563,1.3801,0.0,0.553,-0.583,categorical,None,None,0.1975,nb,impute_bfill
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9871,160968,0.0022,1.3461,1.4574,0.0,0.5526,-0.58,categorical,None,None,0.0923,nb,no_impute
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9866,160968,0.0022,1.3636,1.1078,0.0,0.5526,-0.5665,categorical,None,None,0.4932,knn,impute_logistic_regression
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9866,160968,0.0022,1.3619,1.2202,0.0,0.5526,-0.5839,categorical,None,None,0.3937,knn,impute_logistic_regression
