name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,ML_ALGORITHM,BEST_METHOD
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,dt,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,lr,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,knn,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,nb,impute_standard
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,dt,impute_mode
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,lr,impute_linear_regression
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,knn,impute_mode
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,nb,impute_knn
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,dt,impute_knn
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,lr,impute_knn
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,knn,impute_knn
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,nb,impute_linear_regression
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,dt,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,lr,impute_linear_regression
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,knn,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,nb,impute_knn
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,dt,impute_mode
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,lr,impute_knn
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,knn,no_impute
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,nb,impute_mode
