name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.4982,dt,no_impute
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.4023,dt,no_impute
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.3082,dt,no_impute
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.2061,dt,impute_mean
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.1032,dt,no_impute
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.4982,lr,impute_mean
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.4023,lr,impute_mean
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.3082,lr,impute_mean
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.2061,lr,impute_mean
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6208,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.5857,numerical,3.2152,2.9886,0.1032,lr,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.4982,dt,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.4023,dt,no_impute
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.3082,dt,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.2061,dt,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.1032,dt,no_impute
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.4982,lr,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.4023,lr,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.3082,lr,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.2061,lr,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6208,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.5857,numerical,3.1508,3.0651,0.1032,lr,impute_mean
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6208,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.5857,numerical,3.5447,3.6439,0.4982,dt,impute_mean
