name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD1,SCORE1,BEST_METHOD2,SCORE2,BEST_METHOD3,SCORE3
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,dt,impute_knn,0.9496958068428034,impute_standard,0.9487358326413797,impute_mean,0.9478030054042047
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,dt,impute_knn,0.9506050307183074,impute_linear_regression,0.9505482040189686,impute_mean,0.9496824625010531
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2892,dt,impute_linear_regression,0.95441561179942,impute_knn,0.951589524842898,no_impute,0.9506290923607266
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.21,dt,impute_mean,0.9515757222204,no_impute,0.9506290923607266,impute_knn,0.9506290923607266
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.0917,dt,impute_random,0.9525223520800732,no_impute,0.9515757222203998,impute_median,0.9506290923607263
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,lr,impute_knn,0.9462363942339009,no_impute,0.9453515937741432,impute_random,0.9453049008581511
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,lr,impute_mode,0.9472656059620375,impute_median,0.9463537556902837,impute_mean,0.9454123739603715
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2892,lr,impute_random,0.946340571743408,impute_knn,0.9462363942339009,impute_linear_regression,0.9462363942339009
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.21,lr,impute_knn,0.9480799018480179,impute_linear_regression,0.9480387495846434,impute_random,0.9453352165585297
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.0917,lr,impute_random,0.9481593617482662,impute_linear_regression,0.9480387495846434,impute_mode,0.9471518307432072
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,knn,impute_standard,0.9536990148822941,impute_mode,0.952748337073495,impute_std,0.9518749760580055
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,knn,impute_std,0.9490422027061014,impute_standard,0.949021626574414,impute_knn,0.9471485415985962
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2892,knn,impute_knn,0.9536127326981308,impute_mean,0.9519156580610532,no_impute,0.9509811982556257
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.21,knn,impute_knn,0.9545166361178516,no_impute,0.9535682903000184,impute_linear_regression,0.952685360397687
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.0917,knn,impute_random,0.955414856452859,impute_mode,0.9545320999166567,no_impute,0.9545129202104209
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,nb,impute_standard,0.9480387495846434,impute_std,0.9480387495846434,impute_random,0.9480387495846434
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,nb,impute_knn,0.9489721851908233,impute_random,0.9480428910622147,impute_standard,0.9480387495846434
