name, column_name,ML_ALGORITHM,BEST_METHOD1,BEST_METHOD2,BEST_METHOD3
iris,sepal_length,dt,impute_knn,impute_linear_regression,impute_mean
iris,sepal_length,lr,impute_knn,impute_random,impute_linear_regression
iris,sepal_length,knn,impute_knn,impute_standard,impute_std
iris,sepal_length,nb,impute_standard,impute_knn,no_impute
iris,sepal_width,dt,impute_mode,impute_linear_regression,no_impute
iris,sepal_width,lr,impute_linear_regression,no_impute,impute_mode
iris,sepal_width,knn,impute_mode,impute_median,no_impute
iris,sepal_width,nb,impute_random,impute_knn,impute_std
iris,petal_length,dt,impute_knn,impute_linear_regression,impute_random
iris,petal_length,lr,impute_knn,impute_linear_regression,impute_median
iris,petal_length,knn,impute_knn,impute_linear_regression,impute_median
iris,petal_length,nb,impute_linear_regression,impute_median,no_impute
iris,petal_width,dt,impute_knn,impute_standard,impute_median
iris,petal_width,lr,impute_linear_regression,impute_knn,impute_standard
iris,petal_width,knn,impute_knn,impute_linear_regression,impute_mean
iris,petal_width,nb,impute_knn,impute_linear_regression,impute_median
cancer,Uniformity_of_Cell_Size,dt,impute_random,impute_mode,impute_median
cancer,Uniformity_of_Cell_Size,lr,impute_knn,impute_linear_regression,impute_standard
cancer,Uniformity_of_Cell_Size,knn,no_impute,impute_linear_regression,impute_knn
cancer,Uniformity_of_Cell_Size,nb,impute_mode,impute_knn,impute_median
cancer,Uniformity_of_Cell_Shape,dt,impute_median,impute_random,impute_mode
cancer,Uniformity_of_Cell_Shape,lr,impute_knn,impute_linear_regression,impute_std
cancer,Uniformity_of_Cell_Shape,knn,impute_linear_regression,impute_standard,impute_mode
cancer,Uniformity_of_Cell_Shape,nb,impute_mode,impute_standard,impute_median
cancer,Bare_Nuclei,dt,impute_linear_regression,impute_knn,no_impute
cancer,Bare_Nuclei,lr,impute_knn,impute_linear_regression,impute_std
cancer,Bare_Nuclei,knn,impute_std,impute_knn,impute_random
cancer,Bare_Nuclei,nb,impute_knn,impute_random,impute_std
cancer,Bland_Chromatin,dt,impute_knn,impute_median,impute_standard
cancer,Bland_Chromatin,lr,impute_knn,impute_std,impute_standard
cancer,Bland_Chromatin,knn,impute_median,no_impute,impute_mean
cancer,Bland_Chromatin,nb,impute_random,no_impute,impute_standard
wine,alcohol,dt,no_impute,impute_mean,impute_linear_regression
wine,alcohol,lr,impute_median,impute_mean,no_impute
wine,alcohol,knn,impute_median,impute_knn,impute_mean
wine,alcohol,nb,impute_median,impute_knn,impute_linear_regression
wine,sulphates,dt,impute_median,impute_knn,no_impute
wine,sulphates,lr,no_impute,impute_median,impute_mean
wine,sulphates,knn,impute_linear_regression,impute_knn,impute_median
wine,sulphates,nb,impute_standard,impute_linear_regression,no_impute
wine,total sulfur dioxide,dt,impute_std,impute_standard,impute_knn
wine,total sulfur dioxide,lr,impute_knn,no_impute,impute_linear_regression
wine,total sulfur dioxide,knn,impute_knn,impute_median,impute_std
wine,total sulfur dioxide,nb,impute_knn,impute_median,impute_linear_regression
wine,volatile acidity,dt,impute_mode,impute_median,no_impute
wine,volatile acidity,lr,impute_linear_regression,impute_mode,impute_knn
wine,volatile acidity,knn,no_impute,impute_std,impute_median
wine,volatile acidity,nb,impute_standard,impute_std,impute_random
letter,x-ege,dt,impute_knn,impute_standard,impute_std
letter,x-ege,lr,impute_knn,impute_std,impute_linear_regression
letter,x-ege,knn,impute_knn,impute_std,impute_linear_regression
letter,x-ege,nb,impute_knn,impute_linear_regression,no_impute
letter,y2bar,dt,impute_knn,no_impute,impute_mean
letter,y2bar,lr,impute_knn,impute_linear_regression,impute_mode
letter,y2bar,knn,impute_knn,no_impute,impute_standard
letter,y2bar,nb,impute_knn,impute_mode,impute_linear_regression
letter,y-ege,dt,impute_knn,impute_mode,impute_mean
letter,y-ege,lr,impute_knn,impute_mode,impute_linear_regression
letter,y-ege,knn,impute_knn,impute_mean,impute_standard
letter,y-ege,nb,impute_std,no_impute,impute_mode
letter,xy2br,dt,impute_mode,impute_median,impute_mean
letter,xy2br,lr,impute_knn,impute_mean,no_impute
letter,xy2br,knn,no_impute,impute_knn,impute_mean
letter,xy2br,nb,impute_knn,impute_mode,impute_linear_regression
car,lug_boot,dt,no_impute,impute_standard,impute_knn
car,lug_boot,lr,impute_standard,impute_random,no_impute
car,lug_boot,knn,no_impute,impute_random,impute_knn
car,lug_boot,nb,no_impute,impute_knn,impute_logistic_regression
car,doors,dt,impute_knn,no_impute,impute_logistic_regression
car,doors,lr,no_impute,impute_logistic_regression,impute_knn
car,doors,knn,impute_knn,no_impute,impute_random
car,doors,nb,impute_standard,impute_mode,no_impute
car,index,dt,impute_standard,no_impute,impute_knn
car,index,lr,impute_logistic_regression,impute_standard,impute_mode
car,index,knn,no_impute,impute_knn,impute_standard
car,index,nb,no_impute,impute_logistic_regression,impute_standard
car,buying,dt,impute_standard,no_impute,impute_knn
car,buying,lr,impute_mode,impute_logistic_regression,impute_knn
car,buying,knn,impute_standard,no_impute,impute_knn
car,buying,nb,impute_standard,no_impute,impute_logistic_regression
users,CT,dt,impute_logistic_regression,impute_knn,impute_standard
users,CT,lr,impute_mode,no_impute,impute_standard
users,CT,knn,impute_knn,impute_mode,no_impute
users,CT,nb,impute_knn,impute_logistic_regression,impute_random
users,CU,dt,no_impute,impute_standard,impute_mode
users,CU,lr,impute_random,no_impute,impute_standard
users,CU,knn,impute_knn,no_impute,impute_mode
users,CU,nb,impute_knn,impute_logistic_regression,no_impute
users,LT,dt,no_impute,impute_knn,impute_standard
users,LT,lr,no_impute,impute_standard,impute_random
users,LT,knn,impute_knn,impute_mode,no_impute
users,LT,nb,impute_logistic_regression,impute_knn,impute_random
users,TC,dt,impute_knn,impute_logistic_regression,no_impute
users,TC,lr,no_impute,impute_standard,impute_mode
users,TC,knn,impute_knn,impute_logistic_regression,no_impute
users,TC,nb,impute_knn,impute_logistic_regression,no_impute
bank,duration,dt,impute_linear_regression,impute_std,impute_knn
bank,duration,lr,impute_linear_regression,no_impute,impute_mean
bank,duration,knn,impute_median,impute_linear_regression,impute_mode
bank,duration,nb,impute_standard,impute_mode,impute_median
bank,age,dt,impute_std,impute_linear_regression,no_impute
bank,age,lr,impute_mean,impute_linear_regression,impute_median
bank,age,knn,impute_knn,impute_mean,impute_linear_regression
bank,age,nb,impute_median,no_impute,impute_mode
