name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD
car,1728,7,0.0,1.0,0.2633,96896,0.0021,0.0023,0.0017,6.4492,8.8499,4.0019,0.9507,1.0524,0.8358,nan,nan,nan,0.4266,dt,impute_knn
car,1728,7,0.0,1.0,0.1279,96896,0.0021,0.0023,0.0017,5.3084,7.0366,3.2055,1.0242,1.1514,0.8358,nan,nan,nan,0.3392,dt,impute_mice
car,1728,7,0.0,1.0,0.0723,96896,0.0021,0.0023,0.0017,5.4598,12.7908,2.4576,1.0785,1.2304,0.8358,nan,nan,nan,0.2587,dt,impute_mice
car,1728,7,0.0,1.0,0.0457,96896,0.0021,0.0023,0.0017,5.8922,12.2385,1.813,1.1213,1.285,0.8358,nan,nan,nan,0.1768,dt,impute_mice
car,1728,7,0.0,1.0,0.0185,96896,0.0021,0.0023,0.0017,2.5465,6.7984,0.8385,1.1582,1.3401,0.8358,nan,nan,nan,0.0857,dt,impute_mice
car,1728,7,0.0,1.0,0.2633,96896,0.0021,0.0023,0.0017,6.4492,8.8499,4.0019,0.9507,1.0524,0.8358,nan,nan,nan,0.4266,lr,impute_mice
car,1728,7,0.0,1.0,0.1279,96896,0.0021,0.0023,0.0017,5.3084,7.0366,3.2055,1.0242,1.1514,0.8358,nan,nan,nan,0.3392,lr,no_impute
car,1728,7,0.0,1.0,0.0723,96896,0.0021,0.0023,0.0017,5.4598,12.7908,2.4576,1.0785,1.2304,0.8358,nan,nan,nan,0.2587,lr,no_impute
car,1728,7,0.0,1.0,0.0457,96896,0.0021,0.0023,0.0017,5.8922,12.2385,1.813,1.1213,1.285,0.8358,nan,nan,nan,0.1768,lr,no_impute
car,1728,7,0.0,1.0,0.0185,96896,0.0021,0.0023,0.0017,2.5465,6.7984,0.8385,1.1582,1.3401,0.8358,nan,nan,nan,0.0857,lr,no_impute
cancer,683,10,1.0,0.0,0.0337,54768,0.0132,0.0146,0.0029,2.0682,11.2555,0.7717,1.0862,1.4231,0.6474,0.7,0.915,0.3182,0.441,dt,impute_knn
cancer,683,10,1.0,0.0,0.0322,54768,0.0133,0.0146,0.0029,2.0018,11.2555,0.694,1.1823,1.5409,0.6474,0.9,0.9275,0.344,0.3611,dt,impute_linear_and_logistic
cancer,683,10,1.0,0.0,0.0366,54768,0.0133,0.0146,0.0029,2.0325,11.2555,0.7943,1.287,1.7106,0.6474,0.8,0.9004,0.303,0.2657,dt,impute_linear_and_logistic
cancer,683,10,1.0,0.0,0.0864,54768,0.0133,0.0146,0.0029,2.0295,11.2555,0.8496,1.353,1.8851,0.6474,0.9,0.9064,0.361,0.1791,dt,impute_linear_and_logistic
cancer,683,10,1.0,0.0,0.1435,54768,0.0133,0.0146,0.0029,1.9951,11.2555,0.7679,1.4104,1.9754,0.6474,0.9,0.9053,0.3279,0.0924,dt,impute_mice
cancer,683,10,1.0,0.0,0.0337,54768,0.0132,0.0146,0.0029,2.0682,11.2555,0.7717,1.0862,1.4231,0.6474,0.7,0.915,0.3182,0.441,lr,impute_knn
cancer,683,10,1.0,0.0,0.0322,54768,0.0133,0.0146,0.0029,2.0018,11.2555,0.694,1.1823,1.5409,0.6474,0.9,0.9275,0.344,0.3611,lr,impute_linear_and_logistic
cancer,683,10,1.0,0.0,0.0366,54768,0.0133,0.0146,0.0029,2.0325,11.2555,0.7943,1.287,1.7106,0.6474,0.8,0.9004,0.303,0.2657,lr,impute_linear_and_logistic
cancer,683,10,1.0,0.0,0.0864,54768,0.0133,0.0146,0.0029,2.0295,11.2555,0.8496,1.353,1.8851,0.6474,0.9,0.9064,0.361,0.1791,lr,impute_mice
cancer,683,10,1.0,0.0,0.1435,54768,0.0133,0.0146,0.0029,1.9951,11.2555,0.7679,1.4104,1.9754,0.6474,0.9,0.9053,0.3279,0.0924,lr,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.0006,153632,0.0621,0.197,0.0038,0.278,3.1739,0.0008,2.3012,3.0355,1.1846,0.1667,0.7155,-0.6685,0.4546,dt,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.0,153632,0.0655,0.2139,0.0038,0.2764,3.1739,0.0007,2.622,3.4795,1.1846,0.0,0.6883,-0.7072,0.3703,dt,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.0,153632,0.0697,0.2439,0.0038,0.2763,3.1739,0.0005,2.9659,4.1787,1.1846,0.0,0.6784,-0.689,0.2776,dt,impute_knn
wine,1599,12,1.0,0.0,0.0013,153632,0.0728,0.252,0.0038,0.2753,3.1739,0.0005,3.2972,4.5802,1.1846,0.0,0.6976,-0.6896,0.1815,dt,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.0194,153632,0.0743,0.262,0.0038,0.275,3.1739,0.0004,3.5813,5.0744,1.1846,0.0,0.6802,-0.6893,0.0961,dt,impute_knn
wine,1599,12,1.0,0.0,0.0006,153632,0.0621,0.197,0.0038,0.278,3.1739,0.0008,2.3012,3.0355,1.1846,0.1667,0.7155,-0.6685,0.4546,lr,impute_knn
wine,1599,12,1.0,0.0,0.0,153632,0.0655,0.2139,0.0038,0.2764,3.1739,0.0007,2.622,3.4795,1.1846,0.0,0.6883,-0.7072,0.3703,lr,impute_mice
wine,1599,12,1.0,0.0,0.0,153632,0.0697,0.2439,0.0038,0.2763,3.1739,0.0005,2.9659,4.1787,1.1846,0.0,0.6784,-0.689,0.2776,lr,impute_mice
wine,1599,12,1.0,0.0,0.0013,153632,0.0728,0.252,0.0038,0.2753,3.1739,0.0005,3.2972,4.5802,1.1846,0.0,0.6976,-0.6896,0.1815,lr,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.0194,153632,0.0743,0.262,0.0038,0.275,3.1739,0.0004,3.5813,5.0744,1.1846,0.0,0.6802,-0.6893,0.0961,lr,impute_knn
