name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD1,SCORE1,BEST_METHOD2,SCORE2,BEST_METHOD3,SCORE3
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.4002,dt,impute_standard,0.8008804187972666,impute_median,0.7904901215875093,impute_std,0.7902844066811805
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.3192,dt,impute_standard,0.8401705012673657,impute_mice,0.8394595466121102,impute_std,0.8359872002943157
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.2395,dt,impute_mice,0.8804238232409126,impute_soft,0.8796400362892237,impute_linear_and_logistic,0.869799248559293
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.1682,dt,impute_soft,0.9148280974739829,impute_mice,0.9138252715840081,impute_linear_and_logistic,0.9091215787079744
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.0782,dt,impute_soft,0.9451707353002163,impute_knn,0.9449913551184995,no_impute,0.9415912251646714
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.4002,lr,impute_mice,0.8431037654681932,impute_median,0.8424310508940147,impute_mean,0.8186948409984018
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.3192,lr,impute_mice,0.8643130186268653,impute_median,0.8379213319010895,impute_knn,0.8342869735612406
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.2395,lr,impute_mice,0.8983552980344218,impute_knn,0.894669512479961,impute_linear_and_logistic,0.8794459650267504
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.1682,lr,impute_mice,0.931212410129242,impute_median,0.9181450679906651,impute_linear_and_logistic,0.9124852407646665
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.0782,lr,impute_soft,0.9471474090699585,impute_mice,0.9443727711978745,impute_knn,0.9426091496581349
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.4002,knn,impute_mice,0.8118804075761494,impute_knn,0.7918336391058695,impute_soft,0.7829772206534507
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.3192,knn,impute_mice,0.8651723093391264,impute_linear_and_logistic,0.840418387671529,impute_knn,0.8316593760298628
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.2395,knn,impute_mice,0.9075998778581583,impute_knn,0.907317991688586,impute_soft,0.8933843621819615
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,0.1682,knn,impute_soft,0.950563220293784,impute_mice,0.9334479760513227,impute_linear_and_logistic,0.9252579506576313
