Coupons,Year,Quarter,Origin,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCountry,OriginStateFips,OriginState,OriginStateName,OriginWac,RoundTrip,OnLine,DollarCred,FarePerMile,RPCarrier,Passengers,ItinFare,BulkFare,Distance,DistanceGroup,MilesFlown,ItinGeoType
2,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.1006,AS,4.0,563.0,0.0,5594.0,12,5594.0,1
2,2021,1,EWR,11618,1161802,31703,US,34,NJ,New Jersey,21,1.0,1.0,1,0.1481,UA,1.0,484.0,0.0,3268.0,7,3268.0,1
4,2021,1,SLC,14869,1486903,34614,US,49,UT,Utah,87,1.0,0.0,1,0.0017,DL,1.0,11.0,0.0,6423.0,13,6323.0,1
2,2021,1,OGG,13830,1383002,33830,US,15,HI,Hawaii,2,0.0,0.0,1,0.0507,UA,1.0,138.0,0.0,2722.0,6,2722.0,1
4,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,1.0,1.0,1,0.0026,AA,1.0,11.0,0.0,4268.0,9,4268.0,1
2,2021,1,DEN,11292,1129202,30325,US,8,CO,Colorado,82,0.0,0.0,1,0.0809,OO,3.0,200.0,0.0,2472.0,5,2472.0,1
2,2021,1,LGB,12954,1295407,32575,US,6,CA,California,91,1.0,1.0,1,0.0833,HA,3.0,428.0,0.0,5138.0,11,5138.0,1
2,2021,1,SAN,14679,1467903,33570,US,6,CA,California,91,1.0,1.0,1,0.2676,AS,1.0,1368.0,0.0,5112.0,11,5112.0,1
1,2021,1,JNU,12523,1252306,32523,US,2,AK,Alaska,1,0.0,1.0,1,0.7895,AS,1.0,75.0,0.0,95.0,1,95.0,1
3,2021,1,DEN,11292,1129202,30325,US,8,CO,Colorado,82,1.0,1.0,1,0.1288,UA,1.0,851.0,0.0,6607.0,14,6607.0,1
3,2021,1,SAN,14679,1467903,33570,US,6,CA,California,91,1.0,1.0,1,0.0813,HA,1.0,427.0,0.0,5255.0,11,5255.0,1
1,2021,1,ORD,13930,1393007,30977,US,17,IL,Illinois,41,0.0,1.0,1,0.0695,AA,1.0,144.0,0.0,2072.0,5,2072.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.0386,WN,1.0,107.0,0.0,2771.0,6,2771.0,1
3,2021,1,DEN,11292,1129202,30325,US,8,CO,Colorado,82,1.0,1.0,1,125,UA,1.0,837.0,0.0,6695.0,14,6695.0,1
6,2021,1,FAI,11630,1163002,31517,US,2,AK,Alaska,1,1.0,0.0,1,0.0947,DL,1.0,740.0,0.0,7814.0,16,7814.0,1
4,2021,1,JNU,12523,1252306,32523,US,2,AK,Alaska,1,1.0,1.0,1,0.9863,AS,1.0,649.0,0.0,658.0,2,658.0,1
1,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,0.0,1.0,1,0.0599,AS,1.0,149.0,0.0,2486.0,5,2486.0,1
2,2021,1,STT,15024,1502403,34945,US,78,VI,U.S. Virgin Islands,4,0.0,1.0,1,0.1847,AA,1.0,407.0,0.0,2203.0,5,2203.0,1
4,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.2282,AS,1.0,1469.0,0.0,6436.0,13,6436.0,1
4,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.0365,AS,2.0,292.0,0.0,8004.0,17,8004.0,1
2,2021,1,KOA,12758,1275804,32758,US,15,HI,Hawaii,2,0.0,0.0,1,0.0653,UA,1.0,247.0,0.0,3784.0,8,3784.0,1
2,2021,1,RNO,14570,1457002,34570,US,32,NV,Nevada,85,0.0,0.0,1,0.1145,QX,1.0,349.0,0.0,3047.0,7,3047.0,1
4,2021,1,SLC,14869,1486903,34614,US,49,UT,Utah,87,1.0,1.0,1,0.0517,DL,1.0,344.0,0.0,6658.0,14,6658.0,1
4,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,0.0,1,0.1097,AA,1.0,269.0,0.0,2452.0,5,2452.0,1
2,2021,1,DEN,11292,1129202,30325,US,8,CO,Colorado,82,1.0,1.0,1,0.1315,UA,1.0,885.0,0.0,6730.0,14,6730.0,1
3,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,0.0,1,0.1665,DL,1.0,902.0,0.0,5417.0,11,5417.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,0.0,1,0.1214,DL,1.0,278.0,0.0,2290.0,5,2290.0,1
1,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,0.0,1.0,1,0.0927,HA,3.0,237.0,0.0,2556.0,6,2556.0,1
1,2021,1,SJC,14831,1483106,32457,US,6,CA,California,91,0.0,1.0,1,0.1167,HA,1.0,282.0,0.0,2417.0,5,2417.0,1
4,2021,1,LIT,12992,1299206,32600,US,5,AR,Arkansas,71,1.0,0.0,1,0.0774,OO,1.0,651.0,0.0,8414.0,17,8414.0,1
2,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,1.0,1.0,1,305,HA,1.0,1559.0,0.0,5112.0,11,5112.0,1
4,2021,1,PHX,14107,1410702,30466,US,4,AZ,Arizona,81,1.0,1.0,1,0.0756,AA,1.0,487.0,0.0,6446.0,13,6446.0,1
2,2021,1,MSP,13487,1348702,31650,US,27,MN,Minnesota,63,0.0,1.0,1,0.0284,NK,2.0,71.0,0.0,2499.0,5,2499.0,1
2,2021,1,STX,15027,1502704,34992,US,78,VI,U.S. Virgin Islands,4,0.0,1.0,1,0.2442,AA,1.0,708.0,0.0,2899.0,6,2899.0,1
4,2021,1,ATL,10397,1039707,30397,US,13,GA,Georgia,34,1.0,1.0,1,0.0526,B6,1.0,171.0,0.0,3254.0,7,3254.0,1
2,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,1.0,1.0,1,0.1241,DL,1.0,617.0,0.0,4972.0,10,4972.0,1
4,2021,1,GEG,11884,1188402,31884,US,53,WA,Washington,93,1.0,0.0,1,0.1062,QX,1.0,355.0,0.0,3344.0,7,3344.0,1
2,2021,1,STT,15024,1502403,34945,US,78,VI,U.S. Virgin Islands,4,0.0,1.0,1,0.2771,DL,1.0,636.0,0.0,2295.0,5,2295.0,1
1,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.0949,AS,2.0,254.0,0.0,2677.0,6,2677.0,1
1,2021,1,MCO,13204,1320402,31454,US,12,FL,Florida,33,0.0,1.0,1,0.0128,NK,2.0,16.0,0.0,1246.0,3,1246.0,1
2,2021,1,EWR,11618,1161802,31703,US,34,NJ,New Jersey,21,1.0,1.0,1,0.1536,UA,1.0,502.0,0.0,3268.0,7,3268.0,1
2,2021,1,SAT,14683,1468305,33214,US,48,TX,Texas,74,0.0,1.0,1,0.0832,UA,1.0,346.0,0.0,4159.0,9,4159.0,1
4,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,1.0,1.0,1,0.0458,WN,1.0,229.0,0.0,4998.0,10,4998.0,1
2,2021,1,LAS,12889,1288903,32211,US,32,NV,Nevada,85,0.0,1.0,1,0.0653,HA,1.0,191.0,0.0,2925.0,6,2925.0,1
3,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.0993,DL,1.0,604.0,0.0,6080.0,13,6080.0,1
4,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,0.0,1,0.1505,DL,1.0,834.0,0.0,5542.0,12,5542.0,1
4,2021,1,SFO,14771,1477104,32457,US,6,CA,California,91,1.0,0.0,1,0.0625,OO,1.0,353.0,0.0,5646.0,12,5646.0,1
5,2021,1,PSC,14252,1425202,34252,US,53,WA,Washington,93,1.0,0.0,1,0.0648,QX,1.0,368.0,0.0,5675.0,12,5675.0,1
2,2021,1,DFW,11298,1129806,30194,US,48,TX,Texas,74,0.0,1.0,1,0.0776,AA,1.0,294.0,0.0,3791.0,8,3791.0,1
4,2021,1,GJT,11921,1192102,31921,US,8,CO,Colorado,82,1.0,0.0,1,0.0876,OO,1.0,693.0,0.0,7912.0,16,7912.0,1
1,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.1564,HA,3.0,432.0,0.0,2762.0,6,2762.0,1
2,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.0988,DL,1.0,529.0,0.0,5354.0,11,5354.0,1
3,2021,1,LBB,12896,1289607,32896,US,48,TX,Texas,74,0.0,0.0,1,0.0016,OO,1.0,5.0,0.0,3143.0,7,3143.0,1
2,2021,1,PSG,14256,1425605,34256,US,2,AK,Alaska,1,0.0,0.0,1,0.5612,AS,1.0,527.0,0.0,939.0,2,939.0,1
2,2021,1,SMF,14893,1489302,33192,US,6,CA,California,91,0.0,1.0,1,0.0902,AS,1.0,297.0,0.0,3293.0,7,3293.0,1
4,2021,1,BHM,10599,1059904,30599,US,1,AL,Alabama,51,1.0,0.0,1,0.1175,OH,1.0,429.0,0.0,3650.0,8,3650.0,1
2,2021,1,MCO,13204,1320402,31454,US,12,FL,Florida,33,0.0,1.0,1,0.0631,AS,1.0,258.0,0.0,4087.0,9,4087.0,1
2,2021,1,KOA,12758,1275804,32758,US,15,HI,Hawaii,2,0.0,1.0,1,0.2142,UA,1.0,1060.0,0.0,4949.0,10,4949.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,1.0,1.0,1,0.1454,AA,1.0,429.0,0.0,2950.0,6,2950.0,1
2,2021,1,STT,15024,1502403,34945,US,78,VI,U.S. Virgin Islands,4,0.0,0.0,1,0.0956,AA,1.0,202.0,0.0,2112.0,5,2112.0,1
2,2021,1,SAT,14683,1468305,33214,US,48,TX,Texas,74,0.0,1.0,1,0.4339,AA,1.0,1749.0,0.0,4031.0,9,4031.0,1
1,2021,1,KOA,12758,1275804,32758,US,15,HI,Hawaii,2,0.0,1.0,1,0.2566,AS,1.0,669.0,0.0,2607.0,6,2607.0,1
3,2021,1,SFO,14771,1477104,32457,US,6,CA,California,91,1.0,0.0,1,0.0669,UA,1.0,319.0,0.0,4928.0,10,4765.0,1
2,2021,1,SMF,14893,1489302,33192,US,6,CA,California,91,1.0,1.0,1,0.0967,HA,1.0,476.0,0.0,4924.0,10,4924.0,1
2,2021,1,BUF,10792,1079206,30792,US,36,NY,New York,22,0.0,0.0,1,1,MQ,1.0,5.0,0.0,4923.0,10,4923.0,1
2,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.1026,AS,2.0,297.0,0.0,2896.0,6,2896.0,1
1,2021,1,SFO,14771,1477104,32457,US,6,CA,California,91,0.0,1.0,1,0.0855,UA,1.0,205.0,0.0,2398.0,5,2398.0,1
2,2021,1,SAT,14683,1468305,33214,US,48,TX,Texas,74,0.0,1.0,1,0.1146,AS,1.0,510.0,0.0,4451.0,9,4451.0,1
2,2021,1,PSC,14252,1425202,34252,US,53,WA,Washington,93,0.0,0.0,1,0.2266,QX,1.0,245.0,0.0,1081.0,3,1081.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,0.0,1,0.0019,UA,1.0,5.0,0.0,2588.0,6,2588.0,1
2,2021,1,CLE,11042,1104205,30647,US,39,OH,Ohio,44,0.0,1.0,1,0.0518,AA,3.0,110.0,0.0,2125.0,5,2125.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,1.0,1,0.9951,HA,17.0,203.0,0.0,204.0,1,204.0,1
2,2021,1,OTZ,13970,1397005,33970,US,2,AK,Alaska,1,1.0,1.0,1,0.5018,AS,1.0,550.0,0.0,1096.0,3,1096.0,1
4,2021,1,BOS,10721,1072102,30721,US,25,MA,Massachusetts,13,1.0,1.0,1,53,DL,1.0,551.0,0.0,10394.0,21,10394.0,1
4,2021,1,AUS,10423,1042302,30423,US,48,TX,Texas,74,1.0,1.0,1,0.0573,AA,1.0,441.0,0.0,7702.0,16,7702.0,1
1,2021,1,RDU,14492,1449202,34492,US,37,NC,North Carolina,36,0.0,1.0,1,0.1703,B6,1.0,244.0,0.0,1433.0,3,1433.0,1
3,2021,1,IAH,12266,1226603,31453,US,48,TX,Texas,74,1.0,1.0,1,0.0861,UA,1.0,675.0,0.0,7839.0,16,7839.0,1
4,2021,1,LIH,12982,1298202,32982,US,15,HI,Hawaii,2,1.0,1.0,1,0.1046,HA,1.0,523.0,0.0,5000.0,11,5000.0,1
2,2021,1,RDU,14492,1449202,34492,US,37,NC,North Carolina,36,0.0,1.0,1,0.1045,WN,1.0,180.0,0.0,1723.0,4,1723.0,1
2,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,1.3063,AS,2.0,661.0,0.0,506.0,2,506.0,1
2,2021,1,MDW,13232,1323202,30977,US,17,IL,Illinois,41,0.0,1.0,1,0.0486,WN,2.0,207.0,0.0,4255.0,9,4255.0,1
