CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat,Class
flat,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,scaly,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,solitary,grasses,poisonous
convex,fibrous,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods,edible
convex,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows,edible
flat,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths,edible
convex,fibrous,white,False,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
convex,scaly,gray,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,woods,edible
convex,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,several,paths,poisonous
flat,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,paths,poisonous
flat,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
flat,scaly,brown,True,none,free,close,broad,red,enlarging,Missing[],smooth,smooth,white,red,partial,white,two,evanescent,white,clustered,waste,edible
flat,smooth,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban,poisonous
convex,fibrous,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,several,woods,poisonous
flat,scaly,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,white,partial,white,one,evanescent,white,several,paths,poisonous
flat,scaly,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods,edible
flat,smooth,white,True,none,free,close,broad,gray,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,green,several,grasses,poisonous
flat,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses,edible
bell,smooth,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,edible
convex,fibrous,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,several,woods,poisonous
convex,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses,edible
flat,fibrous,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,several,woods,poisonous
convex,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses,edible
bell,smooth,brown,False,none,attached,close,broad,brown,enlarging,Missing[],smooth,smooth,orange,orange,partial,brown,one,pendant,buff,several,leaves,edible
flat,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,paths,poisonous
flat,fibrous,brown,False,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
bell,fibrous,gray,False,none,free,crowded,broad,white,enlarging,Missing[],smooth,smooth,white,white,partial,white,two,pendant,white,scattered,grasses,edible
convex,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,smooth,gray,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
convex,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,grasses,poisonous
flat,scaly,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff,partial,white,one,large,chocolate,several,woods,poisonous
flat,fibrous,gray,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,woods,edible
convex,smooth,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,white,partial,white,one,evanescent,white,several,paths,poisonous
convex,fibrous,white,False,none,free,crowded,broad,white,enlarging,Missing[],silky,smooth,white,white,partial,white,two,pendant,white,numerous,grasses,edible
flat,smooth,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses,poisonous
convex,fibrous,gray,False,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
flat,fibrous,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,solitary,paths,poisonous
flat,scaly,brown,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods,edible
flat,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
flat,fibrous,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,several,grasses,poisonous
convex,scaly,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,solitary,paths,poisonous
flat,fibrous,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown,partial,white,one,large,chocolate,several,paths,poisonous
flat,smooth,buff,True,none,free,close,broad,white,enlarging,Missing[],smooth,smooth,white,red,partial,white,two,evanescent,white,clustered,waste,edible
bell,smooth,brown,False,none,attached,close,broad,orange,enlarging,Missing[],smooth,smooth,orange,orange,partial,brown,one,pendant,brown,several,leaves,edible
convex,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,grasses,poisonous
convex,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,scaly,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,solitary,paths,poisonous
flat,scaly,brown,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods,edible
knobbed,scaly,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,smooth,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
sunken,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,urban,edible
flat,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,solitary,grasses,poisonous
flat,fibrous,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,paths,poisonous
convex,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,woods,poisonous
knobbed,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
knobbed,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,brown,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,woods,edible
convex,smooth,buff,True,foul,free,close,broad,chocolate,tapering,bulbous,fibrous,fibrous,white,white,partial,white,one,pendant,chocolate,several,urban,poisonous
knobbed,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,woods,poisonous
convex,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
knobbed,fibrous,gray,False,none,free,crowded,broad,white,enlarging,Missing[],smooth,smooth,white,white,partial,white,two,pendant,white,numerous,grasses,edible
flat,scaly,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown,partial,white,one,large,chocolate,solitary,paths,poisonous
convex,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
flat,smooth,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,poisonous
flat,fibrous,gray,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,woods,edible
flat,fibrous,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,woods,edible
convex,scaly,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,several,paths,poisonous
convex,smooth,brown,True,none,free,close,broad,white,enlarging,Missing[],smooth,smooth,white,red,partial,white,two,evanescent,white,clustered,waste,edible
convex,smooth,gray,False,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
