percentage,outlier,imputation,r2
0,none,none,0.7839271878388013
0,none,none,0.7830631153682421
0,none,none,0.7840793997914128
10,none,none,0.7749111636637653
10,none,drop,0.7840753883512855
10,none,LOCF,0.7843270206128876
10,none,mean,0.7727882358648756
10,none,interpolation,0.7815927670297547
10,none,none,0.7799208942769833
10,none,drop,0.794865968003688
10,none,LOCF,0.7805139717100176
10,none,mean,0.7724324843086465
10,none,interpolation,0.7802628853614605
10,none,none,0.7788903098163903
10,none,drop,0.7943516062470389
10,none,LOCF,0.7869804874551107
10,none,mean,0.7778003071483559
10,none,interpolation,0.7833748023458837
10,none,none,0.7791962744656538
10,none,drop,0.788129225723014
10,none,LOCF,0.7856717663627657
10,none,mean,0.7776182284329181
10,none,interpolation,0.7836885183250787
10,none,none,0.7778861036306796
10,none,drop,0.8011303414006862
10,none,LOCF,0.7835181031282725
10,none,mean,0.777425304083518
10,none,interpolation,0.7842091296290556
10,none,none,0.7775946456408582
10,none,drop,0.7937007663256971
10,none,LOCF,0.7818608258714141
10,none,mean,0.774865955805228
10,none,interpolation,0.7810311737412041
10,none,none,0.7799862761985323
10,none,drop,0.7981388032496062
10,none,LOCF,0.7842897255025334
10,none,mean,0.7815875612431762
10,none,interpolation,0.7842557710677844
10,none,none,0.781474190686982
10,none,drop,0.79089488238544
10,none,LOCF,0.7836778782410587
10,none,mean,0.7806018454671221
10,none,interpolation,0.7841276512465725
20,none,none,0.7748496389707602
20,none,drop,0.8040427397666523
20,none,LOCF,0.7815277527310309
20,none,mean,0.7696463560943307
20,none,interpolation,0.7811805046945558
20,none,none,0.7757697609697972
20,none,drop,0.8028943041002714
20,none,LOCF,0.7813833386319162
20,none,mean,0.770638113781476
20,none,interpolation,0.7784075884060662
20,none,none,0.7733581881120166
20,none,drop,0.7966050888471481
20,none,LOCF,0.7797546646932372
20,none,mean,0.7652991260456612
20,none,interpolation,0.7811857094119711
20,none,none,0.7747947366846275
20,none,drop,0.8060892762313833
20,none,LOCF,0.7827880032467226
20,none,mean,0.7694546031914251
20,none,interpolation,0.7838903014654982
20,none,none,0.7734866368262889
20,none,drop,0.802871118170914
20,none,LOCF,0.7816424741526209
20,none,mean,0.7707298357585175
20,none,interpolation,0.7806474597741888
20,none,none,0.7687934024714352
20,none,drop,0.8082867312426798
20,none,LOCF,0.7846809269674642
20,none,mean,0.7683495920155745
20,none,interpolation,0.7809774505570718
20,none,none,0.7704092709088428
20,none,drop,0.8048332493243016
20,none,LOCF,0.783565935608491
20,none,mean,0.7671131647223407
20,none,interpolation,0.7842666565702365
20,none,none,0.7728330604937548
20,none,drop,0.8045609499521367
20,none,LOCF,0.7828859153710997
20,none,mean,0.7680904523459239
20,none,interpolation,0.7825870530964476
30,none,none,0.7679067621855207
30,none,drop,0.8119899697748153
30,none,LOCF,0.7797241661829394
30,none,mean,0.760558011341203
30,none,interpolation,0.7813883210521174
30,none,none,0.7695065039781555
30,none,drop,0.8141629878162662
30,none,LOCF,0.7808505559091243
30,none,mean,0.7651463407921805
30,none,interpolation,0.7798866810274393
30,none,none,0.7670873333703621
30,none,drop,0.8040828522508208
30,none,LOCF,0.7848185774102383
30,none,mean,0.7659936447166772
30,none,interpolation,0.7844365455607762
30,none,none,0.7669584054990123
30,none,drop,0.8129153879852584
