percentage,outlier,imputation,r2
0,none,none,0.7339076068391072
10,none,none,0.6693943364676911
10,z,drop,0.6697624056955138
10,z,LOCF,0.669516068371199
10,z,mean,0.6511492339952104
10,z,interpolation,0.6696460513703479
10,lof,drop,0.7495754328816672
10,lof,LOCF,0.7245580298460855
10,lof,mean,0.5997924175416028
10,lof,interpolation,0.7172790230535673
10,iforest,drop,0.6909784517743314
10,iforest,LOCF,0.2986464917604021
10,iforest,mean,-0.2141403143587521
10,iforest,interpolation,0.2460929513034039
10,hst,drop,0.6966092137934837
10,hst,LOCF,0.6931846883814967
10,hst,mean,0.6264133378992012
10,hst,interpolation,0.6902956930920743
10,none,none,0.6750257737212344
10,z,drop,0.6733631934075833
10,z,LOCF,0.6730945059482574
10,z,mean,0.6560691232158069
10,z,interpolation,0.6722014838575923
10,lof,drop,0.7417525106211793
10,lof,LOCF,0.7248668301134044
10,lof,mean,0.6021626964944982
10,lof,interpolation,0.7173126235527327
10,iforest,drop,0.6766355991609829
10,iforest,LOCF,0.3348669724782733
10,iforest,mean,-0.2198206966483
10,iforest,interpolation,0.2267595644600387
10,hst,drop,0.7005714690856439
10,hst,LOCF,0.691199063053614
10,hst,mean,0.6424809914820091
10,hst,interpolation,0.6911820862961109
10,none,none,0.672543850198486
10,z,drop,0.6711098466304443
10,z,LOCF,0.6704142022580951
10,z,mean,0.6521873219672296
10,z,interpolation,0.6696437259318404
10,lof,drop,0.7467982665114771
10,lof,LOCF,0.7244855498463499
10,lof,mean,0.6059032542870064
10,lof,interpolation,0.7172672497310469
10,iforest,drop,0.6726126316290739
10,iforest,LOCF,0.3479093729684017
10,iforest,mean,-0.2430433454686962
10,iforest,interpolation,0.2816710783608359
10,hst,drop,0.6977718920599809
10,hst,LOCF,0.6855539624723999
10,hst,mean,0.639898948413667
10,hst,interpolation,0.6835190671963266
10,none,none,0.6730100454581169
10,z,drop,0.671370990136034
10,z,LOCF,0.6704675249378939
10,z,mean,0.6530511371821947
10,z,interpolation,0.6705188644025166
10,lof,drop,0.747139023133216
10,lof,LOCF,0.7204206186253799
10,lof,mean,0.6021720695046611
10,lof,interpolation,0.7170964050703845
10,iforest,drop,0.6778367304321413
10,iforest,LOCF,0.3625745740244295
10,iforest,mean,-0.2185496518741512
10,iforest,interpolation,0.2210965402623829
10,hst,drop,0.6976579795920439
10,hst,LOCF,0.6908066473293388
10,hst,mean,0.6437876209688824
10,hst,interpolation,0.6874604569666392
10,none,none,0.6676165493610763
10,z,drop,0.6674562159661772
10,z,LOCF,0.6669798010972384
10,z,mean,0.6517150014000515
10,z,interpolation,0.6675788983028781
10,lof,drop,0.7535392828429421
10,lof,LOCF,0.721977483644612
10,lof,mean,0.6049306921571682
10,lof,interpolation,0.7164340439572365
10,iforest,drop,0.6987369815463241
10,iforest,LOCF,0.3379225911824121
10,iforest,mean,-0.2177511738022846
10,iforest,interpolation,0.2654561206106842
10,hst,drop,0.6954807320891043
10,hst,LOCF,0.6884924860545134
10,hst,mean,0.631087310734945
10,hst,interpolation,0.687706192687685
10,none,none,0.6682645978413527
10,z,drop,0.6696687811590201
10,z,LOCF,0.6661095632942619
10,z,mean,0.6469402066847214
10,z,interpolation,0.6668061791279134
10,lof,drop,0.7478121939306939
10,lof,LOCF,0.7227498097374888
10,lof,mean,0.5941306243053985
10,lof,interpolation,0.717932280203514
10,iforest,drop,0.6937065884350287
10,iforest,LOCF,0.3385506634514258
10,iforest,mean,-0.2031744322123281
10,iforest,interpolation,0.2459630239440861
10,hst,drop,0.6910288316990774
10,hst,LOCF,0.6872444674835102
10,hst,mean,0.6324293397105787
10,hst,interpolation,0.6875043456060408
10,none,none,0.6711898858374519
10,z,drop,0.6708025694805854
10,z,LOCF,0.6682029345163804
10,z,mean,0.650822285314745
10,z,interpolation,0.6678737260524062
10,lof,drop,0.7459019260801807
10,lof,LOCF,0.7237095098246835
10,lof,mean,0.603748540140009
10,lof,interpolation,0.717595055939671
10,iforest,drop,0.7027914391953998
10,iforest,LOCF,0.3257039615696878
10,iforest,mean,-0.2172253659832843
10,iforest,interpolation,0.2819091591348557
10,hst,drop,0.6938857943682768
10,hst,LOCF,0.6822733147500872
10,hst,mean,0.6422381524325604
10,hst,interpolation,0.6811565825657304
10,none,none,0.663733158585832
10,z,drop,0.6654807355330709
10,z,LOCF,0.6640555541086308
10,z,mean,0.6469316094369343
10,z,interpolation,0.6642663807816879
10,lof,drop,0.744421321485641
10,lof,LOCF,0.7214978549433597
10,lof,mean,0.5888237407350856
10,lof,interpolation,0.7178346011364001
10,iforest,drop,0.678643472283142
10,iforest,LOCF,0.3725088554799642
10,iforest,mean,-0.1990759496790308
10,iforest,interpolation,0.2915288103583578
10,hst,drop,0.691332222194561
10,hst,LOCF,0.6859940791673036
10,hst,mean,0.6244685776653208
10,hst,interpolation,0.6843173551165457
20,none,none,0.6014103804642839
20,z,drop,0.6119965585474081
20,z,LOCF,0.6092374305955593
20,z,mean,0.5894282279746201
20,z,interpolation,0.6091049401216394
20,lof,drop,0.749929420752165
20,lof,LOCF,0.7178734229598243
20,lof,mean,0.4953406818508067
20,lof,interpolation,0.708306742282721
20,iforest,drop,0.6860279850364728
20,iforest,LOCF,0.4338253104132117
20,iforest,mean,-0.2040248635015802
20,iforest,interpolation,0.3570785797552115
20,hst,drop,0.6608993991932949
20,hst,LOCF,0.6576383058933268
20,hst,mean,0.5439465512573505
20,hst,interpolation,0.6530448178756172
20,none,none,0.5992584939826469
20,z,drop,0.6094049388052805
20,z,LOCF,0.6061502808465824
20,z,mean,0.5888778321883561
20,z,interpolation,0.6051786749369933
20,lof,drop,0.7484857664056608
20,lof,LOCF,0.7162910533915569
20,lof,mean,0.5045735860036095
20,lof,interpolation,0.7097212508654185
20,iforest,drop,0.6788837979183036
20,iforest,LOCF,0.4373310204312181
20,iforest,mean,-0.237365411138432
20,iforest,interpolation,0.3442599075003604
20,hst,drop,0.6547113471888473
20,hst,LOCF,0.6498237873162933
20,hst,mean,0.5398570981053828
20,hst,interpolation,0.6439838770257478
20,none,none,0.5984027361728883
20,z,drop,0.6098696112122137
20,z,LOCF,0.6050969381088063
20,z,mean,0.5861688137528169
20,z,interpolation,0.6058240122379408
20,lof,drop,0.7501623118914469
20,lof,LOCF,0.7146350182675492
20,lof,mean,0.4980266742572597
20,lof,interpolation,0.710798451034478
20,iforest,drop,0.6670548316574313
20,iforest,LOCF,0.4408336461372769
20,iforest,mean,-0.2508357718178953
20,iforest,interpolation,0.3955404917551071
20,hst,drop,0.6584571549591502
20,hst,LOCF,0.647330908308251
20,hst,mean,0.5391441807903179
20,hst,interpolation,0.6464491859446151
20,none,none,0.5971949948903763
20,z,drop,0.6086626812768232
20,z,LOCF,0.6049964852266964
20,z,mean,0.5882056858742153
20,z,interpolation,0.6048646131329289
20,lof,drop,0.7420441506909385
20,lof,LOCF,0.7129708442702629
20,lof,mean,0.5095626923467584
20,lof,interpolation,0.7069124836428087
20,iforest,drop,0.6844764382529792
20,iforest,LOCF,0.4101052615951742
20,iforest,mean,-0.1871328940594521
20,iforest,interpolation,0.3402564213182142
20,hst,drop,0.6522280497156672
20,hst,LOCF,0.6474375765161116
20,hst,mean,0.5343941774870895
20,hst,interpolation,0.6467948014008601
20,none,none,0.5988176212473171
20,z,drop,0.6115136193373854
20,z,LOCF,0.6074181088196429
20,z,mean,0.5886922772292442
20,z,interpolation,0.6074879763159862
20,lof,drop,0.7499341455300215
20,lof,LOCF,0.7176556935488361
20,lof,mean,0.4985927757319323
