percentage,outlier,imputation,r2
0,none,none,0.938825148177638
10,none,none,0.7030668552507205
20,none,none,0.6573471404424136
30,none,none,0.6255339652571341
40,none,none,0.584954740298647
50,none,none,0.5585619666702633
10,z,drop,0.6845905531711067
10,z,LOCF,0.6960040964257785
10,z,mean,-136.69560052544966
10,z,interpolation,0.6669815770828895
10,lof,drop,0.9408566482748976
10,lof,LOCF,0.9271237825397872
10,lof,mean,0.7621867658308041
10,lof,interpolation,0.9212252085612636
10,iforest,drop,0.8758752295759671
10,iforest,LOCF,-2.11910895391718e+16
10,iforest,mean,-7.901081403041e+16
10,iforest,interpolation,-3.107397056047385e+24
10,hst,drop,0.8072758281078328
10,hst,LOCF,0.6574882820363763
10,hst,mean,-50.56391493703981
10,hst,interpolation,0.6609204494844299
20,z,drop,0.667922984119899
20,z,LOCF,0.6472229545101406
20,z,mean,-14.786882003284138
20,z,interpolation,0.6396593552172979
20,lof,drop,0.9381199383757934
20,lof,LOCF,0.9214679214805616
20,lof,mean,0.6452705952550236
20,lof,interpolation,0.915757621860243
20,iforest,drop,0.8563586217996246
20,iforest,LOCF,0.7262230470013522
20,iforest,mean,-378.7145319246138
20,iforest,interpolation,0.7066489804393199
20,hst,drop,0.7018903850904996
20,hst,LOCF,-1555094388459962.5
20,hst,mean,-32.07425974312249
20,hst,interpolation,0.7160149324551144
30,z,drop,0.6197973874628742
30,z,LOCF,0.6081776069029413
30,z,mean,-1.802998369008616
30,z,interpolation,0.6192599584039573
30,lof,drop,0.9320186505942972
30,lof,LOCF,0.9125002786780754
30,lof,mean,-2.943918644117736
30,lof,interpolation,0.902119003164047
30,iforest,drop,0.8092494058461033
30,iforest,LOCF,0.7270683267576044
30,iforest,mean,-11.126534888718565
30,iforest,interpolation,0.7291901975241222
30,hst,drop,0.719179146829779
30,hst,LOCF,-14165772362553.748
30,hst,mean,-23.48168296192429
30,hst,interpolation,-1.7802919971133228e+16
40,z,drop,0.571604750631506
40,z,LOCF,0.5729016892922187
40,z,mean,0.3533854978618732
40,z,interpolation,0.5699324893644804
40,lof,drop,0.8986207955583096
40,lof,LOCF,0.9058539037390508
40,lof,mean,-2.3617380736419875
40,lof,interpolation,0.8936813321613296
40,iforest,drop,0.7319883971022391
40,iforest,LOCF,0.7444256513331683
40,iforest,mean,-22.68768409221337
40,iforest,interpolation,-1.9126085107163373
40,hst,drop,0.6899670895639685
40,hst,LOCF,-9751265166397.23
40,hst,mean,-22.441003278091213
40,hst,interpolation,0.6945327823230807
50,z,drop,0.5552115559396628
50,z,LOCF,0.5637385169691482
50,z,mean,0.5218352044763204
50,z,interpolation,0.56010755928386
50,lof,drop,0.8334643700920763
50,lof,LOCF,0.8873278642655511
50,lof,mean,-8.381751587191076
50,lof,interpolation,0.8802998766873745
50,iforest,drop,0.6547051574125997
50,iforest,LOCF,0.6988887125515766
50,iforest,mean,-17.634889833048017
50,iforest,interpolation,0.7053857377316337
50,hst,drop,0.6905250795964418
50,hst,LOCF,0.6648490517525316
50,hst,mean,-228.2245027429148
50,hst,interpolation,-270149483660189.1
10,none,none,0.4596889358037893
10,z,drop,0.7060318295700068
10,z,LOCF,0.6851524990740029
10,z,mean,-21852897930.60369
10,z,interpolation,0.6825319536503445
10,lof,drop,0.940650215436454
