percentage,method,precision,recall,f1
10,z,1.0,0.2024245841556244,0.336694021101993
10,lof,0.6805541510769542,0.9486890329856216,0.7925572631454985
10,iforest,0.5205628612111567,0.876092472511982,0.6530762360111385
10,hst,0.8069330765527203,0.2362559909782915,0.3654999454803184
10,z,0.9992997198879552,0.2027564649048025,0.3371131585164186
10,lof,0.6846396901437163,0.954390451832907,0.7973173482105763
10,iforest,0.5102006828212174,0.8705598181301506,0.6433559090670448
10,hst,0.8113022113022113,0.2345836885478829,0.3639369558029318
10,z,0.9945317840054684,0.2105948762483717,0.3475871954132823
10,lof,0.6800904047667968,0.9581705022434506,0.7955296521059905
10,iforest,0.5105059673894772,0.8791431466203503,0.6459297070239803
10,hst,0.8083097261567517,0.2477927341149225,0.3793065248698349
10,z,0.9958362248438584,0.2006431767337807,0.3339927848248574
10,lof,0.6814222042139384,0.9405760626398212,0.790296052631579
10,iforest,0.5353423254225713,0.876817673378076,0.6647938089685148
10,hst,0.7764811490125674,0.2418903803131991,0.3688699360341151
10,z,0.9867688022284122,0.2033873977321659,0.3372605022015947
10,lof,0.6811638906025087,0.950911439644036,0.7937458815072186
10,iforest,0.5030018916029279,0.8778527343189321,0.6395482589145666
10,hst,0.7742234585071859,0.2397014496914023,0.3660675142481368
10,z,0.9993098688750862,0.2053609417103956,0.3407058823529411
10,lof,0.679369918699187,0.9480924691533116,0.791545793617903
10,iforest,0.5206687951604773,0.8788824280243938,0.6539334142352135
10,hst,0.7789661319073083,0.2479080981421075,0.3761161915008069
10,z,0.9993108201240524,0.2080045904461339,0.3443362621705058
10,lof,0.6752499242653741,0.9592597905608952,0.7925803010548774
10,iforest,0.5075025008336113,0.8733323769903888,0.6419570833553013
10,hst,0.7922636103151862,0.2379859417587146,0.366023166023166
10,z,0.9993050729673384,0.2023926812104152,0.3366104868913858
10,lof,0.6813231141589351,0.9508796622097114,0.7938428999471241
10,iforest,0.5340541460922867,0.882899366643209,0.6655349848814387
10,hst,0.8429319371727748,0.24926108374384237,0.38474907668911573
20,z,0.999425287356322,0.1255867696974073,0.2231346635016359
20,lof,0.7784991112141587,0.7274499891673286,0.7521093108340178
20,iforest,0.8784469885515181,0.6372499458366433,0.7386572911434789
20,hst,0.9230769230769232,0.2651837943236802,0.4120056100981766
20,z,1.0,0.1154739286468228,0.2070401211203633
20,lof,0.7887345327563957,0.7311237773555697,0.7588372772421853
20,iforest,0.8927072927072927,0.6288086693406516,0.7378720944634821
20,hst,0.9299630086313192,0.2653578214059531,0.4128982809591591
20,z,1.0,0.1165893685337138,0.2088312352226979
20,lof,0.7816323369986061,0.7202283267927221,0.7496750714842734
20,iforest,0.8695904734243393,0.640884766321798,0.7379231022017746
20,hst,0.9292980671414038,0.2607206564395291,0.4071989747590126
20,z,0.9993589743589744,0.1102000424118187,0.1985102183739733
20,lof,0.7834238922476467,0.7236163144129497,0.7523333578305282
20,iforest,0.8695440847671819,0.6322895313494027,0.7321764754031269
20,hst,0.928391959798995,0.2611861171979925,0.4076791526452253
20,z,0.9993585631815266,0.111756688903235,0.2010322580645161
20,lof,0.7794717794717795,0.7261315544078617,0.7518568033273916
20,iforest,0.8629550321199143,0.6359658561078833,0.7322733842659509
20,hst,0.9222222222222224,0.261961121870741,0.4080218982179767
20,z,0.9993552546744036,0.1108013439130745,0.1994851994851994
20,lof,0.7832951945080091,0.7340767746086211,0.7578877449352374
20,iforest,0.8546975670737571,0.6353563514189721,0.7288830572412662
20,hst,0.9287819253438114,0.2703552791479019,0.4188029455733348
20,z,1.0,0.105921241736131,0.1915529564652371
20,lof,0.784425597532768,0.7311008910606496,0.7568251134419399
20,iforest,0.8683618581907091,0.638042540960046,0.7355950457727518
20,hst,0.9287158746208292,0.2640126473124461,0.4111459265890779
20,z,0.999346832135859,0.1091687477702461,0.1968351987649556
20,lof,0.7859600825877495,0.7333571173742419,0.7587479698804075
20,iforest,0.8851351351351351,0.6356047092400999,0.7398978362888825
20,hst,0.9260633036597429,0.2672136996075633,0.41475164737803866
30,z,1.0,0.0735140275796481,0.1369596031183557
