percentage,outlier,imputation,r2
0,none,none,0.7839271878388013
0,none,none,0.7830631153682421
0,none,none,0.7840793997914128
10,none,none,0.7732468146339353
10,z,none,0.7550785329009488
10,lof,none,0.6712051610222467
10,iforest,none,0.1664893863971314
10,hst,none,0.7280093902135552
10,none,none,0.7689522715658504
10,z,none,0.7495437397926727
10,lof,none,0.6697487604546303
10,iforest,none,0.1961007106775175
10,hst,none,0.7276816535799598
10,none,none,0.7815398423718221
10,z,none,0.759662593887976
10,lof,none,0.6725496467250908
10,iforest,none,0.1756180315283365
10,hst,none,0.7397273461100733
10,none,none,0.7748498382611029
10,z,none,0.7549588492350002
10,lof,none,0.6722224342793661
10,iforest,none,0.1708823207572092
10,hst,none,0.7326095370935897
10,none,none,0.7782478827039506
10,z,none,0.7616539937189626
10,lof,none,0.6764316841265811
10,iforest,none,0.1619406642354436
10,hst,none,0.7299860932414949
10,none,none,0.7757331840657681
10,z,none,0.7529243230741882
10,lof,none,0.665548234315339
10,iforest,none,0.1591379761560255
10,hst,none,0.7275302749525853
10,none,none,0.7657491927946322
10,z,none,0.7478393919378955
10,lof,none,0.6749787152195003
10,iforest,none,0.1576860635321205
10,hst,none,0.7297002679626816
20,none,none,0.7680633737475718
20,z,none,0.7453015300981108
20,lof,none,0.5894269897575268
20,iforest,none,0.251317230418778
20,hst,none,0.6839146989405275
20,none,none,0.7722798445905433
20,z,none,0.7502593674813762
20,lof,none,0.58248015671074
20,iforest,none,0.2526779380973117
20,hst,none,0.6830189642082398
20,none,none,0.7655989654032324
20,z,none,0.7439314998533303
20,lof,none,0.5878431229626395
20,iforest,none,0.2634596789227955
20,hst,none,0.6787306901248826
20,none,none,0.7718540647599256
20,z,none,0.7491251529394449
20,lof,none,0.5858777479034165
20,iforest,none,0.2547159440117844
20,hst,none,0.6831774464975144
20,none,none,0.7644403725467435
20,z,none,0.742494549034328
20,lof,none,0.5925793712230256
20,iforest,none,0.2387513809003137
20,hst,none,0.6788972891779808
20,none,none,0.767844684102972
20,z,none,0.7469567572033228
20,lof,none,0.5868655115302834
20,iforest,none,0.262841577883697
20,hst,none,0.6806429364770699
20,none,none,0.7641935408573217
20,z,none,0.7448603885222328
20,lof,none,0.592836916718269
20,iforest,none,0.2617689415936947
20,hst,none,0.6853853508844254
30,none,none,0.7588597227822003
30,z,none,0.7362529806096816
30,lof,none,0.5011407437806239
30,iforest,none,0.2655746312226535
30,hst,none,0.6210067539091229
30,none,none,0.7599406520094218
30,z,none,0.7400173826929195
30,lof,none,0.5115234777009126
30,iforest,none,0.2833862547959389
30,hst,none,0.6306719740784622
30,none,none,0.7613625284387171
30,z,none,0.7424577079619247
30,lof,none,0.504424752024057
30,iforest,none,0.2563303264197085
30,hst,none,0.6296636584744356
30,none,none,0.7579449267471878
30,z,none,0.7366043390912796
30,lof,none,0.5110133261114422
30,iforest,none,0.2666082171044879
30,hst,none,0.6312169606224948
30,none,none,0.7584412240556657
30,z,none,0.7327553762460699
30,lof,none,0.5090345250636449
30,iforest,none,0.261511733502536
30,hst,none,0.6278312643307621
30,none,none,0.7657283909779856
30,z,none,0.7468965287604228
30,lof,none,0.5097286832903014
30,iforest,none,0.2584721537133052
30,hst,none,0.6261886592829634
30,none,none,0.7595582648855989
30,z,none,0.7395555457923719
