percentage,outlier,imputation,r2
0,none,none,0.7830631153682421
0,none,none,0.7828801903945494
0,none,none,0.7839271878388013
0,none,none,0.7840793997914128
10,none,none,0.7735177325302838
10,z,drop,0.7787040362733573
10,z,LOCF,0.765116185733788
10,z,mean,0.7419461252817091
10,z,interpolation,0.7650328353601323
10,lof,drop,0.7961911655944824
10,lof,LOCF,0.767543787055356
10,lof,mean,0.655611073133687
10,lof,interpolation,0.7586204445618435
10,iforest,drop,0.7524241200397829
10,iforest,LOCF,0.3814649622676613
10,iforest,mean,-0.2465584275178949
10,iforest,interpolation,0.3559637567445676
10,hst,drop,0.7598705972342277
10,hst,LOCF,0.5306732784019016
10,hst,mean,0.2334044987980845
10,hst,interpolation,0.4823324812478241
10,none,none,0.7705630921767492
10,z,drop,0.7816661228058903
10,z,LOCF,0.7657053717324611
10,z,mean,0.7477427619245887
10,z,interpolation,0.7663928963284992
10,lof,drop,0.7938845828352714
10,lof,LOCF,0.7667836809787617
10,lof,mean,0.6429901583442132
10,lof,interpolation,0.7531808900446921
10,iforest,drop,0.757396733912996
10,iforest,LOCF,0.4169096691206251
10,iforest,mean,-0.247529145107648
10,iforest,interpolation,0.3431230172889223
10,hst,drop,0.7513124540913613
10,hst,LOCF,0.5234862938667173
10,hst,mean,0.1905583619705582
10,hst,interpolation,0.4720207721109999
10,none,none,0.779584301156991
10,z,drop,0.7898917277937483
10,z,LOCF,0.7747643268857888
10,z,mean,0.7544354158403443
10,z,interpolation,0.7763619966525547
10,lof,drop,0.7948334592986608
10,lof,LOCF,0.7698281294505609
10,lof,mean,0.6567694764943375
10,lof,interpolation,0.7634143466794454
10,iforest,drop,0.7624295581270477
10,iforest,LOCF,0.3974519708476178
10,iforest,mean,-0.2153692270444818
10,iforest,interpolation,0.3247786135278975
10,hst,drop,0.7621418043311234
10,hst,LOCF,0.5514347075389823
10,hst,mean,0.204635522163753
10,hst,interpolation,0.489374166333042
10,none,none,0.7756330138554584
10,z,drop,0.7828091926059423
10,z,LOCF,0.7695545129485263
10,z,mean,0.7515352792071093
10,z,interpolation,0.7710199998854714
10,lof,drop,0.7928088311047837
10,lof,LOCF,0.7644424140458316
10,lof,mean,0.6556226271835802
10,lof,interpolation,0.7589655199999814
10,iforest,drop,0.743511173137651
10,iforest,LOCF,0.4104645754184978
10,iforest,mean,-0.2283725960945011
10,iforest,interpolation,0.3347154460393673
10,hst,drop,0.7482180472962598
10,hst,LOCF,0.5202946658560883
10,hst,mean,0.2033162281969308
10,hst,interpolation,0.4729104294967274
10,none,none,0.7818291249292819
10,z,drop,0.7925633920304255
10,z,LOCF,0.776506910286054
10,z,mean,0.7566109257888913
10,z,interpolation,0.7772014489077301
