percentage,outlier,correction,imputation,r2
100,none,none,none,0.7830631153682421
100,none,none,none,0.7828801903945494
100,none,none,none,0.7839271878388013
100,none,none,none,0.7840793997914128
90,none,none,none,0.7753776466933301
90,none,none,none,0.7756264480542997
90,none,none,none,0.7812123804950447
90,none,none,none,0.7789522696183379
80,none,none,none,0.771766185252723
80,none,none,none,0.7693526664520928
80,none,none,none,0.7743567479711653
80,none,none,none,0.7723385092281991
70,none,none,none,0.7633766372414799
70,none,none,none,0.7670769374821746
70,none,none,none,0.7679047514213456
70,none,none,none,0.7678623979770335
60,none,none,none,0.76211286366796
60,none,none,none,0.7648330803293193
60,none,none,none,0.7640276194181699
60,none,none,none,0.7562677178768901
50,none,none,none,0.7595680120817149
50,none,none,none,0.755272909399985
50,none,none,none,0.7562950020538549
50,none,none,none,0.7591244597466552
90,none,none,none,0.7813843114117301
90,none,none,none,0.7727452235313668
80,none,none,none,0.773854829895007
80,none,none,none,0.766472241910132
70,none,none,none,0.7652475442427511
70,none,none,none,0.771264569688927
60,none,none,none,0.757423324726494
60,none,none,none,0.7553563526025516
50,none,none,none,0.7558671954999613
50,none,none,none,0.7501083102928017
90,none,none,none,0.7759594042539218
90,none,none,none,0.7738953679325223
80,none,none,none,0.7656350693269018
80,none,none,none,0.7721220344241527
70,none,none,none,0.7698683400284925
70,none,none,none,0.7608745573710689
60,none,none,none,0.7534721154311359
60,none,none,none,0.7596054475430016
50,none,none,none,0.7543897153208566
50,none,none,none,0.7538021809986784
90,z,drop,drop,0.7867771868509497
90,z,drop,LOCF,0.7802713167332576
90,z,drop,interpolation,0.7809644226364258
90,lof,drop,drop,0.8063012372183491
90,lof,drop,LOCF,0.7892711858462186
90,lof,drop,interpolation,0.7871906435496414
90,hst,drop,drop,0.7814693452304906
90,hst,drop,LOCF,0.7741706832723274
90,hst,drop,interpolation,0.7752530516562618
90,z,drop,drop,0.7875728032138868
90,z,drop,LOCF,0.7759593477452441
90,z,drop,interpolation,0.7777304558146245
90,lof,drop,drop,0.7991101792056791
90,lof,drop,LOCF,0.782040224356292
90,lof,drop,interpolation,0.7790513697662089
90,hst,drop,drop,0.7896567710370053
90,hst,drop,LOCF,0.7777408614984815
90,hst,drop,interpolation,0.7789257183759645
90,z,drop,drop,0.7898097083167326
90,z,drop,LOCF,0.7835054744168206
90,z,drop,interpolation,0.7822677003484987
90,lof,drop,drop,0.7830142599358231
90,lof,drop,LOCF,0.7847729255370274
90,lof,drop,interpolation,0.7859036310834367
90,hst,drop,drop,0.7872404539038527
90,hst,drop,LOCF,0.7835813032887357
90,hst,drop,interpolation,0.7832117499295711
90,z,drop,drop,0.7919384911313047
90,z,drop,LOCF,0.7784929523925024
90,z,drop,interpolation,0.7772599899648709
90,lof,drop,drop,0.7883614344508479
90,lof,drop,LOCF,0.7819174132709517
90,lof,drop,interpolation,0.7801360451449237
90,hst,drop,drop,0.7869545978550436
90,hst,drop,LOCF,0.7815961835534979
90,hst,drop,interpolation,0.7813681427053565
90,z,drop,drop,0.7998665780808971
90,z,drop,LOCF,0.782956219095613
90,z,drop,interpolation,0.78432061122264
90,lof,drop,drop,0.7983941739163519
90,lof,drop,LOCF,0.782077759624628
90,lof,drop,interpolation,0.7845624048604118
90,hst,drop,drop,0.7891102464779828
90,hst,drop,LOCF,0.783330040949901
90,hst,drop,interpolation,0.7826646440291072
90,z,drop,drop,0.7793708083348002
90,z,drop,LOCF,0.7753388214675005
90,z,drop,interpolation,0.7743554115166945
90,lof,drop,drop,0.7912370210819119
90,lof,drop,LOCF,0.7873006788449248
90,lof,drop,interpolation,0.7881444264817592
90,hst,drop,drop,0.7809690301115482
90,hst,drop,LOCF,0.7696494673094041
90,hst,drop,interpolation,0.7663826216245967
90,z,drop,drop,0.7876689211590797
90,z,drop,LOCF,0.7758756105126836
90,z,drop,interpolation,0.7787102306974302
90,lof,drop,drop,0.7898481264995105
90,lof,drop,LOCF,0.789043038168429
90,lof,drop,interpolation,0.7810007076958015
90,hst,drop,drop,0.7880551891490971
90,hst,drop,LOCF,0.7795141260305158
90,hst,drop,interpolation,0.7776033674749333
90,z,drop,drop,0.7851722748296295
90,z,drop,LOCF,0.7764032039239677
90,z,drop,interpolation,0.7775083930716807
90,lof,drop,drop,0.7957120928244242
90,lof,drop,LOCF,0.7903442956778086
90,lof,drop,interpolation,0.7868813396381833
90,hst,drop,drop,0.786764310413854
90,hst,drop,LOCF,0.7802582448565996
90,hst,drop,interpolation,0.7792747101863082
90,z,LOCF,drop,0.7865784735834118
90,z,LOCF,LOCF,0.7792253593487182
90,z,LOCF,interpolation,0.7799887706027663
90,lof,LOCF,drop,0.783395738443957
90,lof,LOCF,LOCF,0.77046091732478
90,lof,LOCF,interpolation,0.7722564679194847
90,hst,LOCF,drop,0.7744572105687532
90,hst,LOCF,LOCF,0.7711930796438887
90,hst,LOCF,interpolation,0.7715242016086532
90,z,LOCF,drop,0.7772345917311694
90,z,LOCF,LOCF,0.7746304804952451
90,z,LOCF,interpolation,0.775306509435437
90,lof,LOCF,drop,0.7665136087277601
90,lof,LOCF,LOCF,0.7663130567366536
90,lof,LOCF,interpolation,0.7658223696421425
90,hst,LOCF,drop,0.7792771717201767
90,hst,LOCF,LOCF,0.767069939976448
90,hst,LOCF,interpolation,0.7665881834614442
90,z,LOCF,drop,0.7937828494125925
90,z,LOCF,LOCF,0.7821433586459574
90,z,LOCF,interpolation,0.7813644493771241
90,lof,LOCF,drop,0.7792127608007942
90,lof,LOCF,LOCF,0.7703331793360176
90,lof,LOCF,interpolation,0.7683226641851133
90,hst,LOCF,drop,0.7773145909275981
90,hst,LOCF,LOCF,0.7686282137987235
90,hst,LOCF,interpolation,0.767830367038103
90,z,LOCF,drop,0.7830559980879785
90,z,LOCF,LOCF,0.7775474255080994
90,z,LOCF,interpolation,0.7771947122933069
90,lof,LOCF,drop,0.7802511186172882
90,lof,LOCF,LOCF,0.766710574728563
90,lof,LOCF,interpolation,0.7659992290232099
90,hst,LOCF,drop,0.7768997285685899
90,hst,LOCF,LOCF,0.7684804572096265
90,hst,LOCF,interpolation,0.7686941026756604
90,z,LOCF,drop,0.7925256883693516
90,z,LOCF,LOCF,0.7823560178257157
90,z,LOCF,interpolation,0.781956042915845
90,lof,LOCF,drop,0.772084975772092
90,lof,LOCF,LOCF,0.7649886696102106
90,lof,LOCF,interpolation,0.7635064665600113
90,hst,LOCF,drop,0.7796190694258772
90,hst,LOCF,LOCF,0.7740240152938762
90,hst,LOCF,interpolation,0.7743358596644379
90,z,LOCF,drop,0.7744344845764208
90,z,LOCF,LOCF,0.7729829695926794
90,z,LOCF,interpolation,0.7720332094974097
90,lof,LOCF,drop,0.7740478212786841
90,lof,LOCF,LOCF,0.7694924465857956
90,lof,LOCF,interpolation,0.769915736682881
90,hst,LOCF,drop,0.7672991911634984
90,hst,LOCF,LOCF,0.7635689768790046
90,hst,LOCF,interpolation,0.7615352367705496
90,z,LOCF,drop,0.7848883832295517
90,z,LOCF,LOCF,0.7756555855454512
90,z,LOCF,interpolation,0.7755805422793751
90,lof,LOCF,drop,0.7733263193932534
90,lof,LOCF,LOCF,0.7731036675556178
90,lof,LOCF,interpolation,0.7717974261057262
90,hst,LOCF,drop,0.7765366990363708
90,hst,LOCF,LOCF,0.7700911196508717
90,hst,LOCF,interpolation,0.7697570262614902
90,z,LOCF,drop,0.7833900008178334
90,z,LOCF,LOCF,0.7760303546881737
90,z,LOCF,interpolation,0.7754061114682285
90,lof,LOCF,drop,0.7800505297787801
90,lof,LOCF,LOCF,0.7686176907400503
90,lof,LOCF,interpolation,0.7684347227804947
90,hst,LOCF,drop,0.7815651018411587
90,hst,LOCF,LOCF,0.7667054811043545
90,hst,LOCF,interpolation,0.7661541176869924
80,z,drop,drop,0.790436602436748
80,z,drop,LOCF,0.7760594628950964
80,z,drop,interpolation,0.7737190060370307
80,lof,drop,drop,0.7893524213714703
80,lof,drop,LOCF,0.7819087110737131
80,lof,drop,interpolation,0.7812518432119058
80,hst,drop,drop,0.7946172180404634
80,hst,drop,LOCF,0.7715403042508437
80,hst,drop,interpolation,0.7691810539142013
80,z,drop,drop,0.7874357889193347
80,z,drop,LOCF,0.7783637886857742
80,z,drop,interpolation,0.7749381733029083
80,lof,drop,drop,0.7949484596947621
80,lof,drop,LOCF,0.7806014157548141
80,lof,drop,interpolation,0.7816143488401068
80,hst,drop,drop,0.7934748103648122
80,hst,drop,LOCF,0.7791347454745112
80,hst,drop,interpolation,0.7765363273002188
80,z,drop,drop,0.7855683333760408
80,z,drop,LOCF,0.7758886577389208
80,z,drop,interpolation,0.7758000537929649
80,lof,drop,drop,0.7978627457656318
80,lof,drop,LOCF,0.782918203492095
80,lof,drop,interpolation,0.7791962570433354
80,hst,drop,drop,0.7975759128207692
80,hst,drop,LOCF,0.7826848689721986
80,hst,drop,interpolation,0.7820190007564441
80,z,drop,drop,0.7895102247219283
80,z,drop,LOCF,0.7777680124983082
80,z,drop,interpolation,0.7781395956836333
80,lof,drop,drop,0.7952663521183985
80,lof,drop,LOCF,0.7810181745737227
80,lof,drop,interpolation,0.7814216851682174
80,hst,drop,drop,0.7909632382816548
80,hst,drop,LOCF,0.7775560907441883
80,hst,drop,interpolation,0.7771014709048449
80,z,drop,drop,0.7899091535419684
80,z,drop,LOCF,0.7799549953704912
80,z,drop,interpolation,0.7809035298544756
80,lof,drop,drop,0.7994250562451752
80,lof,drop,LOCF,0.7851934315466168
80,lof,drop,interpolation,0.7822088423380851
80,hst,drop,drop,0.7925512019314314
80,hst,drop,LOCF,0.7803462417135433
80,hst,drop,interpolation,0.7819915213302654
80,z,drop,drop,0.7887842052138485
80,z,drop,LOCF,0.7754552407779146
80,z,drop,interpolation,0.7748915257131892
80,lof,drop,drop,0.7988100281088107
80,lof,drop,LOCF,0.7830499713775886
80,lof,drop,interpolation,0.779694768246443
80,hst,drop,drop,0.7903466072151699
80,hst,drop,LOCF,0.7733599070440983
80,hst,drop,interpolation,0.7726143763281506
80,z,drop,drop,0.7868816278277492
80,z,drop,LOCF,0.7714900202417603
80,z,drop,interpolation,0.7714894843201586
80,lof,drop,drop,0.808116315082247
80,lof,drop,LOCF,0.7832673271752195
80,lof,drop,interpolation,0.7840583850536353
80,hst,drop,drop,0.782548430297958
80,hst,drop,LOCF,0.772571741467077
