percentage,outlier,imputation,r2
0,none,none,0.7932019423021994
0,none,none,0.7823479005998287
0,none,none,0.7917737789203085
0,none,none,0.784632962010854
0,none,none,0.7892030848329049
10,none,none,0.7906312482147959
10,none,drop,0.7826653633105245
10,none,LOCF,0.7874892887746359
10,none,mean,0.7829191659525849
10,none,interpolation,0.7837760639817195
10,none,none,0.7863467580691231
10,none,drop,0.7803844900619095
10,none,LOCF,0.7866323907455013
10,none,mean,0.7874892887746359
10,none,interpolation,0.7823479005998287
10,none,none,0.7863467580691231
10,none,drop,0.7859237536656891
10,none,LOCF,0.7820622679234505
10,none,mean,0.7889174521565268
10,none,interpolation,0.7852042273636104
10,none,none,0.7837760639817195
10,none,drop,0.7868036103330222
10,none,LOCF,0.7866323907455013
10,none,mean,0.7863467580691231
10,none,interpolation,0.7857754927163667
10,none,none,0.7803484718651813
10,none,drop,0.7833170413815576
10,none,LOCF,0.786061125392745
10,none,mean,0.7897743501856611
10,none,interpolation,0.7834904313053414
10,none,none,0.7866323907455013
10,none,drop,0.7901596611274032
10,none,LOCF,0.7849185946872322
10,none,mean,0.781491002570694
10,none,interpolation,0.7834904313053414
10,none,none,0.7834904313053414
10,none,drop,0.7855979146301728
10,none,LOCF,0.7889174521565268
10,none,mean,0.7854898600399886
10,none,interpolation,0.7874892887746359
20,none,none,0.7789203084832905
20,none,drop,0.7838452787258248
20,none,LOCF,0.7886318194801485
20,none,mean,0.7866323907455013
20,none,interpolation,0.7829191659525849
20,none,none,0.7854898600399886
20,none,drop,0.7861205915813424
20,none,LOCF,0.7817766352470724
20,none,mean,0.781491002570694
20,none,interpolation,0.787774921451014
20,none,none,0.7849185946872322
20,none,drop,0.7799352750809061
20,none,LOCF,0.786061125392745
20,none,mean,0.7854898600399886
20,none,interpolation,0.786061125392745
20,none,none,0.7772065124250214
20,none,drop,0.7804323094425484
20,none,LOCF,0.7866323907455013
20,none,mean,0.7903456155384176
20,none,interpolation,0.781491002570694
20,none,none,0.781491002570694
20,none,drop,0.7842244975350776
20,none,LOCF,0.7837760639817195
20,none,mean,0.7849185946872322
20,none,interpolation,0.7852042273636104
20,none,none,0.7826335332762068
20,none,drop,0.7846098525710177
20,none,LOCF,0.7812053698943159
20,none,mean,0.7823479005998287
20,none,interpolation,0.7863467580691231
20,none,none,0.7834904313053414
20,none,drop,0.7921880925293894
20,none,LOCF,0.7769208797486432
