percentage,outlier,imputation,r2
0,none,none,0.7932019423021994
0,none,none,0.7823479005998287
0,none,none,0.7917737789203085
0,none,none,0.784632962010854
0,none,none,0.7892030848329049
10,none,none,0.7817766352470724
10,z,none,0.5204227363610398
10,lof,none,0.7166523850328478
10,iforest,none,0.6538131962296486
10,hst,none,0.6218223364752927
10,none,none,0.7840616966580976
10,z,none,0.5232790631248215
10,lof,none,0.7200799771493858
10,iforest,none,0.6421022564981433
10,hst,none,0.6481005427020852
10,none,none,0.7866323907455013
10,z,none,0.5158526135389888
10,lof,none,0.7109397315052842
10,iforest,none,0.6392459297343616
10,hst,none,0.6098257640674093
10,none,none,0.7872036560982576
10,z,none,0.5187089403027706
10,lof,none,0.7052270779777207
10,iforest,none,0.6435304198800342
10,hst,none,0.6512425021422451
10,none,none,0.7883461868037703
10,z,none,0.5232790631248215
10,lof,none,0.7109397315052842
10,iforest,none,0.6378177663524707
10,hst,none,0.6295344187375036
10,none,none,0.7852042273636104
10,z,none,0.5244215938303342
10,lof,none,0.7240788346186804
10,iforest,none,0.6483861753784633
10,hst,none,0.6546700942587832
10,none,none,0.787774921451014
10,z,none,0.5204227363610398
10,lof,none,0.7220794058840332
10,iforest,none,0.6495287060839761
10,hst,none,0.6423878891745216
10,none,none,0.7897743501856611
10,z,none,0.5149957155098543
10,lof,none,0.7055127106540988
10,iforest,none,0.6506712367894887
10,hst,none,0.6298200514138818
20,none,none,0.7826335332762068
20,z,none,0.5147100828334762
20,lof,none,0.6875178520422737
20,iforest,none,0.6363896029705798
20,hst,none,0.676949443016281
20,none,none,0.7817766352470724
20,z,none,0.5212796343901742
20,lof,none,0.6786632390745502
20,iforest,none,0.644672950585547
20,hst,none,0.6823764638674664
20,none,none,0.7872036560982576
20,z,none,0.517566409597258
20,lof,none,0.689802913453299
20,iforest,none,0.6421022564981433
20,hst,none,0.68808911739503
20,none,none,0.7854898600399886
20,z,none,0.5195658383319052
20,lof,none,0.6829477292202228
20,iforest,none,0.6449585832619251
20,hst,none,0.683233361896601
20,none,none,0.7817766352470724
20,z,none,0.5164238788917452
20,lof,none,0.6812339331619537
20,iforest,none,0.6401028277634961
20,hst,none,0.6715224221650957
20,none,none,0.7812053698943159
20,z,none,0.5164238788917452
20,lof,none,0.6789488717509283
20,iforest,none,0.6495287060839761
20,hst,none,0.6912310768351899
20,none,none,0.7803484718651813
