percentage,outlier,imputation,r2
0,none,none,0.7932019423021994
0,none,none,0.7823479005998287
0,none,none,0.7917737789203085
0,none,none,0.784632962010854
0,none,none,0.7892030848329049
10,none,none,0.7834904313053414
10,z,drop,0.0
10,z,LOCF,0.5244215938303342
10,z,mean,0.5172807769208797
10,z,interpolation,0.5235646958011997
10,lof,drop,0.7810748433893835
10,lof,LOCF,0.7012282205084261
10,lof,mean,0.7080834047415024
10,lof,interpolation,0.6943730362753499
10,iforest,drop,0.8017600741083835
10,iforest,LOCF,0.6086832333618966
10,iforest,mean,0.6263924592973437
10,iforest,interpolation,0.6212510711225364
10,hst,drop,0.7820748925721301
10,hst,LOCF,0.6149671522422165
10,hst,mean,0.6269637246501
10,hst,interpolation,0.6198229077406455
10,z,drop,0.0
10,z,LOCF,0.5215652670665524
10,z,mean,0.5178520422736361
10,z,interpolation,0.5184233076263924
10,lof,drop,0.7744807121661721
10,lof,LOCF,0.68808911739503
10,lof,mean,0.7095115681233933
10,lof,interpolation,0.6943730362753499
10,iforest,drop,0.8042572882924572
10,iforest,LOCF,0.6063981719508712
10,iforest,mean,0.6069694373036275
10,iforest,interpolation,0.6146815195658384
10,hst,drop,0.7839819514946418
10,hst,LOCF,0.6223936018280491
10,hst,mean,0.6389602970579834
10,hst,interpolation,0.6275349900028563
10,z,drop,0.0
10,z,LOCF,0.5178520422736361
10,z,mean,0.5198514710082833
10,z,interpolation,0.5201371036846615
10,lof,drop,0.783712495878668
10,lof,LOCF,0.7020851185375607
10,lof,mean,0.7200799771493858
10,lof,interpolation,0.6966580976863753
10,iforest,drop,0.800556586270872
10,iforest,LOCF,0.593259068837475
10,iforest,mean,0.5989717223650386
10,iforest,interpolation,0.6103970294201657
10,hst,drop,0.8006734006734008
10,hst,LOCF,0.6006855184233076
10,hst,mean,0.6003998857469295
10,hst,interpolation,0.598114824335904
10,none,none,0.786061125392745
10,z,drop,0.0
10,z,LOCF,0.5189945729791489
10,z,mean,0.5181376749500143
10,z,interpolation,0.5215652670665524
10,lof,drop,0.7782397782397781
10,lof,LOCF,0.681519565838332
10,lof,mean,0.6983718937446444
10,lof,interpolation,0.6940874035989717
10,iforest,drop,0.79935125115848
10,iforest,LOCF,0.6081119680091402
10,iforest,mean,0.6066838046272494
10,iforest,interpolation,0.6215367037989146
10,hst,drop,0.7869858809085328
10,hst,LOCF,0.6072550699800057
