percentage,outlier,correction,imputation,r2
0,none,none,none,0.7932019423021994
0,none,none,none,0.7823479005998287
0,none,none,none,0.7917737789203085
0,none,none,none,0.784632962010854
0,none,none,none,0.7892030848329049
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5187089403027706
10,z,LOCF,interpolation,0.5209940017137961
10,lof,drop,LOCF,0.7741228070175439
10,lof,drop,interpolation,0.77875274208712
10,lof,LOCF,LOCF,0.7243644672950585
10,lof,LOCF,interpolation,0.7166523850328478
10,hst,drop,LOCF,0.6174863387978142
10,hst,drop,interpolation,0.6502732240437158
10,hst,LOCF,LOCF,0.4710082833476149
10,hst,LOCF,interpolation,0.4767209368751785
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5158526135389888
10,z,LOCF,interpolation,0.5201371036846615
10,lof,drop,LOCF,0.7835213032581454
10,lof,drop,interpolation,0.7823363607892264
10,lof,LOCF,LOCF,0.7280776920879749
10,lof,LOCF,interpolation,0.7309340188517567
10,hst,drop,LOCF,0.7111716621253404
10,hst,drop,interpolation,0.6975476839237057
10,hst,LOCF,LOCF,0.540131391031134
10,hst,LOCF,interpolation,0.5438446158240503
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5178520422736361
10,z,LOCF,interpolation,0.5195658383319052
10,lof,drop,LOCF,0.7846394984326018
10,lof,drop,interpolation,0.7869006581009088
10,lof,LOCF,LOCF,0.7232219365895458
10,lof,LOCF,interpolation,0.7266495287060841
10,hst,drop,LOCF,0.6405693950177936
10,hst,drop,interpolation,0.6761565836298933
10,hst,LOCF,LOCF,0.5212796343901742
10,hst,LOCF,interpolation,0.5247072265067124
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5209940017137961
10,z,LOCF,interpolation,0.5207083690374179
10,lof,drop,LOCF,0.7841478696741855
10,lof,drop,interpolation,0.7803884711779449
10,lof,LOCF,LOCF,0.7195087117966297
10,lof,LOCF,interpolation,0.7192230791202514
10,hst,drop,LOCF,0.6726618705035972
10,hst,drop,interpolation,0.6834532374100719
10,hst,LOCF,LOCF,0.5169951442445015
10,hst,LOCF,interpolation,0.5287060839760068
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5218508997429306
10,z,LOCF,interpolation,0.5172807769208797
10,lof,drop,LOCF,0.7825814536340853
10,lof,drop,interpolation,0.7794486215538847
10,lof,LOCF,LOCF,0.7335047129391602
10,lof,LOCF,interpolation,0.7337903456155385
10,hst,drop,LOCF,0.6611111111111111
10,hst,drop,interpolation,0.6777777777777778
10,hst,LOCF,LOCF,0.5084261639531562
10,hst,LOCF,interpolation,0.5058554698657527
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5178520422736361
10,z,LOCF,interpolation,0.5281348186232505
10,lof,drop,LOCF,0.7844611528822056
10,lof,drop,interpolation,0.7863472267804398
10,lof,LOCF,LOCF,0.7195087117966297
10,lof,LOCF,interpolation,0.7217937732076549
10,hst,drop,LOCF,0.6914893617021277
10,hst,drop,interpolation,0.6879432624113475
10,hst,LOCF,LOCF,0.5212796343901742
10,hst,LOCF,interpolation,0.5087117966295345
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5155669808626107
10,z,LOCF,interpolation,0.5138531848043416
10,lof,drop,LOCF,0.7765258215962442
10,lof,drop,interpolation,0.7823363607892264
10,lof,LOCF,LOCF,0.7283633247643531
10,lof,LOCF,interpolation,0.7300771208226221
10,hst,drop,LOCF,0.6496062992125984
10,hst,drop,interpolation,0.6456692913385826
10,hst,LOCF,LOCF,0.5155669808626107
10,hst,LOCF,interpolation,0.5207083690374179
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5169951442445015
10,z,LOCF,interpolation,0.519280205655527
10,lof,drop,LOCF,0.7818466353677621
10,lof,drop,interpolation,0.7782649545881617
10,lof,LOCF,LOCF,0.7335047129391602
10,lof,LOCF,interpolation,0.7266495287060841
10,hst,drop,LOCF,0.6692913385826772
10,hst,drop,interpolation,0.6692913385826772
10,hst,LOCF,LOCF,0.5169951442445015
10,hst,LOCF,interpolation,0.5249928591830906
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5201371036846615
20,z,LOCF,interpolation,0.519280205655527
20,lof,drop,LOCF,0.772002772002772
20,lof,drop,interpolation,0.7760831889081456
20,lof,LOCF,LOCF,0.6886603827477863
20,lof,LOCF,interpolation,0.6860896886603828
20,hst,drop,LOCF,0.763724808895066
20,hst,drop,interpolation,0.7755385684503128
20,hst,LOCF,LOCF,0.62382176520994
20,hst,LOCF,interpolation,0.622107969151671
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5195658383319052
20,z,LOCF,interpolation,0.5227077977720651
20,lof,drop,LOCF,0.7772293517604475
20,lof,drop,interpolation,0.7784726793943384
20,lof,LOCF,LOCF,0.7006569551556698
20,lof,LOCF,interpolation,0.7043701799485861
20,hst,drop,LOCF,0.7650231124807396
20,hst,drop,interpolation,0.7604006163328197
20,hst,LOCF,LOCF,0.622107969151671
20,hst,LOCF,interpolation,0.6123964581548129
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5207083690374179
20,z,LOCF,interpolation,0.5184233076263924
20,lof,drop,LOCF,0.7845993756503642
20,lof,drop,interpolation,0.7836338418862691
20,lof,LOCF,LOCF,0.6943730362753499
20,lof,LOCF,interpolation,0.6998000571265353
20,hst,drop,LOCF,0.7800668151447661
20,hst,drop,interpolation,0.7739420935412027
20,hst,LOCF,LOCF,0.6478149100257069
20,hst,LOCF,interpolation,0.6483861753784633
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5189945729791489
20,z,LOCF,interpolation,0.5141388174807198
20,lof,drop,LOCF,0.7835872576177285
20,lof,drop,interpolation,0.782202216066482
20,lof,LOCF,LOCF,0.6909454441588118
20,lof,LOCF,interpolation,0.696086832333619
20,hst,drop,LOCF,0.7764192139737991
20,hst,drop,interpolation,0.7694323144104804
20,hst,LOCF,LOCF,0.6106826620965439
20,hst,LOCF,interpolation,0.6095401313910311
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.519280205655527
20,z,LOCF,interpolation,0.5229934304484433
20,lof,drop,LOCF,0.7810446212383259
20,lof,drop,interpolation,0.7805046664362254
20,lof,LOCF,LOCF,0.699228791773779
20,lof,LOCF,interpolation,0.6955155669808626
20,hst,drop,LOCF,0.75354609929078
20,hst,drop,interpolation,0.7597517730496453
20,hst,LOCF,LOCF,0.5906883747500714
20,hst,LOCF,interpolation,0.6001142530705512
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5189945729791489
20,z,LOCF,interpolation,0.5198514710082833
20,lof,drop,LOCF,0.7802846233946545
