percentage,outlier,correction,imputation,r2
0,none,none,none,0.7932019423021994
0,none,none,none,0.7823479005998287
0,none,none,none,0.7917737789203085
0,none,none,none,0.784632962010854
0,none,none,none,0.7892030848329049
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5172807769208797
10,z,LOCF,interpolation,0.5218508997429306
10,lof,drop,LOCF,0.7798308800501095
10,lof,drop,interpolation,0.7782649545881617
10,lof,LOCF,LOCF,0.723507569265924
10,lof,LOCF,interpolation,0.7200799771493858
10,hst,drop,LOCF,0.0
10,hst,drop,interpolation,0.0
10,hst,LOCF,LOCF,0.4761496715224221
10,hst,LOCF,interpolation,0.4684375892602114
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5181376749500143
10,z,LOCF,interpolation,0.512996286775207
10,lof,drop,LOCF,0.7867209520826808
10,lof,drop,interpolation,0.7826495458816161
10,lof,LOCF,LOCF,0.7243644672950585
10,lof,LOCF,interpolation,0.7295058554698658
10,hst,drop,LOCF,0.8099838969404187
10,hst,drop,interpolation,0.8035426731078904
10,hst,LOCF,LOCF,0.5409882890602685
10,hst,LOCF,interpolation,0.540131391031134
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5229934304484433
10,z,LOCF,interpolation,0.5172807769208797
10,lof,drop,LOCF,0.7830721003134796
10,lof,drop,interpolation,0.7818181818181819
10,lof,LOCF,LOCF,0.7260782633533276
10,lof,LOCF,interpolation,0.731505284204513
10,hst,drop,LOCF,0.7537537537537538
10,hst,drop,interpolation,0.7477477477477479
10,hst,LOCF,LOCF,0.5252784918594687
10,hst,LOCF,interpolation,0.5184233076263924
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5164238788917452
10,z,LOCF,interpolation,0.5204227363610398
10,lof,drop,LOCF,0.7788220551378446
10,lof,drop,interpolation,0.7866541353383458
10,lof,LOCF,LOCF,0.7175092830619823
10,lof,LOCF,interpolation,0.7132247929163096
10,hst,drop,LOCF,0.7631027253668764
10,hst,drop,interpolation,0.7693920335429769
10,hst,LOCF,LOCF,0.5287060839760068
10,hst,LOCF,interpolation,0.525849757212225
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5189945729791489
10,z,LOCF,interpolation,0.5227077977720651
10,lof,drop,LOCF,0.7826495458816161
10,lof,drop,interpolation,0.7813968055120576
10,lof,LOCF,LOCF,0.7349328763210511
10,lof,LOCF,interpolation,0.7300771208226221
10,hst,drop,LOCF,0.0
10,hst,drop,interpolation,0.0
10,hst,LOCF,LOCF,0.5041416738074835
10,hst,LOCF,interpolation,0.5055698371893744
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5167095115681234
10,z,LOCF,interpolation,0.522422165095687
10,lof,drop,LOCF,0.7863408521303258
10,lof,drop,interpolation,0.7775689223057645
10,lof,LOCF,LOCF,0.7263638960297059
10,lof,LOCF,interpolation,0.7229363039131675
10,hst,drop,LOCF,0.0
10,hst,drop,interpolation,0.0
10,hst,LOCF,LOCF,0.5121393887460726
10,hst,LOCF,interpolation,0.5118537560696944
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5152813481862325
10,z,LOCF,interpolation,0.5198514710082833
10,lof,drop,LOCF,0.7752738654147104
10,lof,drop,interpolation,0.7815336463223788
10,lof,LOCF,LOCF,0.7366466723793202
10,lof,LOCF,interpolation,0.7269351613824622
10,hst,drop,LOCF,0.0
10,hst,drop,interpolation,0.0
10,hst,LOCF,LOCF,0.5189945729791489
10,hst,LOCF,interpolation,0.5167095115681234
10,z,drop,LOCF,0.0
10,z,drop,interpolation,0.0
10,z,LOCF,LOCF,0.5189945729791489
10,z,LOCF,interpolation,0.5209940017137961
10,lof,drop,LOCF,0.7809076682316118
10,lof,drop,interpolation,0.780281690140845
10,lof,LOCF,LOCF,0.7326478149100258
10,lof,LOCF,interpolation,0.7317909168808912
10,hst,drop,LOCF,0.0
10,hst,drop,interpolation,0.0
10,hst,LOCF,LOCF,0.5227077977720651
10,hst,LOCF,interpolation,0.5121393887460726
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5181376749500143
20,z,LOCF,interpolation,0.5209940017137961
20,lof,drop,LOCF,0.7830907830907831
20,lof,drop,interpolation,0.7737352737352737
20,lof,LOCF,LOCF,0.6855184233076264
20,lof,LOCF,interpolation,0.6843758926021137
20,hst,drop,LOCF,0.790750141003948
20,hst,drop,interpolation,0.7834179357021996
20,hst,LOCF,LOCF,0.6215367037989146
20,hst,LOCF,interpolation,0.6206798057697801
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.525849757212225
20,z,LOCF,interpolation,0.524135961153956
20,lof,drop,LOCF,0.7763157894736842
20,lof,drop,interpolation,0.7697368421052632
20,lof,LOCF,LOCF,0.7020851185375607
20,lof,LOCF,interpolation,0.7006569551556698
20,hst,drop,LOCF,0.7808471454880295
20,hst,drop,interpolation,0.7906691221608348
20,hst,LOCF,LOCF,0.6186803770351328
20,hst,LOCF,interpolation,0.6172522136532419
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5249928591830906
20,z,LOCF,interpolation,0.5184233076263924
20,lof,drop,LOCF,0.7861351819757366
20,lof,drop,interpolation,0.7906412478336222
20,lof,LOCF,LOCF,0.6972293630391316
20,lof,LOCF,interpolation,0.7032276492430735
20,hst,drop,LOCF,0.7802037845705967
20,hst,drop,interpolation,0.7826297913634158
20,hst,LOCF,LOCF,0.641530991145387
20,hst,LOCF,interpolation,0.650956869465867
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5198514710082833
20,z,LOCF,interpolation,0.5221365324193088
20,lof,drop,LOCF,0.7811634349030471
20,lof,drop,interpolation,0.78601108033241
20,lof,LOCF,LOCF,0.6926592402170808
20,lof,LOCF,interpolation,0.7000856898029134
20,hst,drop,LOCF,0.7885521885521887
20,hst,drop,interpolation,0.7878787878787878
20,hst,LOCF,LOCF,0.6049700085689803
20,hst,LOCF,interpolation,0.5998286203941731
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5161382462153671
20,z,LOCF,interpolation,0.5184233076263924
20,lof,drop,LOCF,0.7805046664362254
20,lof,drop,interpolation,0.7787763567231247
20,lof,LOCF,LOCF,0.6989431590974008
20,lof,LOCF,interpolation,0.6952299343044844
20,hst,drop,LOCF,0.7912005965697241
20,hst,drop,interpolation,0.7956748695003728
20,hst,LOCF,LOCF,0.6046843758926022
20,hst,LOCF,interpolation,0.5952584975721222
20,z,drop,LOCF,0.0
20,z,drop,interpolation,0.0
20,z,LOCF,LOCF,0.5167095115681234
20,z,LOCF,interpolation,0.5215652670665524
20,lof,drop,LOCF,0.7752341311134235
20,lof,drop,interpolation,0.7731529656607701
20,lof,LOCF,LOCF,0.6795201371036846
