percentage,ML,outlier,imputation,r2
0,reg,none,none,0.8858922240358719
0,clf,none,none,0.911818181818182
0,reg,none,none,0.883912687220678
0,clf,none,none,0.9093939393939394
0,reg,none,none,0.8857278820242394
0,clf,none,none,0.9112121212121213
0,reg,none,none,0.8861628856256488
0,clf,none,none,0.9090909090909092
0,reg,none,none,0.8860640942235963
0,clf,none,none,0.906969696969697
0,reg,none,none,0.8854974285927124
0,clf,none,none,0.9090909090909092
0,reg,none,none,0.8854498463691411
0,clf,none,none,0.9093939393939394
0,reg,none,none,0.8853626524612684
0,clf,none,none,0.9121212121212121
10,reg,none,none,0.8422833222618594
10,reg,none,drop,0.8808712872206436
10,reg,none,locf,0.8657354854851882
10,reg,none,mean,0.8709009716928112
10,reg,none,interpolation,0.871530783581009
10,clf,none,none,0.896969696969697
10,clf,none,drop,0.914141414141414
10,clf,none,locf,0.9057575757575758
10,clf,none,mean,0.906060606060606
10,clf,none,interpolation,0.9112121212121213
10,reg,none,none,0.8342791210723253
10,reg,none,drop,0.8818815799318961
10,reg,none,locf,0.8552968781115883
10,reg,none,mean,0.8654014968717809
10,reg,none,interpolation,0.8655458623873713
10,clf,none,none,0.8924242424242425
10,clf,none,drop,0.9149440867502542
10,clf,none,locf,0.9045454545454544
10,clf,none,mean,0.906060606060606
10,clf,none,interpolation,0.9036363636363636
10,reg,none,none,0.8370742665712383
10,reg,none,drop,0.882267410209939
10,reg,none,locf,0.8548114211173818
10,reg,none,mean,0.8657870961429892
10,reg,none,interpolation,0.859663554836144
10,clf,none,none,0.8972727272727272
10,clf,none,drop,0.915043653458697
10,clf,none,locf,0.9030303030303032
10,clf,none,mean,0.9066666666666666
10,clf,none,interpolation,0.906060606060606
10,reg,none,none,0.8416062246021037
10,reg,none,drop,0.8809130922671254
10,reg,none,locf,0.8598299807579894
10,reg,none,mean,0.8663827816173307
10,reg,none,interpolation,0.8624338893185839
10,clf,none,none,0.8912121212121212
10,clf,none,drop,0.9091216216216216
10,clf,none,locf,0.9024242424242424
10,clf,none,mean,0.904848484848485
10,clf,none,interpolation,0.903939393939394
10,reg,none,none,0.8491211345007318
10,reg,none,drop,0.8838388613529808
10,reg,none,locf,0.8640953663793433
10,reg,none,mean,0.8698357560507501
10,reg,none,interpolation,0.8664281122870501
10,clf,none,none,0.8984848484848484
10,clf,none,drop,0.914986559139785
10,clf,none,locf,0.9057575757575758
10,clf,none,mean,0.9084848484848485
10,clf,none,interpolation,0.9066666666666666
10,reg,none,none,0.8384638934246662
10,reg,none,drop,0.8837656209476938
10,reg,none,locf,0.855850056326352
10,reg,none,mean,0.8742363114940832
10,reg,none,interpolation,0.864873694372488
10,clf,none,none,0.8981818181818182
10,clf,none,drop,0.9128532974427994
10,clf,none,locf,0.9033333333333332
10,clf,none,mean,0.9103030303030304
10,clf,none,interpolation,0.9084848484848485
10,reg,none,none,0.8401179249951976
10,reg,none,drop,0.8795965615795136
10,reg,none,locf,0.8581827791011386
10,reg,none,mean,0.868974476764445
10,reg,none,interpolation,0.8669157776589226
10,clf,none,none,0.8924242424242425
10,clf,none,drop,0.908355795148248
10,clf,none,locf,0.902121212121212
10,clf,none,mean,0.911818181818182
10,clf,none,interpolation,0.906969696969697
10,reg,none,none,0.8466801293296725
10,reg,none,drop,0.8840856651221045
10,reg,none,locf,0.8620172274999793
10,reg,none,mean,0.8698388181332124
10,reg,none,interpolation,0.8660340483866724
10,clf,none,none,0.8981818181818182
10,clf,none,drop,0.9105937921727396
10,clf,none,locf,0.906969696969697
10,clf,none,mean,0.9051515151515152
10,clf,none,interpolation,0.9057575757575758
20,reg,none,none,0.8196852156897492
20,reg,none,drop,0.8825878651938424
20,reg,none,locf,0.8417703658517618
20,reg,none,mean,0.8521883811128946
20,reg,none,interpolation,0.8485585737115952
20,clf,none,none,0.88
20,clf,none,drop,0.9028248587570622
20,clf,none,locf,0.8987878787878788
20,clf,none,mean,0.896969696969697
20,clf,none,interpolation,0.903939393939394
20,reg,none,none,0.8112392467558557
20,reg,none,drop,0.8762530944941656
