percentage,method,precision,recall,f1
10,z,1.0,0.8803589232303091,0.936373276776246
10,lof,1.0,0.3738783649052841,0.5442670537010159
10,iforest,0.9976580796252928,0.4247258225324028,0.5958041958041957
10,z,1.0,0.8903591682419659,0.942
10,lof,1.0,0.3667296786389414,0.5366528354080221
10,iforest,0.9977728285077953,0.4234404536862003,0.5945587259455872
10,z,1.0,0.8965163934426229,0.9454349000540248
10,lof,1.0,0.3565573770491803,0.525679758308157
10,iforest,1.0,0.4375,0.6086956521739131
10,z,1.0,0.901066925315228,0.9479591836734694
10,lof,1.0,0.3559650824442289,0.525035765379113
10,iforest,1.0,0.4325897187196896,0.6039268788083954
10,z,1.0,0.8931841302136317,0.9435787211176788
10,lof,1.0,0.3855544252288911,0.5565345080763583
10,iforest,0.9976905311778292,0.4394710071210579,0.6101694915254238
10,z,1.0,0.8855421686746988,0.9392971246006392
10,lof,1.0,0.3664658634538152,0.5363703159441586
10,iforest,1.0,0.4136546184738955,0.5852272727272727
10,z,1.0,0.875,0.9333333333333332
10,lof,1.0,0.3789682539682539,0.5496402877697841
10,iforest,1.0,0.3948412698412698,0.566145092460882
10,z,1.0,0.8756121449559255,0.933681462140992
10,lof,1.0,0.3819784524975514,0.5527994330262226
10,iforest,1.0,0.4054848188050931,0.5770034843205576
20,z,1.0,0.8421052631578947,0.9142857142857144
20,lof,1.0,0.3157894736842105,0.4799999999999999
20,iforest,1.0,0.347470618293306,0.515737580583997
20,z,1.0,0.8410832907511497,0.91368304190952
20,lof,1.0,0.3219213081246806,0.4870506378044066
20,iforest,1.0,0.3418497700562085,0.5095201827875095
20,z,1.0,0.8464249748237663,0.9168257431142622
20,lof,1.0,0.3121852970795569,0.4758250191864927
20,iforest,1.0,0.3585095669687814,0.5277983691623425
20,z,1.0,0.8212209302325582,0.9018355945730248
20,lof,1.0,0.3299418604651162,0.4961748633879781
20,iforest,1.0,0.3318798449612403,0.4983630411058566
20,z,1.0,0.8363273453093812,0.9108695652173912
20,lof,1.0,0.3288423153692614,0.4949305294780323
20,iforest,1.0,0.3458083832335329,0.5139043381535039
20,z,1.0,0.8360413589364845,0.9106999195494772
20,lof,1.0,0.3210241260462826,0.4860231084606783
20,iforest,1.0,0.3303791235844411,0.4966691339748335
20,z,1.0,0.8312559923298178,0.9078534031413612
20,lof,1.0,0.3317353787152445,0.4982001439884809
20,iforest,1.0,0.3389261744966443,0.506265664160401
20,z,1.0,0.841948310139165,0.9141932002158664
20,lof,1.0,0.3106361829025845,0.4740235115661736
20,iforest,1.0,0.34840954274353875,0.5167711021009952
30,z,1.0,0.7871270533020449,0.8808853873569686
30,lof,1.0,0.2695273214884344,0.424610509638236
30,iforest,1.0,0.2886356017432115,0.4479708636836628
30,z,1.0,0.7744583059750493,0.872895467160037
30,lof,1.0,0.2593565331582403,0.4118873826903024
30,iforest,1.0,0.2820091923834537,0.4399487836107554
30,z,1.0,0.7899898545823469,0.882675231437748
30,lof,1.0,0.2691917483936422,0.4241939781508126
30,iforest,1.0,0.2847480554616165,0.4432745459331403
30,z,1.0,0.7779973649538867,0.8751389403482771
30,lof,1.0,0.2707509881422925,0.4261275272161742
30,iforest,1.0,0.2997364953886693,0.4612265585402939
30,z,1.0,0.7777040477770405,0.8749533407988055
30,lof,1.0,0.2657597876575979,0.4199213630406291
30,iforest,1.0,0.2753815527538155,0.4318418314255983
30,z,1.0,0.7726089785296031,0.8717195815746008
30,lof,1.0,0.2569941444372153,0.4089026915113872
30,iforest,1.0,0.2836694860117111,0.4419665484034465
30,z,1.0,0.7898962863834058,0.8826168224299066
30,lof,1.0,0.2579458012713282,0.4101063829787233
