percentage,ML,outlier,correction,imputation,r2
0,reg,none,none,none,0.8858922240358719
0,clf,none,none,none,0.911818181818182
0,reg,none,none,none,0.883912687220678
0,clf,none,none,none,0.9093939393939394
0,reg,none,none,none,0.8857278820242394
0,clf,none,none,none,0.9112121212121213
0,reg,none,none,none,0.8861628856256488
0,clf,none,none,none,0.9090909090909092
0,reg,none,none,none,0.8860640942235963
0,clf,none,none,none,0.906969696969697
0,reg,none,none,none,0.8854974285927124
0,clf,none,none,none,0.9090909090909092
0,reg,none,none,none,0.8854498463691411
0,clf,none,none,none,0.9093939393939394
0,reg,none,none,none,0.8853626524612684
0,clf,none,none,none,0.9121212121212121
10,reg,none,none,none,0.8444233563251202
10,clf,none,none,none,0.8945454545454545
10,reg,none,none,none,0.8375847423327591
10,clf,none,none,none,0.8942424242424243
10,reg,none,none,none,0.842554161223804
10,clf,none,none,none,0.8975757575757576
10,reg,none,none,none,0.8473617595920898
10,clf,none,none,none,0.8948484848484849
10,reg,none,none,none,0.8487596578642862
10,clf,none,none,none,0.8963636363636364
10,reg,none,none,none,0.8394017923955839
10,clf,none,none,none,0.8927272727272728
10,reg,none,none,none,0.8372933508839242
10,clf,none,none,none,0.8921212121212121
10,reg,none,none,none,0.8482535402067497
10,clf,none,none,none,0.9018181818181819
20,reg,none,none,none,0.8194192914709462
20,clf,none,none,none,0.8803030303030304
20,reg,none,none,none,0.8078183686154425
20,clf,none,none,none,0.8878787878787879
20,reg,none,none,none,0.8110357293655216
20,clf,none,none,none,0.8793939393939393
20,reg,none,none,none,0.813566151714276
20,clf,none,none,none,0.8857575757575757
20,reg,none,none,none,0.8036522426002344
20,clf,none,none,none,0.8827272727272728
20,reg,none,none,none,0.8115892776027962
20,clf,none,none,none,0.8842424242424243
20,reg,none,none,none,0.8119145163067334
20,clf,none,none,none,0.883030303030303
20,reg,none,none,none,0.8163520128376331
20,clf,none,none,none,0.8827272727272728
30,reg,none,none,none,0.7866140100037438
30,clf,none,none,none,0.8672727272727273
30,reg,none,none,none,0.7822582896225354
30,clf,none,none,none,0.8763636363636363
30,reg,none,none,none,0.7957224573922553
30,clf,none,none,none,0.8796969696969696
30,reg,none,none,none,0.7874386898265402
30,clf,none,none,none,0.8745454545454546
30,reg,none,none,none,0.7869627148038223
30,clf,none,none,none,0.8706060606060605
30,reg,none,none,none,0.789048105011233
30,clf,none,none,none,0.8754545454545456
30,reg,none,none,none,0.7883680209902876
30,clf,none,none,none,0.8715151515151515
30,reg,none,none,none,0.7908414152031632
30,clf,none,none,none,0.8733333333333333
40,reg,none,none,none,0.775247629518333
40,clf,none,none,none,0.8624242424242424
40,reg,none,none,none,0.7593465869789495
40,clf,none,none,none,0.8587878787878787
40,reg,none,none,none,0.7685550184178535
40,clf,none,none,none,0.863030303030303
40,reg,none,none,none,0.7584448040991174
40,clf,none,none,none,0.8663636363636363
40,reg,none,none,none,0.7638500785348215
40,clf,none,none,none,0.8672727272727273
40,reg,none,none,none,0.7627392598653422
40,clf,none,none,none,0.8642424242424243
40,reg,none,none,none,0.7694470046446984
40,clf,none,none,none,0.8660606060606061
40,reg,none,none,none,0.7656918787222932
40,clf,none,none,none,0.8603030303030303
50,reg,none,none,none,0.7531636538120452
50,clf,none,none,none,0.860909090909091
50,reg,none,none,none,0.7427450650616982
50,clf,none,none,none,0.8563636363636363
50,reg,none,none,none,0.7307939465251269
50,clf,none,none,none,0.8506060606060606
50,reg,none,none,none,0.7544793915321298
50,clf,none,none,none,0.8575757575757575
50,reg,none,none,none,0.7516355933354766
50,clf,none,none,none,0.8539393939393939
50,reg,none,none,none,0.7548891718805861
50,clf,none,none,none,0.8645454545454545
50,reg,none,none,none,0.7382567780608281
50,clf,none,none,none,0.8524242424242424
50,reg,none,none,none,0.7489630871614281
50,clf,none,none,none,0.8533333333333335
10,reg,z,drop,locf,0.8704609682699533
10,reg,z,locf,locf,0.7953368295439478
10,reg,z,mean,locf,0.8282254745346673
10,reg,z,interpolation,locf,0.8282015302224641
10,reg,lof,drop,locf,0.8619976861280721
10,reg,lof,locf,locf,0.8419008528664218
10,reg,lof,mean,locf,0.8510933865026225
10,reg,lof,interpolation,locf,0.8511673936849427
10,reg,iforest,drop,locf,0.862502179980411
10,reg,iforest,locf,locf,0.8186138688799843
10,reg,iforest,mean,locf,0.8411151374694003
10,reg,iforest,interpolation,locf,0.841605096028655
10,reg,z,drop,mean,0.8731202790504741
10,reg,z,locf,mean,0.7997743776393029
10,reg,z,mean,mean,0.8329257315018375
10,reg,z,interpolation,mean,0.831497836368497
10,reg,lof,drop,mean,0.8663103628218514
10,reg,lof,locf,mean,0.8462645016699492
10,reg,lof,mean,mean,0.8558053253020236
10,reg,lof,interpolation,mean,0.8560822833577282
10,reg,iforest,drop,mean,0.8664931295374234
10,reg,iforest,locf,mean,0.8226637292769525
10,reg,iforest,mean,mean,0.8444108670343078
10,reg,iforest,interpolation,mean,0.8456855389404342
10,reg,z,drop,interpolation,0.873892385268245
10,reg,z,locf,interpolation,0.8000634239449809
10,reg,z,mean,interpolation,0.832538443016772
10,reg,z,interpolation,interpolation,0.8314801771888176
10,reg,lof,drop,interpolation,0.8666166442854403
10,reg,lof,locf,interpolation,0.845819924478932
10,reg,lof,mean,interpolation,0.8549617633251981
10,reg,lof,interpolation,interpolation,0.8560433523057824
10,reg,iforest,drop,interpolation,0.8656843685145492
10,reg,iforest,locf,interpolation,0.8227835361961585
10,reg,iforest,mean,interpolation,0.844454623692841
10,reg,iforest,interpolation,interpolation,0.8456883694630764
10,clf,z,drop,locf,0.901935893367185
10,clf,z,locf,locf,0.8927272727272728
10,clf,z,mean,locf,0.8978787878787878
10,clf,z,interpolation,locf,0.8954545454545455
10,clf,lof,drop,locf,0.9056255763910236
10,clf,lof,locf,locf,0.8987878787878788
10,clf,lof,mean,locf,0.906969696969697
10,clf,lof,interpolation,locf,0.9009090909090908
10,clf,iforest,drop,locf,0.9017412935323385
10,clf,iforest,locf,locf,0.8903030303030303
10,clf,iforest,mean,locf,0.8951515151515151
10,clf,iforest,interpolation,locf,0.8975757575757576
10,clf,z,drop,mean,0.907994923857868
10,clf,z,locf,mean,0.8942424242424243
10,clf,z,mean,mean,0.8906060606060606
10,clf,z,interpolation,mean,0.8948484848484849
10,clf,lof,drop,mean,0.9071626191208116
10,clf,lof,locf,mean,0.9030303030303032
10,clf,lof,mean,mean,0.9051515151515152
10,clf,lof,interpolation,mean,0.9030303030303032
10,clf,iforest,drop,mean,0.906405472636816
10,clf,iforest,locf,mean,0.9006060606060606
