percentage,ML,outlier,correction,imputation,r2
0,reg,none,none,none,0.8858922240358719
0,clf,none,none,none,0.911818181818182
0,reg,none,none,none,0.883912687220678
0,clf,none,none,none,0.9093939393939394
0,reg,none,none,none,0.8857278820242394
0,clf,none,none,none,0.9112121212121213
0,reg,none,none,none,0.8861628856256488
0,clf,none,none,none,0.9090909090909092
0,reg,none,none,none,0.8860640942235963
0,clf,none,none,none,0.906969696969697
0,reg,none,none,none,0.8854974285927124
0,clf,none,none,none,0.9090909090909092
0,reg,none,none,none,0.8854498463691411
0,clf,none,none,none,0.9093939393939394
0,reg,none,none,none,0.8853626524612684
0,clf,none,none,none,0.9121212121212121
10,reg,none,none,none,0.8444233563251202
10,clf,none,none,none,0.8945454545454545
10,reg,none,none,none,0.8375847423327591
10,clf,none,none,none,0.8942424242424243
10,reg,none,none,none,0.842554161223804
10,clf,none,none,none,0.8975757575757576
10,reg,none,none,none,0.8473617595920898
10,clf,none,none,none,0.8948484848484849
10,reg,none,none,none,0.8487596578642862
10,clf,none,none,none,0.8963636363636364
10,reg,none,none,none,0.8394017923955839
10,clf,none,none,none,0.8927272727272728
10,reg,none,none,none,0.8372933508839242
10,clf,none,none,none,0.8921212121212121
10,reg,none,none,none,0.8482535402067497
10,clf,none,none,none,0.9018181818181819
20,reg,none,none,none,0.8194192914709462
20,clf,none,none,none,0.8803030303030304
20,reg,none,none,none,0.8078183686154425
20,clf,none,none,none,0.8878787878787879
20,reg,none,none,none,0.8110357293655216
20,clf,none,none,none,0.8793939393939393
20,reg,none,none,none,0.813566151714276
20,clf,none,none,none,0.8857575757575757
20,reg,none,none,none,0.8036522426002344
20,clf,none,none,none,0.8827272727272728
20,reg,none,none,none,0.8115892776027962
20,clf,none,none,none,0.8842424242424243
20,reg,none,none,none,0.8119145163067334
20,clf,none,none,none,0.883030303030303
20,reg,none,none,none,0.8163520128376331
20,clf,none,none,none,0.8827272727272728
30,reg,none,none,none,0.7866140100037438
30,clf,none,none,none,0.8672727272727273
30,reg,none,none,none,0.7822582896225354
30,clf,none,none,none,0.8763636363636363
30,reg,none,none,none,0.7957224573922553
30,clf,none,none,none,0.8796969696969696
30,reg,none,none,none,0.7874386898265402
30,clf,none,none,none,0.8745454545454546
30,reg,none,none,none,0.7869627148038223
30,clf,none,none,none,0.8706060606060605
30,reg,none,none,none,0.789048105011233
30,clf,none,none,none,0.8754545454545456
30,reg,none,none,none,0.7883680209902876
30,clf,none,none,none,0.8715151515151515
30,reg,none,none,none,0.7908414152031632
30,clf,none,none,none,0.8733333333333333
40,reg,none,none,none,0.775247629518333
40,clf,none,none,none,0.8624242424242424
40,reg,none,none,none,0.7593465869789495
40,clf,none,none,none,0.8587878787878787
40,reg,none,none,none,0.7685550184178535
40,clf,none,none,none,0.863030303030303
40,reg,none,none,none,0.7584448040991174
40,clf,none,none,none,0.8663636363636363
40,reg,none,none,none,0.7638500785348215
40,clf,none,none,none,0.8672727272727273
40,reg,none,none,none,0.7627392598653422
40,clf,none,none,none,0.8642424242424243
40,reg,none,none,none,0.7694470046446984
40,clf,none,none,none,0.8660606060606061
40,reg,none,none,none,0.7656918787222932
40,clf,none,none,none,0.8603030303030303
50,reg,none,none,none,0.7531636538120452
50,clf,none,none,none,0.860909090909091
50,reg,none,none,none,0.7427450650616982
50,clf,none,none,none,0.8563636363636363
50,reg,none,none,none,0.7307939465251269
50,clf,none,none,none,0.8506060606060606
50,reg,none,none,none,0.7544793915321298
50,clf,none,none,none,0.8575757575757575
50,reg,none,none,none,0.7516355933354766
50,clf,none,none,none,0.8539393939393939
50,reg,none,none,none,0.7548891718805861
50,clf,none,none,none,0.8645454545454545
50,reg,none,none,none,0.7382567780608281
50,clf,none,none,none,0.8524242424242424
50,reg,none,none,none,0.7489630871614281
50,clf,none,none,none,0.8533333333333335
10,reg,z,drop,locf,0.8696446253295816
10,reg,z,drop,mean,0.8725833432454221
10,reg,z,drop,interpolation,0.8717110455028918
10,reg,z,locf,locf,0.7980750364591349
10,reg,z,locf,mean,0.8008460069204567
10,reg,z,locf,interpolation,0.8005238187048951
10,reg,z,mean,locf,0.8295399606839964
10,reg,z,mean,mean,0.8330614417353919
10,reg,z,mean,interpolation,0.8338959511967384
10,reg,z,interpolation,locf,0.7980750364591349
10,reg,z,interpolation,mean,0.8330614417353919
10,reg,z,interpolation,interpolation,0.8039256414212484
10,reg,lof,drop,locf,0.8623384715282162
10,reg,lof,drop,mean,0.8660563164012035
10,reg,lof,drop,interpolation,0.8658360819373386
10,reg,lof,locf,locf,0.8439137660872942
10,reg,lof,locf,mean,0.846468195260001
10,reg,lof,locf,interpolation,0.8455560454766589
10,reg,lof,mean,locf,0.8514473136798869
10,reg,lof,mean,mean,0.8553836287595794
10,reg,lof,mean,interpolation,0.8545438457673729
10,reg,lof,interpolation,locf,0.8439137660872942
10,reg,lof,interpolation,mean,0.8553836287595794
10,reg,lof,interpolation,interpolation,0.8520577057315138
10,reg,iforest,drop,locf,0.8623120176859034
10,reg,iforest,drop,mean,0.8658914422103097
10,reg,iforest,drop,interpolation,0.8670702469075069
10,reg,iforest,locf,locf,0.8142848380048703
10,reg,iforest,locf,mean,0.8178923209764962
10,reg,iforest,locf,interpolation,0.818158057075454
10,reg,iforest,mean,locf,0.8383871598719527
10,reg,iforest,mean,mean,0.8418797814031228
10,reg,iforest,mean,interpolation,0.8409236337286092
10,reg,iforest,interpolation,locf,0.8142848380048703
10,reg,iforest,interpolation,mean,0.8418797814031228
10,reg,iforest,interpolation,interpolation,0.825654690926372
10,clf,z,drop,locf,0.907994923857868
10,clf,z,drop,mean,0.9051395939086292
10,clf,z,drop,interpolation,0.9048223350253808
10,clf,z,locf,locf,0.8945454545454545
10,clf,z,locf,mean,0.8954545454545455
10,clf,z,locf,interpolation,0.8860606060606061
10,clf,z,mean,locf,0.896969696969697
10,clf,z,mean,mean,0.8921212121212121
10,clf,z,mean,interpolation,0.8945454545454545
10,clf,z,interpolation,locf,0.8945454545454545
10,clf,z,interpolation,mean,0.8921212121212121
10,clf,z,interpolation,interpolation,0.8927272727272728
10,clf,lof,drop,locf,0.9047033507531508
10,clf,lof,drop,mean,0.9056255763910236
10,clf,lof,drop,interpolation,0.9077774362127268
10,clf,lof,locf,locf,0.8960606060606061
10,clf,lof,locf,mean,0.902121212121212
10,clf,lof,locf,interpolation,0.8966666666666666
10,clf,lof,mean,locf,0.9075757575757576
10,clf,lof,mean,mean,0.906060606060606
10,clf,lof,mean,interpolation,0.9054545454545454
10,clf,lof,interpolation,locf,0.8960606060606061
