percentage,outlier,imputation,r2
0,none,none,0.7604900108764097
10,none,none,0.754364874921289
10,z,drop,1.0
10,z,LOCF,0.7071383593794722
10,z,mean,0.9712633808460702
10,z,interpolation,0.7081687560822028
10,lof,drop,0.7653884628209403
10,lof,LOCF,0.7445761062453489
10,lof,mean,0.7425725571011506
10,lof,interpolation,0.7500143110653157
10,iforest,drop,0.8319171794120521
10,iforest,LOCF,0.7031312610910756
10,iforest,mean,0.6833819909554067
10,iforest,interpolation,0.69975384967657
10,hst,drop,0.7623682076236822
10,hst,LOCF,0.7486976930562711
10,hst,mean,0.7500715553265785
10,hst,interpolation,0.7491556471463736
10,none,none,0.7530482569122445
10,z,drop,1.0
10,z,LOCF,0.7124620756769134
10,z,mean,0.972522754593852
10,z,interpolation,0.709599862613773
10,lof,drop,0.7643890945809492
10,lof,LOCF,0.745434770164291
10,lof,mean,0.7366191539298186
10,lof,interpolation,0.7482397389661686
10,iforest,drop,0.8263759898328281
10,iforest,LOCF,0.7093708855687217
10,iforest,mean,0.6861869597572844
10,iforest,interpolation,0.7001545595054096
10,hst,drop,0.7601510859301227
10,hst,LOCF,0.7458354799931306
10,hst,mean,0.7511019520293091
10,hst,interpolation,0.7459499685156562
10,none,none,0.754364874921289
10,z,drop,1.0
10,z,LOCF,0.7121186101093366
10,z,mean,0.9738966168641594
10,z,interpolation,0.7116034117579711
10,lof,drop,0.7581355028007469
10,lof,LOCF,0.7438891751101953
10,lof,mean,0.7457209914706051
10,lof,interpolation,0.7461789455607075
10,iforest,drop,0.824057801210701
10,iforest,LOCF,0.7015856660369798
10,iforest,mean,0.6889919285591619
10,iforest,interpolation,0.7031885053523385
10,hst,drop,0.76109537299339
10,hst,LOCF,0.7473238307859638
10,hst,mean,0.7481824947049058
10,hst,interpolation,0.7491556471463736
10,none,none,0.7512164405518346
10,z,drop,1.0
10,z,LOCF,0.7097143511362985
10,z,mean,0.9726372431163776
10,z,interpolation,0.7099433281813498
10,lof,drop,0.764206840829518
10,lof,LOCF,0.7448050832904001
10,lof,mean,0.741255939092106
10,lof,interpolation,0.7480107619211174
10,iforest,drop,0.8259976525821596
10,iforest,LOCF,0.7038754364874922
10,iforest,mean,0.6850420745320281
10,iforest,interpolation,0.7002118037666724
10,hst,drop,0.7661114230457297
10,hst,LOCF,0.7529337683897189
10,hst,mean,0.7548228290113916
10,hst,interpolation,0.7517888831644627
10,none,none,0.7556814929303337
10,z,drop,1.0
10,z,LOCF,0.7134352281183811
10,z,mean,0.9742973266929992
10,z,interpolation,0.7116606560192341
10,lof,drop,0.7602694051747133
10,lof,LOCF,0.7468658766958612
10,lof,mean,0.7407407407407407
10,lof,interpolation,0.7496708454977389
10,iforest,drop,0.8253488145184896
10,iforest,LOCF,0.7047913446676971
10,iforest,mean,0.6889919285591619
10,iforest,interpolation,0.7059934741542161
10,hst,drop,0.7646141368769105
10,hst,LOCF,0.7514454175968859
10,hst,mean,0.7509874635067834
10,hst,interpolation,0.7499570668040529
10,none,none,0.7526475470834049
10,z,drop,1.0
10,z,LOCF,0.7082832446047284
10,z,mean,0.9715496021523842
10,z,interpolation,0.7091419085236705
10,lof,drop,0.7616317824290094
10,lof,LOCF,0.7441181521552465
10,lof,mean,0.7377640391550747
10,lof,interpolation,0.7448623275516628
10,iforest,drop,0.8273536025026885
10,iforest,LOCF,0.7070811151182094
10,iforest,mean,0.6880187761176942
10,iforest,interpolation,0.7010132234243517
10,hst,drop,0.764801297648013
10,hst,LOCF,0.7476672963535405
10,hst,mean,0.7503577766328926
