percentage,outlier,imputation,r2
0,none,none,0.7823573186788024
0,none,none,0.7832732268590074
0,none,none,0.7844181120842636
0,none,none,0.7839029137328983
10,none,none,0.7745148548857977
10,lof,none,0.7709084664262408
10,iforest,none,0.758829927299788
10,hst,none,0.7731409926154903
10,none,none,0.776518404029996
10,lof,none,0.7709657106875035
10,iforest,none,0.7613486747953517
10,hst,none,0.7697635812009846
10,none,none,0.7761176942011563
10,lof,none,0.7698780697235102
10,iforest,none,0.7606617436601981
10,hst,none,0.7704505123361383
10,none,none,0.7745148548857977
10,lof,none,0.7691338943270938
10,iforest,none,0.7590016600835766
10,hst,none,0.7713091762550806
10,none,none,0.7777777777777778
10,lof,none,0.773198236876753
10,iforest,none,0.7606044993989353
10,hst,none,0.7708512221649779
10,none,none,0.7788654187417712
10,lof,none,0.7685614517144657
10,iforest,none,0.7595168584349419
10,hst,none,0.7698780697235102
10,none,none,0.7754307630660027
10,lof,none,0.7682752304081516
10,iforest,none,0.7583719732096857
10,hst,none,0.7741141450569581
10,none,none,0.7738851680119068
10,lof,none,0.769649092678459
10,iforest,none,0.7581429961646345
10,hst,none,0.7722823286965482
20,none,none,0.7695918484171962
20,lof,none,0.7602610338313585
20,iforest,none,0.7204762722537066
20,hst,none,0.7640391550747038
20,none,none,0.7710229549487664
20,lof,none,0.7631804911557616
20,iforest,none,0.7535634552636098
20,hst,none,0.7627797813269219
20,none,none,0.7704505123361383
20,lof,none,0.760375522353884
20,iforest,none,0.7548228290113916
20,hst,none,0.7644971091648062
20,none,none,0.7730265040929647
20,lof,none,0.7611196977503005
20,iforest,none,0.7535634552636098
20,hst,none,0.7646688419485946
20,none,none,0.7660427042189021
20,lof,none,0.7537351880473983
20,iforest,none,0.707195603640735
20,hst,none,0.7595741026962047
20,none,none,0.767531055011735
20,lof,none,0.7603182780926212
20,iforest,none,0.7521323487320396
20,hst,none,0.7622645829755568
20,none,none,0.768160741885626
20,lof,none,0.7575133092907435
20,iforest,none,0.7483542274886943
20,hst,none,0.7665006583090046
20,none,none,0.7722250844352854
20,lof,none,0.7623790714980824
20,iforest,none,0.7205907607762322
20,hst,none,0.7639246665521782
30,none,none,0.7596313469574676
30,lof,none,0.7523040815158281
30,iforest,none,0.7010132234243517
30,hst,none,0.7521895929933025
30,none,none,0.7668441238765814
30,lof,none,0.7581429961646345
30,iforest,none,0.6929417825862957
30,hst,none,0.7579140191195831
30,none,none,0.7652985288224855
30,lof,none,0.7536206995248727
30,iforest,none,0.6933424924151353
30,hst,none,0.7587726830385254
30,none,none,0.7643253763810178
30,lof,none,0.7527047913446677
30,iforest,none,0.6977503005323716
30,hst,none,0.7581429961646345
30,none,none,0.7662716812639534
30,lof,none,0.7569408666781156
30,iforest,none,0.6966626595683783
30,hst,none,0.7553952716240196
30,none,none,0.763695689507127
30,lof,none,0.7548800732726544
30,iforest,none,0.7011277119468773
30,hst,none,0.7554525158852825
30,none,none,0.7654702616062738
30,lof,none,0.756482912588013
30,iforest,none,0.6943156448566031
30,hst,none,0.7592306371286279
30,none,none,0.7662144370026904
30,lof,none,0.7559677142366478
30,iforest,none,0.7033602381361268
30,hst,none,0.7612341862728261
40,none,none,0.7635812009846012
40,lof,none,0.7501287995878413
40,iforest,none,0.6909954777033602
40,hst,none,0.7528192798671933
40,none,none,0.7580857519033717
40,lof,none,0.745778235731868
40,iforest,none,0.6886484629915851
40,hst,none,0.7477817848760661
40,none,none,0.7599175682637817
40,lof,none,0.7414276718758943
40,iforest,none,0.690766500658309
40,hst,none,0.7465224111282844
40,none,none,0.7591161486061022
40,lof,none,0.7450340603354514
40,iforest,none,0.6897361039555785
40,hst,none,0.7468086324345984
40,none,none,0.7563111798042247
40,lof,none,0.7480107619211174
40,iforest,none,0.6901368137844182
