percentage,outlier,imputation,r2
0,none,none,0.7823573186788024
0,none,none,0.7832732268590074
0,none,none,0.7844181120842636
0,none,none,0.7839029137328983
10,none,none,0.7734844581830671
10,lof,drop,0.7833566713342669
10,lof,LOCF,0.7686186959757284
10,lof,mean,0.7510447077680462
10,lof,interpolation,0.7674738107504723
10,iforest,drop,0.8191229612266823
10,iforest,LOCF,0.7229950197492702
10,iforest,mean,0.6848703417482397
10,iforest,interpolation,0.7241971492357892
10,hst,drop,0.8769536800227339
10,hst,LOCF,0.7330127654702616
10,hst,mean,0.7575705535520064
10,hst,interpolation,0.738221993245177
10,none,none,0.7744576106245349
10,lof,drop,0.7852903914116156
10,lof,LOCF,0.7702787795523499
10,lof,mean,0.7540786536149751
10,lof,interpolation,0.7742286335794837
10,iforest,drop,0.8285602580392923
10,iforest,LOCF,0.7294636212719676
10,iforest,mean,0.6792031598832217
10,iforest,interpolation,0.7249985688934685
10,hst,drop,0.8859118409680208
10,hst,LOCF,0.7332989867765757
10,hst,mean,0.7582002404258973
10,hst,interpolation,0.7407979850020034
10,none,none,0.7726830385253878
10,lof,drop,0.7798771222831473
10,lof,LOCF,0.7673020779666838
10,lof,mean,0.7549373175339172
10,lof,interpolation,0.7700498025072986
10,iforest,drop,0.8280485417889998
10,iforest,LOCF,0.7246551033258917
10,iforest,mean,0.6909954777033602
10,iforest,interpolation,0.7234529738393726
10,hst,drop,0.881121530737899
10,hst,LOCF,0.7336996966054153
10,hst,mean,0.7577995305970577
10,hst,interpolation,0.7420573587497853
10,none,none,0.7722250844352854
10,lof,drop,0.785461820606869
10,lof,LOCF,0.7646115976873319
10,lof,mean,0.7563111798042247
10,lof,interpolation,0.7674165664892095
10,iforest,drop,0.8174083129584352
10,iforest,LOCF,0.720361783731181
10,iforest,mean,0.6821798614688878
10,iforest,interpolation,0.7283759803079741
10,hst,drop,0.8768589561428436
10,hst,LOCF,0.7316389031999542
10,hst,mean,0.7567691338943271
10,hst,interpolation,0.7426870456236763
10,none,none,0.7767473810750473
10,lof,drop,0.7858133544680008
10,lof,LOCF,0.769649092678459
10,lof,mean,0.7524758142996164
10,lof,interpolation,0.7690194058045681
10,iforest,drop,0.8341320293398533
10,iforest,LOCF,0.7215066689564371
10,iforest,mean,0.6861869597572844
10,iforest,interpolation,0.7233957295781098
10,hst,drop,0.8742917506962452
10,hst,LOCF,0.7311237048485889
10,hst,mean,0.7541931421375007
10,hst,interpolation,0.7399965653443242
10,none,none,0.7760604499398936
10,lof,drop,0.7820752200586822
10,lof,LOCF,0.7684469631919401
10,lof,mean,0.7543076306600264
10,lof,interpolation,0.7674165664892095
10,iforest,drop,0.8255210881690968
10,iforest,LOCF,0.7231667525330586
10,iforest,mean,0.6791459156219589
10,iforest,interpolation,0.7244833705421031
10,hst,drop,0.8785172380677999
10,hst,LOCF,0.7320396130287938
10,hst,mean,0.7584864617322113
10,hst,interpolation,0.740969717785792
10,none,none,0.7740569007956952
10,lof,drop,0.7873191546103074
10,lof,LOCF,0.7658709714351137
10,lof,mean,0.7565401568492759
10,lof,interpolation,0.7711946877325547
10,iforest,drop,0.8190905527244218
10,iforest,LOCF,0.7221936000915908
10,iforest,mean,0.685099318793291
10,iforest,interpolation,0.7271738508214552
10,hst,drop,0.8803637396987779
10,hst,LOCF,0.72992157536207
10,hst,mean,0.7585437059934742
10,hst,interpolation,0.7411986948308431
10,none,none,0.7749155647146375
10,lof,drop,0.7826898713075948
10,lof,LOCF,0.7667296353540558
10,lof,mean,0.7546510962276032
10,lof,interpolation,0.7725113057415994
10,iforest,drop,0.8231438912256677
10,iforest,LOCF,0.720361783731181
10,iforest,mean,0.6860152269734959
10,iforest,interpolation,0.7280325147403972
10,hst,drop,0.8715544188689969
10,hst,LOCF,0.7311237048485889
