percentage,outlier,correction,imputation,r2
0,none,none,none,0.7823573186788024
0,none,none,none,0.7832732268590074
0,none,none,none,0.7844181120842636
0,none,none,none,0.7839029137328983
10,none,none,none,0.7771480909038869
10,none,none,none,0.7761176942011563
10,none,none,none,0.774743831930849
10,none,none,none,0.7751445417596886
10,none,none,none,0.775602495849791
10,none,none,none,0.7759459614173679
10,none,none,none,0.776232182723682
10,none,none,none,0.7758314728948423
20,none,none,none,0.7752590302822142
20,none,none,none,0.7752017860209514
20,none,none,none,0.773198236876753
20,none,none,none,0.773827923750644
20,none,none,none,0.769362871372145
20,none,none,none,0.7677600320567862
20,none,none,none,0.7719961073902342
20,none,none,none,0.7716526418226574
30,none,none,none,0.7643253763810178
30,none,none,none,0.7698780697235102
30,none,none,none,0.7677027877955235
30,none,none,none,0.7664434140477417
30,none,none,none,0.7650123075161716
30,none,none,none,0.7673593222279466
30,none,none,none,0.7678172763180491
30,none,none,none,0.7709657106875035
40,none,none,none,0.765126796038697
40,none,none,none,0.7624363157593451
40,none,none,none,0.7640963993359665
40,none,none,none,0.7625508042818707
40,none,none,none,0.763981910813441
40,none,none,none,0.7662144370026904
40,none,none,none,0.7647260862098575
40,none,none,none,0.7634667124620756
50,none,none,none,0.7594596141736791
50,none,none,none,0.7589444158223139
50,none,none,none,0.7608334764439865
50,none,none,none,0.7552235388402313
50,none,none,none,0.7580285076421088
50,none,none,none,0.7589444158223139
50,none,none,none,0.7614631633178773
50,none,none,none,0.7599175682637817
10,z,drop,LOCF,0.779151640048085
10,z,drop,interpolation,0.7786364416967199
10,z,LOCF,LOCF,0.7765756482912587
10,z,LOCF,interpolation,0.7764039155074703
10,lof,drop,LOCF,0.7828850227900109
10,lof,drop,interpolation,0.7832702060730565
10,lof,LOCF,LOCF,0.768160741885626
10,lof,LOCF,interpolation,0.7697063369397219
10,hst,drop,LOCF,0.7748617945446814
10,hst,drop,interpolation,0.7739505497843387
10,hst,LOCF,LOCF,0.7746865876695862
10,hst,LOCF,interpolation,0.7759459614173679
10,z,drop,LOCF,0.7784647089129315
10,z,drop,interpolation,0.77680462533631
10,z,LOCF,LOCF,0.7778350220390405
10,z,LOCF,interpolation,0.7788654187417712
10,lof,drop,LOCF,0.7849255264509502
10,lof,drop,interpolation,0.7841551104262969
10,lof,LOCF,LOCF,0.773827923750644
10,lof,LOCF,interpolation,0.7732554811380159
10,hst,drop,LOCF,0.7786208973200844
10,hst,drop,interpolation,0.7810900331225534
10,hst,LOCF,LOCF,0.7730265040929647
10,hst,LOCF,interpolation,0.7751445417596886
10,z,drop,LOCF,0.7764039155074703
10,z,drop,interpolation,0.7772625794264125
10,z,LOCF,LOCF,0.7769191138588356
