percentage,outlier,imputation,r2
0,none,none,0.9967689822294022
10,none,none,0.996668012924071
10,none,drop,0.9975132813383067
10,none,LOCF,0.9967689822294022
10,none,mean,0.9970718901453958
10,none,interpolation,0.9968699515347335
20,none,none,0.9963651050080776
20,none,drop,0.99733739064283
20,none,LOCF,0.9967689822294022
20,none,mean,0.9968699515347336
20,none,interpolation,0.996668012924071
30,none,none,0.996668012924071
30,none,drop,0.9960194604157452
30,none,LOCF,0.9969709208400648
30,none,mean,0.997172859450727
30,none,interpolation,0.9967689822294022
40,none,none,0.9967689822294022
40,none,drop,0.994470509383378
40,none,LOCF,0.9968699515347336
40,none,mean,0.99656704361874
40,none,interpolation,0.996668012924071
50,none,none,0.9967689822294022
50,none,drop,0.9956825657894736
50,none,LOCF,0.9968699515347336
50,none,mean,0.997172859450727
50,none,interpolation,0.9968699515347335

