percentage,outlier,imputation,r2
10,none,none,0.8354200323101777
10,none,drop,0.8066011077201312
10,none,LOCF,0.8441033925686591
10,none,mean,0.8379442649434572
10,none,interpolation,0.8392568659127625
20,none,none,0.8319870759289176
20,none,drop,0.7892734880182579
20,none,LOCF,0.8369345718901454
20,none,mean,0.8394588045234249
20,none,interpolation,0.8360258481421647
30,none,none,0.8380452342487885
30,none,drop,0.7735515258735073
30,none,LOCF,0.8393578352180937
30,none,mean,0.8400646203554121
30,none,interpolation,0.8374394184168013
40,none,none,0.8381462035541195
40,none,drop,0.7704423592493298
40,none,LOCF,0.8331987075928917
40,none,mean,0.8405694668820679
40,none,interpolation,0.8351171243941842
50,none,none,0.8193659127625201
50,none,drop,0.7557565789473685
50,none,LOCF,0.8447092084006462
50,none,mean,0.835016155088853
50,none,interpolation,0.8313812600969306
0,none,none,0.837843295638126
