percentage,outlier,imputation,r2
0,none,none,0.7184476342371079
0,none,none,0.7236576289207869
0,none,none,0.722488038277512
0,none,none,0.7228070175438598
10,none,none,0.7267410951621478
10,z,drop,0.8980745451333687
10,z,LOCF,0.7288676236044657
10,z,mean,0.7236576289207869
10,z,interpolation,0.7096225412014886
10,lof,drop,0.7371553504190453
10,lof,LOCF,0.7229133439659754
10,lof,mean,0.7311004784688995
10,lof,interpolation,0.7241892610313663
10,iforest,drop,0.8283789139912803
10,iforest,LOCF,0.7433280170122274
10,iforest,mean,0.7202551834130781
10,iforest,interpolation,0.745986177565125
10,hst,drop,0.760075329566855
10,hst,LOCF,0.7077086656034024
10,hst,mean,0.7122807017543858
10,hst,interpolation,0.7311004784688995
10,none,none,0.7374800637958534
10,z,drop,0.8792056458230758
10,z,LOCF,0.7153641679957469
10,z,mean,0.7409888357256778
10,z,interpolation,0.7273790536948431
10,lof,drop,0.7236988502905181
10,lof,LOCF,0.7217437533227006
10,lof,mean,0.7379053694843168
10,lof,interpolation,0.7265284423179161
10,iforest,drop,0.9990059642147118
10,iforest,LOCF,0.737799043062201
10,iforest,mean,0.664221158958001
10,iforest,interpolation,0.7416267942583733
10,hst,drop,0.780539861895794
10,hst,LOCF,0.7160021265284424
10,hst,mean,0.7133439659755451
10,hst,interpolation,0.7165337586390219
10,none,none,0.7203615098351941
10,z,drop,0.950354609929078
10,z,LOCF,0.7168527379053695
10,z,mean,0.7256778309409887
10,z,interpolation,0.704093567251462
10,lof,drop,0.7359376931635554
10,lof,LOCF,0.7278043593833069
10,lof,mean,0.7430090377458799
10,lof,interpolation,0.7401382243487507
10,iforest,drop,0.998914223669924
10,iforest,LOCF,0.7301435406698564
10,iforest,mean,0.6419989367357788
10,iforest,interpolation,0.7311004784688995
10,hst,drop,0.7780244173140954
10,hst,LOCF,0.7080276448697501
10,hst,mean,0.7077086656034024
10,hst,interpolation,0.7066454013822435
10,none,none,0.7412014885699096
10,z,drop,0.90132795427803
10,z,LOCF,0.7086656034024456
10,z,mean,0.7130249867091971
10,z,interpolation,0.7235513024986711
10,lof,drop,0.744352683993199
10,lof,LOCF,0.7247208931419459
10,lof,mean,0.717490696438065
10,lof,interpolation,0.7242955874534821
10,iforest,drop,0.9753615425816818
10,iforest,LOCF,0.7247208931419459
10,iforest,mean,0.7474747474747475
10,iforest,interpolation,0.7431153641679957
10,hst,drop,0.7715003138731951
10,hst,LOCF,0.7182349813928761
10,hst,mean,0.7194045720361508
10,hst,interpolation,0.7270600744284954
20,none,none,0.732589048378522
20,z,drop,0.8747845165334587
20,z,LOCF,0.7026049973418395
20,z,mean,0.7237639553429027
20,z,interpolation,0.7175970228601809
20,lof,drop,0.7503893529661617
20,lof,LOCF,0.7239766081871345
20,lof,mean,0.7299308878256247
20,lof,interpolation,0.7212121212121212
20,iforest,drop,0.898989898989899
20,iforest,LOCF,0.7380116959064328
20,iforest,mean,0.6916533758639022
20,iforest,interpolation,0.7292929292929293
20,hst,drop,0.7680603503388314
20,hst,LOCF,0.7169590643274854
20,hst,mean,0.7178096757044126
20,hst,interpolation,0.7240829346092504
20,none,none,0.7309941520467838
20,z,drop,0.8654193336615789
20,z,LOCF,0.7335459861775652
20,z,mean,0.7402445507708666
20,z,interpolation,0.7253588516746412
20,lof,drop,0.754035683942226
20,lof,LOCF,0.7230196703880915
20,lof,mean,0.7207868155236576
20,lof,interpolation,0.7231259968102072
20,iforest,drop,0.9012438748586504
20,iforest,LOCF,0.7340776182881446
20,iforest,mean,0.6889952153110048
20,iforest,interpolation,0.7420520999468367
20,hst,drop,0.7902562060268153
20,hst,LOCF,0.7170653907496013
20,hst,mean,0.7216374269005849
20,hst,interpolation,0.7188729399255716
20,none,none,0.7370547581073896
20,z,drop,0.8780926675663517
20,z,LOCF,0.7264221158958001
20,z,mean,0.7410951621477937
20,z,interpolation,0.7292929292929293
20,lof,drop,0.7459283387622151
20,lof,LOCF,0.7259968102073364
20,lof,mean,0.7368421052631579
20,lof,interpolation,0.7289739500265815
20,iforest,drop,0.7797647058823529
20,iforest,LOCF,0.747900053163211
20,iforest,mean,0.715257841573631
20,iforest,interpolation,0.7362041467304625
20,hst,drop,0.7521571750962432
20,hst,LOCF,0.7135566188197767
20,hst,mean,0.7206804891015417
20,hst,interpolation,0.7119617224880382
20,none,none,0.7185539606592238
20,z,drop,0.9000766283524905
20,z,LOCF,0.73471557682084
20,z,mean,0.7393939393939394
20,z,interpolation,0.737799043062201
20,lof,drop,0.7568055555555555
20,lof,LOCF,0.7244019138755982
20,lof,mean,0.7342902711323763
20,lof,interpolation,0.7439659755449229
20,iforest,drop,0.9024105754276828
20,iforest,LOCF,0.7339712918660287
20,iforest,mean,0.6597554492291334
20,iforest,interpolation,0.7543859649122807
20,hst,drop,0.7676767676767676
20,hst,LOCF,0.7127060074428495
20,hst,mean,0.7003721424774056
20,hst,interpolation,0.7120680489101541
30,none,none,0.7302498670919723
30,z,drop,0.8621131954465288
30,z,LOCF,0.7219564061669325
30,z,mean,0.744922913343966
30,z,interpolation,0.734609250398724
30,lof,drop,0.7117102216341381
30,lof,LOCF,0.7312068048910154
30,lof,mean,0.7225943646996278
30,lof,interpolation,0.7290802764486974
30,iforest,drop,0.9691318327974277
30,iforest,LOCF,0.741839447102605
30,iforest,mean,0.7013290802764487
30,iforest,interpolation,0.7583200425305688
30,hst,drop,0.7726005575467941
30,hst,LOCF,0.717490696438065
30,hst,mean,0.7195108984582669
30,hst,interpolation,0.7211057947900054
30,none,none,0.7290802764486974
30,z,drop,0.8540948629574922
30,z,LOCF,0.7208931419457735
30,z,mean,0.7340776182881446
30,z,interpolation,0.7332270069112173
30,lof,drop,0.735187024164184
30,lof,LOCF,0.7203615098351941
30,lof,mean,0.7300372142477406
30,lof,interpolation,0.7211057947900054
30,iforest,drop,0.9021553198768388
30,iforest,LOCF,0.7426900584795322
30,iforest,mean,0.6536948431685273
30,iforest,interpolation,0.7490696438064859
30,hst,drop,0.7635674651509001
30,hst,LOCF,0.7306751727804359
30,hst,mean,0.7330143540669858
30,hst,interpolation,0.7318447634237107
30,none,none,0.7349282296650719
30,z,drop,0.8581048581048583
30,z,LOCF,0.7356725146198829
30,z,mean,0.742902711323764
30,z,interpolation,0.7298245614035088
30,lof,drop,0.7519033432638199
30,lof,LOCF,0.7259968102073364
30,lof,mean,0.7345029239766083
30,lof,interpolation,0.7249335459861775
30,iforest,drop,0.9766325224071702
30,iforest,LOCF,0.7091972355130249
30,iforest,mean,0.7235513024986711
30,iforest,interpolation,0.7517278043593834
30,hst,drop,0.7666802002977398
30,hst,LOCF,0.7203615098351941
30,hst,mean,0.7205741626794259
30,hst,interpolation,0.7179160021265284
30,none,none,0.738755980861244
30,z,drop,0.8455202555051269
30,z,LOCF,0.7384370015948963
30,z,mean,0.7413078149920254
30,z,interpolation,0.7266347687400319
30,lof,drop,0.7399870801033591
30,lof,LOCF,0.7264221158958001
30,lof,mean,0.737586390217969
30,lof,interpolation,0.7251461988304092
30,iforest,drop,0.9497907949790796
30,iforest,LOCF,0.7313131313131314
30,iforest,mean,0.7180223285486443
30,iforest,interpolation,0.7398192450824029
30,hst,drop,0.7817025307890106
30,hst,LOCF,0.7313131313131314
30,hst,mean,0.7398192450824029
30,hst,interpolation,0.733652312599681
40,none,none,0.7306751727804359
40,z,drop,0.8491432609079668
40,z,LOCF,0.742796384901648
40,z,mean,0.7477937267410951
40,z,interpolation,0.7258904837852206
40,lof,drop,0.7348792270531402
40,lof,LOCF,0.7270600744284954
40,lof,mean,0.7253588516746412
40,lof,interpolation,0.7242955874534821
40,iforest,drop,0.851242336237496
40,iforest,LOCF,0.744922913343966
40,iforest,mean,0.7256778309409887
40,iforest,interpolation,0.7463051568314726
40,hst,drop,0.7951703320396722
40,hst,LOCF,0.7137692716640085
40,hst,mean,0.7198298777246146
40,hst,interpolation,0.7299308878256247
40,none,none,0.7321637426900585
40,z,drop,0.8676817110748595
40,z,LOCF,0.7467304625199364
40,z,mean,0.7497076023391813
40,z,interpolation,0.7330143540669858
40,lof,drop,0.7591734260332175
40,lof,LOCF,0.7265284423179161
40,lof,mean,0.7615098351940457
40,lof,interpolation,0.7273790536948431
40,iforest,drop,0.9883681149503936
40,iforest,LOCF,0.7270600744284954
40,iforest,mean,0.7149388623072833
40,iforest,interpolation,0.7489633173843702
40,hst,drop,0.7868334052033923
40,hst,LOCF,0.7385433280170123
40,hst,mean,0.721424774056353
40,hst,interpolation,0.7415204678362574
40,none,none,0.7376927166400851
40,z,drop,0.8697189651963522
40,z,LOCF,0.7402445507708666
40,z,mean,0.7389686337054759
40,z,interpolation,0.7374800637958534
40,lof,drop,0.7771770612087275
40,lof,LOCF,0.7227006911217437
40,lof,mean,0.7203615098351941
40,lof,interpolation,0.7205741626794259
40,iforest,drop,0.898953744493392
40,iforest,LOCF,0.732589048378522
40,iforest,mean,0.6799574694311536
40,iforest,interpolation,0.7292929292929293
40,hst,drop,0.8059508408796895
40,hst,LOCF,0.7151515151515152
40,hst,mean,0.7227006911217437
40,hst,interpolation,0.7229133439659754
40,none,none,0.73471557682084
40,z,drop,0.8516163222045575
40,z,LOCF,0.7264221158958001
40,z,mean,0.7359914938862308
40,z,interpolation,0.7251461988304092
40,lof,drop,0.7743619489559165
40,lof,LOCF,0.7212121212121212
40,lof,mean,0.7373737373737375
40,lof,interpolation,0.7265284423179161
40,iforest,drop,0.9342708651788444
40,iforest,LOCF,0.7314194577352471
40,iforest,mean,0.7000531632110579
40,iforest,interpolation,0.7506645401382245
40,hst,drop,0.803317187729341
40,hst,LOCF,0.7125996810207337
40,hst,mean,0.7045188729399255
40,hst,interpolation,0.7191919191919192
50,none,none,0.7287612971823498
50,z,drop,0.8295891519935236
50,z,LOCF,0.7301435406698564
50,z,mean,0.750877192982456
50,z,interpolation,0.7360978203083466
50,lof,drop,0.7788267026298045
50,lof,LOCF,0.7196172248803828
50,lof,mean,0.7198298777246146
50,lof,interpolation,0.7166400850611377
50,iforest,drop,0.8535528596187175
50,iforest,LOCF,0.7189792663476874
50,iforest,mean,0.6861244019138756
50,iforest,interpolation,0.7211057947900054
50,hst,drop,0.8001880582980724
50,hst,LOCF,0.7240829346092504
50,hst,mean,0.7266347687400319
50,hst,interpolation,0.730462519936204
50,none,none,0.7306751727804359
50,z,drop,0.8393313667649951
