percentage,outlier,imputation,r2
0,none,none,0.9967689822294022
10,none,none,0.9967689822294022
10,z,drop,1.0
10,z,LOCF,0.95375605815832
10,z,mean,0.977584814216478
10,z,interpolation,0.95375605815832
10,lof,drop,0.998462642205596
10,lof,LOCF,0.9962641357027464
10,lof,mean,0.997172859450727
10,lof,interpolation,0.9963651050080776
10,iforest,drop,0.9986449864498644
10,iforest,LOCF,0.9831381260096932
10,iforest,mean,0.9952544426494344
10,iforest,interpolation,0.9834410339256866
10,hst,drop,0.9975858369098712
10,hst,LOCF,0.9567851373182552
10,hst,mean,0.996062197092084
10,hst,interpolation,0.956684168012924
20,none,none,0.996668012924071
20,z,drop,1.0
20,z,LOCF,0.95375605815832
20,z,mean,0.977483844911147
20,z,interpolation,0.9533521809369953
20,lof,drop,0.998360151685969
20,lof,LOCF,0.9964660743134088
20,lof,mean,0.9973747980613892
20,lof,interpolation,0.9963651050080776
20,iforest,drop,0.9986449864498644
20,iforest,LOCF,0.9836429725363488
20,iforest,mean,0.995456381260097
20,iforest,interpolation,0.9835420032310178
20,hst,drop,0.997719957081545
20,hst,LOCF,0.9568861066235864
20,hst,mean,0.996062197092084
20,hst,interpolation,0.9567851373182552
30,none,none,0.996668012924071
30,z,drop,0.9984830097087378
30,z,LOCF,0.995456381260097
30,z,mean,0.994951534733441
30,z,interpolation,0.9959612277867528
30,lof,drop,0.997043261749144
30,lof,LOCF,0.9959612277867528
30,lof,mean,0.9915185783521808
30,lof,interpolation,0.9962641357027464
30,iforest,drop,0.9945638105099665
30,iforest,LOCF,0.9906098546042004
30,iforest,mean,0.9915185783521808
30,iforest,interpolation,0.990407915993538
30,hst,drop,0.9988590263691683
30,hst,LOCF,0.9922253634894992
30,hst,mean,0.9958602584814216
30,hst,interpolation,0.993840872374798
40,none,none,0.9961631663974152
40,z,drop,0.9980211081794196
40,z,LOCF,0.9951534733441034
40,z,mean,0.9946486268174476
40,z,interpolation,0.9952544426494344
40,lof,drop,0.9985218033998522
40,lof,LOCF,0.9957592891760904
40,lof,mean,0.9906098546042004
40,lof,interpolation,0.9968699515347336
40,iforest,drop,0.9980938765785085
40,iforest,LOCF,0.9861672051696284
40,iforest,mean,0.9906098546042004
40,iforest,interpolation,0.992124394184168
40,hst,drop,0.9965351812366736
40,hst,LOCF,0.992124394184168
40,hst,mean,0.9957592891760904
40,hst,interpolation,0.9939418416801292
50,none,none,0.997172859450727
50,z,drop,0.9971093044263776
50,z,LOCF,0.9964660743134088
50,z,mean,0.9953554119547656
50,z,interpolation,0.9963651050080776
50,lof,drop,0.9983908045977012
50,lof,LOCF,0.9961631663974152
50,lof,mean,0.9900040387722132
50,lof,interpolation,0.9961631663974152
50,iforest,drop,0.9964277208859252
50,iforest,LOCF,0.9958602584814216
50,iforest,mean,0.9915185783521808
50,iforest,interpolation,0.9958602584814216
50,hst,drop,0.996989247311828
50,hst,LOCF,0.992629240710824
50,hst,mean,0.996062197092084
50,hst,interpolation,0.9936389337641357
10,none,none,0.9969709208400648
10,z,drop,0.9990963855421688
10,z,LOCF,0.9861672051696284
10,z,mean,0.9896001615508884
10,z,interpolation,0.9894991922455574
10,lof,drop,0.9976998274870617
10,lof,LOCF,0.9967689822294022
10,lof,mean,0.993235056542811
10,lof,interpolation,0.9963651050080776
10,iforest,drop,1.0
10,iforest,LOCF,0.9829361873990308
10,iforest,mean,0.9946486268174476
10,iforest,interpolation,0.9831381260096932
10,hst,drop,0.997861216730038
10,hst,LOCF,0.983037156704362
10,hst,mean,0.9962641357027464
10,hst,interpolation,0.9843497576736672
20,none,none,0.9967689822294022
20,z,drop,0.9984718826405868
20,z,LOCF,0.994951534733441
20,z,mean,0.9950525040387722
20,z,interpolation,0.9957592891760904
20,lof,drop,0.9969867679811344
20,lof,LOCF,0.9958602584814216
20,lof,mean,0.9917205169628432
20,lof,interpolation,0.9969709208400648
20,iforest,drop,0.998971546109016
20,iforest,LOCF,0.9818255250403876
20,iforest,mean,0.9939418416801292
20,iforest,interpolation,0.981522617124394
20,hst,drop,0.9975099601593626
20,hst,LOCF,0.9833400646203554
20,hst,mean,0.996062197092084
20,hst,interpolation,0.9849555735056544
30,none,none,0.9967689822294022
30,z,drop,0.9977074736359468
30,z,LOCF,0.9953554119547656
30,z,mean,0.9947495961227788
30,z,interpolation,0.9955573505654282
30,lof,drop,0.9983008958912574
30,lof,LOCF,0.9962641357027464
30,lof,mean,0.9922253634894992
30,lof,interpolation,0.9964660743134088
30,iforest,drop,0.9974909395037636
30,iforest,LOCF,0.9947495961227788
30,iforest,mean,0.9923263327948304
30,iforest,interpolation,0.9940428109854604
30,hst,drop,0.997448654165072
30,hst,LOCF,0.9849555735056544
30,hst,mean,0.9959612277867528
30,hst,interpolation,0.9850565428109854
40,none,none,0.9967689822294022
40,z,drop,0.9980207817911924
40,z,LOCF,0.9963651050080776
40,z,mean,0.9944466882067852
40,z,interpolation,0.9958602584814216
40,lof,drop,0.9979849789338708
40,lof,LOCF,0.9963651050080776
40,lof,mean,0.9898021001615508
40,lof,interpolation,0.9968699515347336
40,iforest,drop,0.9981869981869982
40,iforest,LOCF,0.9937399030694668
40,iforest,mean,0.9912156704361874
40,iforest,interpolation,0.9925282714054928
40,hst,drop,0.9974513749161636
40,hst,LOCF,0.985359450726979
40,hst,mean,0.99485056542811
40,hst,interpolation,0.9850565428109854
50,none,none,0.9970718901453958
50,z,drop,0.9969555873925502
50,z,LOCF,0.996668012924071
50,z,mean,0.994345718901454
50,z,interpolation,0.9959612277867528
50,lof,drop,0.9986648865153538
50,lof,LOCF,0.9958602584814216
50,lof,mean,0.9879846526655895
50,lof,interpolation,0.9975767366720516
50,iforest,drop,0.9948122529644268
50,iforest,LOCF,0.9957592891760904
50,iforest,mean,0.9887924071082392
50,iforest,interpolation,0.993235056542811
50,hst,drop,0.9975793820304714
50,hst,LOCF,0.9918214862681743
50,hst,mean,0.996668012924071
50,hst,interpolation,0.9930331179321488
10,none,none,0.996668012924071
10,z,drop,0.9984375
10,z,LOCF,0.9894991922455574
10,z,mean,0.9922253634894992
10,z,interpolation,0.9930331179321488
10,lof,drop,0.9978145847711064
10,lof,LOCF,0.996668012924071
10,lof,mean,0.9939418416801292
10,lof,interpolation,0.996668012924071
10,iforest,drop,0.9950549450549452
10,iforest,LOCF,0.9827342487883683
10,iforest,mean,0.9955573505654282
10,iforest,interpolation,0.9831381260096932
10,hst,drop,0.9977678571428572
10,hst,LOCF,0.9905088852988692
10,hst,mean,0.9962641357027464
10,hst,interpolation,0.9931340872374798
10,none,none,0.9972738287560582
10,z,drop,0.9989864864864864
10,z,LOCF,0.986470113085622
10,z,mean,0.9880856219709208
10,z,interpolation,0.9872778675282714
10,lof,drop,0.9984887235526622
10,lof,LOCF,0.9959612277867528
10,lof,mean,0.9940428109854604
10,lof,interpolation,0.996668012924071
10,iforest,drop,0.9950022716946842
10,iforest,LOCF,0.98374394184168
10,iforest,mean,0.99485056542811
10,iforest,interpolation,0.9823303715670436
10,hst,drop,0.9980544747081712
10,hst,LOCF,0.9832390953150242
10,hst,mean,0.9962641357027464
10,hst,interpolation,0.984248788368336
10,none,none,0.9969709208400648
10,z,drop,0.999194587628866
10,z,LOCF,0.9927302100161552
10,z,mean,0.995456381260097
10,z,interpolation,0.9956583198707591
10,lof,drop,0.997941210110946
10,lof,LOCF,0.996062197092084
10,lof,mean,0.9927302100161552
10,lof,interpolation,0.9969709208400648
10,iforest,drop,0.9978601997146932
10,iforest,LOCF,0.9829361873990308
10,iforest,mean,0.9937399030694668
10,iforest,interpolation,0.9826332794830372
10,hst,drop,0.9977551984877128
10,hst,LOCF,0.9827342487883683
10,hst,mean,0.9961631663974152
10,hst,interpolation,0.9836429725363488
10,none,none,0.997172859450727
10,z,drop,0.9987571022727272
10,z,LOCF,0.9882875605815832
10,z,mean,0.9913166397415186
10,z,interpolation,0.9923263327948304
10,lof,drop,0.998505059797608
10,lof,LOCF,0.9961631663974152
10,lof,mean,0.9934369951534734
10,lof,interpolation,0.99656704361874
10,iforest,drop,0.9990995047276002
10,iforest,LOCF,0.9822294022617124
10,iforest,mean,0.9946486268174476
10,iforest,interpolation,0.9828352180936996
10,hst,drop,0.9982277882797732
10,hst,LOCF,0.9905088852988692
10,hst,mean,0.9964660743134088
10,hst,interpolation,0.9931340872374798
10,none,none,0.9970718901453958
10,z,drop,0.99812874251497
10,z,LOCF,0.9835420032310178
10,z,mean,0.9885904684975768
10,z,interpolation,0.9858642972536348
10,lof,drop,0.997340117959986
10,lof,LOCF,0.9962641357027464
10,lof,mean,0.9922253634894992
10,lof,interpolation,0.99656704361874
10,iforest,drop,0.9992779783393502
10,iforest,LOCF,0.9836429725363488
10,iforest,mean,0.9941437802907916
10,iforest,interpolation,0.9839458804523424
10,hst,drop,0.9982074569789676
10,hst,LOCF,0.9811187399030694
10,hst,mean,0.9961631663974152
10,hst,interpolation,0.9810177705977382
10,none,none,0.996668012924071
10,z,drop,0.998812351543943
10,z,LOCF,0.9922253634894992
10,z,mean,0.9951534733441034
10,z,interpolation,0.9945476575121164
10,lof,drop,0.9982754656242816
10,lof,LOCF,0.9967689822294022
10,lof,mean,0.9941437802907916
10,lof,interpolation,0.9963651050080776
10,iforest,drop,0.9994152046783624
10,iforest,LOCF,0.983037156704362
10,iforest,mean,0.99485056542811
10,iforest,interpolation,0.9834410339256866
10,hst,drop,0.9977678571428572
10,hst,LOCF,0.9838449111470112
10,hst,mean,0.9959612277867528
10,hst,interpolation,0.9848546042003231
20,none,none,0.9964660743134088
20,z,drop,0.9979651162790698
20,z,LOCF,0.9947495961227788
20,z,mean,0.9944466882067852
20,z,interpolation,0.996062197092084
20,lof,drop,0.9968565815324164
20,lof,LOCF,0.9963651050080776
20,lof,mean,0.9911147011308562
20,lof,interpolation,0.9962641357027464
20,iforest,drop,0.9974293059125964
20,iforest,LOCF,0.9905088852988692
20,iforest,mean,0.9940428109854604
20,iforest,interpolation,0.9839458804523424
20,hst,drop,0.997620240480962
20,hst,LOCF,0.9826332794830372
20,hst,mean,0.9962641357027464
20,hst,interpolation,0.9840468497576736
20,none,none,0.99656704361874
20,z,drop,0.9985565819861432
20,z,LOCF,0.988691437802908
20,z,mean,0.9884894991922456
20,z,interpolation,0.989903069466882
20,lof,drop,0.9981424970147272
20,lof,LOCF,0.9964660743134088
20,lof,mean,0.9924273021001616
20,lof,interpolation,0.997172859450727
20,iforest,drop,0.997948717948718
20,iforest,LOCF,0.9824313408723748
20,iforest,mean,0.9922253634894992
20,iforest,interpolation,0.9823303715670436
20,hst,drop,0.9977294455066922
20,hst,LOCF,0.9922253634894992
20,hst,mean,0.9958602584814216
20,hst,interpolation,0.9936389337641356
20,none,none,0.9967689822294022
20,z,drop,0.9982433025911288
20,z,LOCF,0.9951534733441034
20,z,mean,0.9953554119547656
20,z,interpolation,0.9956583198707591
20,lof,drop,0.9968553459119496
20,lof,LOCF,0.9959612277867528
20,lof,mean,0.9924273021001616
20,lof,interpolation,0.9967689822294022
20,iforest,drop,0.9993261455525606
20,iforest,LOCF,0.9839458804523424
20,iforest,mean,0.993840872374798
20,iforest,interpolation,0.9844507269789984
20,hst,drop,0.9981760700389104
20,hst,LOCF,0.992124394184168
20,hst,mean,0.9959612277867528
20,hst,interpolation,0.9934369951534734
20,none,none,0.9967689822294022
20,z,drop,0.9981981981981982
20,z,LOCF,0.9956583198707591
20,z,mean,0.9937399030694668
20,z,interpolation,0.9953554119547656
20,lof,drop,0.997863247863248
20,lof,LOCF,0.9959612277867528
20,lof,mean,0.9925282714054928
20,lof,interpolation,0.996062197092084
20,iforest,drop,0.9990500316656112
20,iforest,LOCF,0.9880856219709208
20,iforest,mean,0.9918214862681743
20,iforest,interpolation,0.981421647819063
20,hst,drop,0.9982876712328768
20,hst,LOCF,0.9898021001615508
20,hst,mean,0.9956583198707591
20,hst,interpolation,0.9924273021001616
20,none,none,0.99656704361874
20,z,drop,0.9982915717539864
20,z,LOCF,0.994951534733441
20,z,mean,0.9939418416801292
20,z,interpolation,0.9959612277867528
20,lof,drop,0.9980100822499336
20,lof,LOCF,0.99656704361874
20,lof,mean,0.9935379644588044
20,lof,interpolation,0.99656704361874
20,iforest,drop,0.9996966019417476
20,iforest,LOCF,0.9823303715670436
20,iforest,mean,0.9930331179321488
20,iforest,interpolation,0.984753634894992
20,hst,drop,0.9977722772277228
20,hst,LOCF,0.9902059773828756
20,hst,mean,0.99656704361874
20,hst,interpolation,0.9930331179321487
30,none,none,0.9964660743134088
30,z,drop,0.9976905311778292
30,z,LOCF,0.994951534733441
30,z,mean,0.9933360258481422
30,z,interpolation,0.9957592891760904
30,lof,drop,0.997200186654223
30,lof,LOCF,0.9958602584814216
30,lof,mean,0.9896001615508884
30,lof,interpolation,0.99656704361874
30,iforest,drop,0.9984193888303478
30,iforest,LOCF,0.9897011308562196
30,iforest,mean,0.9912156704361874
30,iforest,interpolation,0.9897011308562196
30,hst,drop,0.9973214285714286
30,hst,LOCF,0.9849555735056544
30,hst,mean,0.9958602584814216
30,hst,interpolation,0.9850565428109854
30,none,none,0.9963651050080776
30,z,drop,0.9996987951807228
30,z,LOCF,0.9952544426494344
30,z,mean,0.9947495961227788
