outlier,imputation,percentage,r2,percent_diff
none,none,50,0.7596,-3.08
none,none,60,0.7619,-2.78
none,none,70,0.7677,-2.04
none,none,80,0.773,-1.36
none,none,90,0.7787,-0.63
none,none,100,0.7837,0.0
none,mean,50,0.7538,-3.81
none,mean,60,0.7581,-3.27
none,mean,70,0.7618,-2.79
none,mean,80,0.7687,-1.92
none,mean,90,0.7769,-0.87
none,interpolation,50,0.7784,-0.68
none,interpolation,60,0.7799,-0.48
none,interpolation,70,0.7811,-0.33
none,interpolation,80,0.7816,-0.26
none,interpolation,90,0.7828,-0.11
none,drop,50,0.8109,3.47
none,drop,60,0.8102,3.38
none,drop,70,0.8085,3.16
none,drop,80,0.8038,2.56
none,drop,90,0.7932,1.21
none,LOCF,50,0.7799,-0.48
none,LOCF,60,0.7824,-0.17
none,LOCF,70,0.7812,-0.32
none,LOCF,80,0.7823,-0.18
none,LOCF,90,0.7839,0.02
