outlier,imputation,percentage,r2,percent_diff
z,mean,50,0.7558,-3.54
z,mean,60,0.76,-2.99
z,mean,70,0.7641,-2.48
z,mean,80,0.7697,-1.76
z,mean,90,0.7746,-1.13
z,interpolation,50,0.7558,-3.54
z,interpolation,60,0.76,-3.0
z,interpolation,70,0.7641,-2.48
z,interpolation,80,0.7698,-1.75
z,interpolation,90,0.7744,-1.15
z,drop,50,0.7556,-3.56
z,drop,60,0.7597,-3.03
z,drop,70,0.7644,-2.44
z,drop,80,0.7693,-1.81
z,drop,90,0.7751,-1.07
z,LOCF,50,0.7557,-3.54
z,LOCF,60,0.76,-3.0
z,LOCF,70,0.764,-2.48
z,LOCF,80,0.7698,-1.75
z,LOCF,90,0.7745,-1.14
none,none,50,0.7556,-3.56
none,none,60,0.7592,-3.1
none,none,70,0.7644,-2.43
none,none,80,0.7694,-1.8
none,none,90,0.7743,-1.17
none,none,100,0.7835,-0.0
lof,mean,50,0.7216,-7.9
lof,mean,60,0.7289,-6.97
lof,mean,70,0.7333,-6.4
lof,mean,80,0.7402,-5.53
lof,mean,90,0.7543,-3.72
lof,interpolation,50,0.7384,-5.76
lof,interpolation,60,0.7438,-5.07
lof,interpolation,70,0.7511,-4.13
lof,interpolation,80,0.7597,-3.03
lof,interpolation,90,0.7699,-1.73
lof,drop,50,0.7743,-1.17
lof,drop,60,0.7736,-1.27
lof,drop,70,0.7743,-1.17
lof,drop,80,0.7802,-0.42
lof,drop,90,0.784,0.06
lof,LOCF,50,0.7352,-6.16
lof,LOCF,60,0.7426,-5.21
lof,LOCF,70,0.7495,-4.34
lof,LOCF,80,0.7557,-3.55
lof,LOCF,90,0.7677,-2.02
iforest,mean,50,0.6858,-12.47
iforest,mean,60,0.6899,-11.94
iforest,mean,70,0.6887,-12.1
iforest,mean,80,0.6855,-12.51
iforest,mean,90,0.6842,-12.67
iforest,interpolation,50,0.7235,-7.66
iforest,interpolation,60,0.7279,-7.09
iforest,interpolation,70,0.7289,-6.96
iforest,interpolation,80,0.7284,-7.03
iforest,interpolation,90,0.7255,-7.4
iforest,drop,50,0.7884,0.62
iforest,drop,60,0.7894,0.75
iforest,drop,70,0.8019,2.35
iforest,drop,80,0.8212,4.81
iforest,drop,90,0.8244,5.22
iforest,LOCF,50,0.719,-8.23
iforest,LOCF,60,0.7242,-7.56
iforest,LOCF,70,0.7271,-7.2
iforest,LOCF,80,0.7262,-7.31
iforest,LOCF,90,0.7231,-7.71
hst,mean,50,0.6997,-10.69
hst,mean,60,0.7086,-9.56
hst,mean,70,0.7221,-7.83
hst,mean,80,0.7375,-5.87
hst,mean,90,0.7569,-3.39
hst,interpolation,50,0.7004,-10.6
hst,interpolation,60,0.7093,-9.46
hst,interpolation,70,0.7179,-8.38
hst,interpolation,80,0.729,-6.96
hst,interpolation,90,0.7406,-5.47
hst,drop,50,0.9857,25.82
hst,drop,60,0.9629,22.9
hst,drop,70,0.9354,19.39
hst,drop,80,0.904,15.38
hst,drop,90,0.8782,12.09
hst,LOCF,50,0.6996,-10.7
hst,LOCF,60,0.7058,-9.91
hst,LOCF,70,0.7113,-9.22
hst,LOCF,80,0.7217,-7.88
hst,LOCF,90,0.732,-6.57
