,outlier,imputation,50,60,70,80,90,100
12,none,none,-4.62,-4.22,-3.01,-2.32,-0.99,0.0
9,lof,drop,-1.2,0.04,0.79,1.37,1.11,
14,z,drop,-3.78,-2.78,-2.32,-1.46,-0.05,
15,z,interpolation,-5.2,-4.76,-3.37,-2.82,-1.46,
13,z,LOCF,-5.13,-4.69,-3.31,-2.85,-1.47,
1,hst,drop,-8.14,-5.34,-3.09,-2.54,-2.16,
8,lof,LOCF,-7.95,-6.64,-4.78,-3.41,-2.35,
10,lof,interpolation,-9.14,-7.22,-5.88,-4.79,-3.32,
5,iforest,drop,-1.02,-1.88,-3.58,-2.88,-3.63,
16,z,mean,-8.39,-8.42,-6.98,-6.1,-3.75,
11,lof,mean,-49.54,-47.06,-40.03,-29.4,-17.2,
0,hst,LOCF,-48.8,-39.43,-32.53,-25.84,-20.82,
2,hst,interpolation,-51.24,-41.15,-34.23,-29.66,-24.77,
4,iforest,LOCF,-21.19,-28.4,-33.39,-39.52,-48.02,
3,hst,mean,-79.58,-74.72,-65.08,-56.65,-48.48,
6,iforest,interpolation,-27.31,-33.82,-39.16,-46.3,-54.99,
7,iforest,mean,-100.0,-100.0,-100.0,-100.0,-100.0,
