,outlier,imputation,50,60,70,80,90,100
12,none,none,-6.6,-5.01,-3.65,-2.34,-0.96,0.0
14,z,drop,31.49,31.49,31.49,31.49,31.49,
16,z,mean,22.18,23.57,25.22,26.5,27.92,
5,iforest,drop,0.84,1.64,5.32,8.86,8.59,
1,hst,drop,7.37,3.89,2.38,1.34,0.35,
9,lof,drop,0.76,-0.51,-1.46,-0.48,0.22,
3,hst,mean,-3.77,-3.35,-2.71,-1.98,-1.24,
2,hst,interpolation,-6.83,-4.29,-2.91,-2.05,-1.46,
0,hst,LOCF,-6.92,-4.45,-3.27,-2.29,-1.48,
10,lof,interpolation,-6.36,-4.58,-3.65,-3.04,-1.69,
8,lof,LOCF,-7.13,-5.41,-4.22,-3.8,-2.04,
11,lof,mean,-7.8,-5.69,-4.85,-4.64,-2.7,
15,z,interpolation,-7.44,-7.44,-7.27,-7.45,-6.58,
13,z,LOCF,-11.0,-10.25,-9.1,-7.96,-6.58,
4,iforest,LOCF,-7.88,-7.39,-6.82,-6.93,-7.28,
6,iforest,interpolation,-7.41,-6.66,-6.75,-6.91,-7.86,
7,iforest,mean,-9.5,-9.44,-8.84,-9.35,-9.62,
