,outlier,imputation,50,60,70,80,90,100
12,none,none,-49.28,-39.01,-28.51,-18.46,-8.69,0.0
9,lof,drop,-31.35,-21.8,-9.78,2.02,1.8,
8,lof,LOCF,-36.76,-23.52,-6.19,-2.53,-1.48,
10,lof,interpolation,-37.46,-24.16,-7.35,-3.52,-2.26,
1,hst,drop,-26.12,-20.21,-15.31,-10.63,-5.23,
0,hst,LOCF,-26.53,-21.13,-16.34,-11.49,-6.24,
2,hst,interpolation,-28.71,-22.01,-17.17,-11.8,-6.44,
5,iforest,drop,-15.17,-8.45,-9.39,-7.54,-6.46,
14,z,drop,-48.84,-37.84,-26.67,-16.86,-8.72,
13,z,LOCF,-49.2,-38.28,-27.24,-17.3,-8.9,
15,z,interpolation,-49.18,-38.26,-27.31,-17.33,-8.9,
16,z,mean,-49.51,-39.47,-29.37,-19.85,-11.28,
3,hst,mean,-80.54,-61.24,-43.1,-26.81,-13.43,
11,lof,mean,-70.38,-61.55,-47.23,-31.52,-18.22,
4,iforest,LOCF,-22.17,-26.77,-32.28,-41.28,-53.7,
6,iforest,interpolation,-30.81,-35.95,-41.25,-50.71,-64.91,
7,iforest,mean,-100.0,-100.0,-100.0,-100.0,-100.0,
