,outlier,correction,imputation,50,60,70,80,90,100
8,none,none,none,-3.11,-2.48,-2.05,-1.43,-0.98,-0.0
6,lof,drop,LOCF,-1.35,-1.12,-0.62,-0.31,-0.08,
7,lof,drop,interpolation,-1.15,-1.05,-0.44,-0.19,-0.12,
12,z,drop,interpolation,-2.37,-1.96,-1.48,-0.96,-0.61,
9,z,LOCF,LOCF,-2.55,-2.08,-1.68,-1.07,-0.68,
11,z,drop,LOCF,-2.58,-2.03,-1.59,-1.06,-0.69,
10,z,LOCF,interpolation,-2.43,-1.91,-1.49,-1.02,-0.73,
2,hst,drop,LOCF,-2.5,-2.03,-1.72,-1.13,-0.9,
3,hst,drop,interpolation,-2.44,-1.86,-1.63,-1.24,-0.9,
1,hst,LOCF,interpolation,-2.79,-2.07,-1.55,-1.16,-0.98,
0,hst,LOCF,LOCF,-2.86,-2.31,-1.73,-1.27,-1.03,
5,lof,LOCF,interpolation,-4.38,-3.9,-3.09,-2.2,-1.28,
4,lof,LOCF,LOCF,-4.66,-3.95,-3.13,-2.28,-1.34,
