outlier,correction,imputation,percentage,r2,percent_diff
z,drop,interpolation,50,0.769,-1.85
z,drop,interpolation,60,0.7761,-0.94
z,drop,interpolation,70,0.7786,-0.62
z,drop,interpolation,80,0.7779,-0.71
z,drop,interpolation,90,0.7841,0.08
z,drop,LOCF,50,0.7695,-1.78
z,drop,LOCF,60,0.7766,-0.88
z,drop,LOCF,70,0.779,-0.57
z,drop,LOCF,80,0.7785,-0.64
z,drop,LOCF,90,0.784,0.07
z,LOCF,interpolation,50,0.761,-2.87
z,LOCF,interpolation,60,0.7652,-2.33
z,LOCF,interpolation,70,0.7726,-1.39
z,LOCF,interpolation,80,0.7733,-1.31
z,LOCF,interpolation,90,0.7774,-0.78
z,LOCF,LOCF,50,0.7622,-2.72
z,LOCF,LOCF,60,0.7658,-2.26
z,LOCF,LOCF,70,0.7725,-1.4
z,LOCF,LOCF,80,0.774,-1.21
z,LOCF,LOCF,90,0.7775,-0.76
none,none,none,50,0.7556,-3.56
none,none,none,60,0.7591,-3.11
none,none,none,70,0.7667,-2.14
none,none,none,80,0.7707,-1.63
none,none,none,90,0.7769,-0.84
none,none,none,100,0.7835,0.0
lof,drop,interpolation,50,0.7933,1.26
lof,drop,interpolation,60,0.7952,1.49
lof,drop,interpolation,70,0.7958,1.58
lof,drop,interpolation,80,0.7942,1.36
lof,drop,interpolation,90,0.7927,1.18
lof,drop,LOCF,50,0.7909,0.95
lof,drop,LOCF,60,0.7986,1.93
lof,drop,LOCF,70,0.7977,1.82
lof,drop,LOCF,80,0.7958,1.58
lof,drop,LOCF,90,0.7929,1.2
lof,LOCF,interpolation,50,0.7473,-4.61
lof,LOCF,interpolation,60,0.7555,-3.58
lof,LOCF,interpolation,70,0.7597,-3.04
lof,LOCF,interpolation,80,0.7667,-2.14
lof,LOCF,interpolation,90,0.768,-1.97
lof,LOCF,LOCF,50,0.7495,-4.34
lof,LOCF,LOCF,60,0.755,-3.64
lof,LOCF,LOCF,70,0.7579,-3.26
lof,LOCF,LOCF,80,0.765,-2.35
lof,LOCF,LOCF,90,0.769,-1.84
hst,drop,interpolation,50,0.7767,-0.87
hst,drop,interpolation,60,0.7779,-0.72
hst,drop,interpolation,70,0.7833,-0.03
hst,drop,interpolation,80,0.7813,-0.28
hst,drop,interpolation,90,0.7876,0.53
hst,drop,LOCF,50,0.7773,-0.8
hst,drop,LOCF,60,0.7789,-0.59
hst,drop,LOCF,70,0.7836,0.02
hst,drop,LOCF,80,0.7821,-0.18
hst,drop,LOCF,90,0.7874,0.5
hst,LOCF,interpolation,50,0.761,-2.88
hst,LOCF,interpolation,60,0.7618,-2.77
hst,LOCF,interpolation,70,0.7703,-1.69
hst,LOCF,interpolation,80,0.7689,-1.86
hst,LOCF,interpolation,90,0.7683,-1.93
hst,LOCF,LOCF,50,0.762,-2.74
hst,LOCF,LOCF,60,0.7626,-2.66
hst,LOCF,LOCF,70,0.7703,-1.69
hst,LOCF,LOCF,80,0.7696,-1.77
hst,LOCF,LOCF,90,0.7687,-1.89
