,outlier,imputation,50,60,70,80,90,100
8,none,none,-17.74,-14.36,-12.17,-8.93,-5.1,-0.0
9,z,drop,-9.29,-6.96,-4.24,-1.91,-0.8,
4,lof,drop,-15.19,-12.77,-9.24,-5.83,-2.84,
0,iforest,drop,-15.46,-13.36,-9.74,-6.53,-3.0,
7,lof,mean,-22.34,-20.04,-16.65,-12.08,-6.89,
3,iforest,mean,-24.09,-21.78,-17.72,-12.88,-7.4,
5,lof,interpolation,-27.3,-25.25,-21.42,-16.25,-9.62,
12,z,mean,-40.77,-34.53,-26.68,-18.42,-9.98,
6,lof,locf,-28.15,-26.46,-22.61,-17.11,-10.04,
1,iforest,interpolation,-30.24,-27.42,-23.31,-18.17,-10.34,
2,iforest,locf,-31.51,-28.59,-24.68,-19.05,-11.21,
10,z,interpolation,-56.03,-48.04,-38.24,-28.29,-15.8,
11,z,locf,-61.35,-53.17,-42.75,-31.71,-17.95,
