,outlier,correction,imputation,50,60,70,80,90,100
24,none,none,none,-15.66,-13.56,-10.96,-8.31,-4.78,-0.0
27,z,drop,mean,-8.27,-6.28,-4.12,-2.9,-1.48,
25,z,drop,interpolation,-10.2,-7.53,-5.04,-3.39,-1.65,
26,z,drop,locf,-11.79,-8.9,-5.93,-4.09,-1.95,
2,iforest,drop,mean,-11.75,-9.38,-6.8,-4.75,-2.39,
14,lof,drop,mean,-11.09,-9.01,-6.81,-4.57,-2.46,
0,iforest,drop,interpolation,-13.38,-10.66,-7.77,-5.18,-2.54,
12,lof,drop,interpolation,-12.72,-10.3,-7.76,-5.1,-2.63,
1,iforest,drop,locf,-14.52,-11.68,-8.52,-5.82,-2.91,
13,lof,drop,locf,-13.98,-11.25,-8.38,-5.66,-2.94,
17,lof,interpolation,mean,-16.65,-13.4,-10.55,-7.27,-3.97,
23,lof,mean,mean,-16.65,-13.4,-10.55,-7.27,-3.97,
21,lof,mean,interpolation,-18.0,-14.48,-11.4,-7.79,-4.15,
22,lof,mean,locf,-19.22,-15.46,-12.02,-8.38,-4.43,
15,lof,interpolation,interpolation,-22.12,-17.98,-14.28,-10.06,-5.18,
20,lof,locf,mean,-21.66,-17.36,-13.62,-9.88,-5.23,
5,iforest,interpolation,mean,-17.32,-14.84,-12.33,-8.71,-5.27,
11,iforest,mean,mean,-17.32,-14.84,-12.33,-8.71,-5.27,
18,lof,locf,interpolation,-23.07,-18.29,-14.48,-10.37,-5.41,
9,iforest,mean,interpolation,-18.68,-16.06,-13.16,-9.15,-5.42,
16,lof,interpolation,locf,-24.07,-19.21,-15.13,-10.97,-5.65,
19,lof,locf,locf,-24.07,-19.21,-15.13,-10.97,-5.65,
10,iforest,mean,locf,-19.77,-16.99,-13.87,-9.76,-5.69,
30,z,interpolation,mean,-26.09,-21.11,-16.32,-11.01,-6.17,
36,z,mean,mean,-26.09,-21.11,-16.32,-11.01,-6.17,
34,z,mean,interpolation,-27.19,-21.99,-17.12,-11.45,-6.31,
35,z,mean,locf,-28.49,-23.05,-17.82,-12.01,-6.57,
3,iforest,interpolation,interpolation,-23.36,-19.73,-17.07,-12.45,-7.69,
8,iforest,locf,mean,-22.82,-19.16,-16.98,-12.68,-8.14,
6,iforest,locf,interpolation,-24.28,-20.17,-17.75,-13.1,-8.27,
4,iforest,interpolation,locf,-25.24,-21.08,-18.42,-13.69,-8.59,
7,iforest,locf,locf,-25.24,-21.08,-18.42,-13.69,-8.59,
28,z,interpolation,interpolation,-37.95,-30.33,-25.41,-16.95,-9.7,
33,z,locf,mean,-41.06,-32.9,-27.12,-18.57,-10.34,
31,z,locf,interpolation,-42.32,-33.78,-27.8,-19.0,-10.54,
29,z,interpolation,locf,-43.14,-34.66,-28.26,-19.5,-10.82,
32,z,locf,locf,-43.14,-34.66,-28.26,-19.5,-10.82,
