Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;superficie_lavorativa;tipo_eser_pa;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
C-PA/1104;Via CANONICA LUIGI N. 13| (z.d. 1);SERVIZI ALLA PERSONA;Via CANONICA LUIGI;13;7121;26;Parrucchiere per uomo;20154;69;SARPI;1;917.671.262.525.867;454.776.600.425.343;45.4776600425343, 9.17671262525867
C-PA/1107;Via CENISIO N. 8| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;8;7184;26;Parrucchiere per uomo;20154;70;GHISOLFA;8;917.116.150.572;454.876.640.883;45.4876640883, 9.17116150572
C-PA/1108;Via CENISIO N. 8| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;8;7184;66;ACCONCIATORE|TIPO A - REG.2003;20154;70;GHISOLFA;8;917.116.150.572;454.876.640.883;45.4876640883, 9.17116150572
C-PA/1110;Via CENISIO N. 23| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;23;7184;;Parrucchiere per signora;20154;69;SARPI;8;916.816.873.754;454.874.067.447;45.4874067447, 9.16816873754
C-PA/1112;Via CENISIO N. 40| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;40;7184;40;Parrucchiere per signora;20155;70;GHISOLFA;8;916.514.067.484;454.878.312.545;45.4878312545, 9.16514067484
C-PA/1113;Via CENISIO N. 40| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;40;7184;16;Parrucchiere per uomo;20155;70;GHISOLFA;8;916.514.067.484;454.878.312.545;45.4878312545, 9.16514067484
C-PA/1114;Via CENISIO N. 42| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;42;7184;26;Parrucchiere per signora;20155;70;GHISOLFA;8;916.450.060.005;454.878.454.845;45.4878454845, 9.16450060005
C-PA/1115;Via CENISIO N. 53| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;53;7184;92;Parrucchiere per signora;20154;69;SARPI;8;916.349.397.527;454.875.345.662;45.4875345662, 9.16349397527
C-PA/1117;Via CENISIO N. 61| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;61;7184;36;ACCONCIATORE;20154;69;SARPI;8;916.238.134.782;454.875.586.318;45.4875586318, 9.16238134782
C-PA/1118;Via CENISIO N. 62| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;62;7184;41;Parrucchiere per signora;20154;70;GHISOLFA;8;916.026.651.382;454.879.539.861;45.4879539861, 9.16026651382
C-PA/1120;Via CENISIO num.0767| (z.d. 8);SERVIZI ALLA PERSONA;Via CENISIO;;7184;28;Parrucchiere per signora;;;;;;;
