,id,abv,ibu,beerid,name,style,brewery,ounces
0,0,0.05,,1436,Pub Beer,American Pale Lager,408,12.0
1,1,0.066,,2265,Devil's Cup,American Pale Ale (APA),177,12.0
2,2,0.071,,2264,Rise of the Phoenix,American IPA,177,12.0
3,3,0.09,,2263,Sinister,American Double / Imperial IPA,177,12.0
4,4,0.075,,2262,Sex and Candy,American IPA,177,12.0
5,5,0.077,,2261,Black Exodus,Oatmeal Stout,177,12.0
6,6,0.045,,2260,Lake Street Express,American Pale Ale (APA),177,12.0
7,7,0.065,,2259,Foreman,American Porter,177,12.0
8,8,0.055,,2258,Jade,American Pale Ale (APA),177,12.0
9,9,0.086,,2131,Cone Crusher,American Double / Imperial IPA,177,12.0
10,10,0.072,,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12.0
11,11,0.073,,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12.0
12,12,0.069,,2097,Garce Selé,Saison / Farmhouse Ale,177,12.0
13,13,0.085,,1980,Troll Destroyer,Belgian IPA,177,12.0
14,14,0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,12.0
15,15,0.06,,2318,Ginja Ninja,Cider,154,12.0
16,16,0.06,,2170,Cherried Away,Cider,154,12.0
17,17,0.06,,2169,Rhubarbarian,Cider,154,12.0
18,18,0.06,,1502,BrightCider,Cider,154,12.0
19,19,0.0819999999999999,,1593,He Said Baltic-Style Porter,Baltic Porter,368,12.0
20,20,0.0819999999999999,,1592,He Said Belgian-Style Tripel,Tripel,368,12.0
21,21,0.099,92.0,1036,Lower De Boom,American Barleywine,368,8.4
22,22,0.079,45.0,1024,Fireside Chat,Winter Warmer,368,12.0
23,23,0.079,,976,Marooned On Hog Island,American Stout,368,12.0
24,24,0.044,42.0,876,Bitter American,American Pale Ale (APA),368,12.0
25,25,0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0
26,26,0.049,17.0,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0
27,27,0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0
28,28,0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0
29,29,0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0
30,30,0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0
31,31,0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0
32,32,0.0969999999999999,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0
33,33,0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0
34,34,0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0
35,35,0.068,65.0,173,Back in Black,American Black Ale,368,12.0
36,36,0.083,35.0,11,Monk's Blood,Belgian Dark Ale,368,12.0
37,37,0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0
38,38,0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0
39,39,0.07,82.0,2519,Bimini Twist,American IPA,67,12.0
40,40,0.05,,2518,Beach Blonde,American Blonde Ale,67,12.0
41,41,0.059,,2517,Rod Bender Red,American Amber / Red Ale,67,12.0
42,42,0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0
43,43,0.045,18.0,2544,Send Help,American Blonde Ale,60,12.0
44,44,0.055,,2324,Cast Iron Oatmeal Brown,American Brown Ale,60,12.0
45,45,0.06,,2288,Reprise Centennial Red,American Amber / Red Ale,60,12.0
46,46,0.055,,2287,Alter Ego,American Black Ale,60,12.0
47,47,0.065,,2286,Divided Sky,American IPA,60,12.0
48,48,0.065,,2285,Resurrected,American IPA,60,12.0
49,49,0.039,28.0,1870,Contact High,America Wheat Ale,60,12.0
50,50,0.065,,2603,Galaxyfest,American IPA,27,16.0
51,51,0.05,45.0,2602,Citrafest,American IPA,27,16.0
52,52,0.09,,2220,Barn Yeti,Belgian Strong Dark Ale,27,16.0
53,53,0.069,65.0,2219,Scarecrow,American IPA,27,16.0
54,54,0.09,50.0,2218,Ironman,English Strong Ale,27,16.0
55,55,0.046,15.0,2217,Honey Kolsch,Kölsch,27,16.0
56,56,0.052,18.0,2216,Copperhead Amber,Belgian Dark Ale,27,16.0
57,57,0.059,75.0,972,Rude Parrot IPA,American IPA,481,16.0
58,58,0.054,30.0,866,British Pale Ale (2010),English Pale Ale,481,16.0
59,59,0.054,30.0,48,British Pale Ale,English Pale Ale,481,16.0
60,60,0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0
61,61,0.038,,1583,Wolfman's Berliner,Berliner Weissbier,373,12.0
62,62,0.055,26.0,1165,Colorado Native,American Amber / Red Lager,462,12.0
63,63,0.055,26.0,431,Colorado Native (2011),American Amber / Red Lager,462,12.0
64,64,0.065,52.0,516,Jockamo IPA,American IPA,533,12.0
65,65,0.042,13.0,515,Purple Haze,Fruit / Vegetable Beer,533,12.0
66,66,0.045,17.0,514,Abita Amber,American Amber / Red Lager,533,12.0
67,67,0.0819999999999999,68.0,2540,Citra Ass Down,American IPA,62,16.0
68,68,0.05,20.0,2539,The Brown Note,American Brown Ale,62,16.0
69,69,0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0
70,70,0.125,80.0,2685,London Balling,English Barleywine,1,16.0
71,71,0.077,25.0,2684,35 K,Milk / Sweet Stout,1,16.0
72,72,0.042,42.0,2683,A Beer,American Pale Ale (APA),1,16.0
73,73,0.05,25.0,2682,Rules are Rules,German Pilsener,1,16.0
74,74,0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0
75,75,0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0
76,76,0.055,17.0,2679,Bloody Show,American Pilsner,1,16.0
77,77,0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0
78,78,0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.0
79,79,0.065,,2676,Kamen Knuddeln,American Wild Ale,1,16.0
80,80,0.06,65.0,2675,Pile of Face,American IPA,1,16.0
81,81,0.05,20.0,2674,The Brown Note,English Brown Ale,1,16.0
82,82,0.053,35.0,1594,Maylani's Coconut Stout,American Stout,367,16.0
83,83,0.05,35.0,1162,Oatmeal PSA,American Pale Ale (APA),367,16.0
84,84,0.052,33.0,1137,Pre Flight Pilsner,American Pilsner,367,16.0
85,85,0.04,20.0,2403,P-Town Pilsner,American Pilsner,117,12.0
86,86,0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0
87,87,0.0819999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0
88,88,0.053,40.0,1921,Freeride APA,American Pale Ale (APA),270,12.0
89,89,0.053,18.0,1920,Alaskan Amber,Altbier,270,12.0
90,90,0.057,,2501,Hopalicious,American Pale Ale (APA),73,12.0
91,91,0.043,,1535,Kentucky Kölsch,Kölsch,388,16.0
92,92,0.065,,1149,Kentucky IPA,American IPA,388,16.0
93,93,0.054,,1474,Dusty Trail Pale Ale,American Pale Ale (APA),401,16.0
94,94,0.062,,1473,Damnesia,American IPA,401,16.0
95,95,0.062,43.0,837,Desolation IPA,American IPA,401,16.0
