outlier,imputation,percentage,r2,percent_diff
none,none,50,0.763,-2.61
none,none,60,0.7673,-2.07
none,none,70,0.7684,-1.93
none,none,80,0.7727,-1.38
none,none,90,0.7763,-0.91
none,none,100,0.7835,-0.0
none,mean,50,0.7672,-2.08
none,mean,60,0.7699,-1.73
none,mean,70,0.7718,-1.49
none,mean,80,0.7762,-0.94
none,mean,90,0.7782,-0.67
none,interpolation,50,0.7724,-1.42
none,interpolation,60,0.7747,-1.12
none,interpolation,70,0.7776,-0.75
none,interpolation,80,0.778,-0.69
none,interpolation,90,0.7797,-0.48
none,drop,50,0.7748,-1.1
none,drop,60,0.7745,-1.15
none,drop,70,0.7747,-1.12
none,drop,80,0.7798,-0.47
none,drop,90,0.7785,-0.64
none,LOCF,50,0.7713,-1.56
none,LOCF,60,0.7733,-1.31
none,LOCF,70,0.7759,-0.97
none,LOCF,80,0.7784,-0.65
none,LOCF,90,0.7805,-0.38
