method,percentage,precision,recall,f1
z,90,0.125,0.0001,0.0001
z,80,0.0,0.0,0.0
z,70,0.375,0.0001,0.0001
z,60,0.125,0.0,0.0
z,50,0.25,0.0,0.0001
lof,90,0.6857,0.7803,0.7299
lof,80,0.7731,0.5407,0.6363
lof,70,0.8459,0.5192,0.6434
lof,60,0.8926,0.5308,0.6657
lof,50,0.9205,0.523,0.667
iforest,90,0.7414,0.9224,0.8219
iforest,80,0.9984,0.6099,0.7572
iforest,70,1.0,0.4243,0.5958
iforest,60,1.0,0.3326,0.4991
iforest,50,1.0,0.2689,0.4239
hst,90,0.7303,0.5476,0.6254
hst,80,0.8895,0.576,0.6992
hst,70,0.9393,0.622,0.7483
hst,60,0.9364,0.6728,0.783
hst,50,0.9066,0.7214,0.8034
