method,percentage,precision,recall,f1
z,90,0.9968,0.2044,0.3393
z,80,0.9996,0.1132,0.2033
z,70,0.9998,0.0735,0.1369
z,60,0.9995,0.0384,0.074
z,50,0.9974,0.0098,0.0193
lof,90,0.6805,0.9514,0.7934
lof,80,0.7832,0.7284,0.7548
lof,70,0.8335,0.5948,0.6942
lof,60,0.8777,0.5545,0.6796
lof,50,0.9131,0.545,0.6826
iforest,90,0.5177,0.8769,0.651
iforest,80,0.8727,0.6355,0.7354
iforest,70,0.9661,0.4541,0.6178
iforest,60,0.9884,0.358,0.5257
iforest,50,0.9972,0.2998,0.461
hst,90,0.7989,0.2419,0.3713
hst,80,0.9271,0.2645,0.4116
hst,70,0.9454,0.2937,0.4482
hst,60,0.9524,0.3285,0.4885
hst,50,0.9563,0.3609,0.5241
