outlier,imputation,percentage,r2,percent_diff
z,none,50,0.7442,-5.04
z,none,60,0.7372,-5.94
z,none,70,0.7382,-5.8
z,none,80,0.7448,-4.97
z,none,90,0.754,-3.79
none,none,50,0.7489,-4.44
none,none,60,0.7526,-3.96
none,none,70,0.759,-3.15
none,none,80,0.7672,-2.11
none,none,90,0.7731,-1.35
none,none,100,0.7837,0.0
lof,none,50,0.4753,-39.35
lof,none,60,0.4589,-41.44
lof,none,70,0.5068,-35.34
lof,none,80,0.5871,-25.08
lof,none,90,0.6711,-14.37
iforest,none,50,0.2636,-66.36
iforest,none,60,0.2616,-66.62
iforest,none,70,0.2656,-66.11
iforest,none,80,0.255,-67.46
iforest,none,90,0.17,-78.31
hst,none,50,0.4855,-38.05
hst,none,60,0.5554,-29.13
hst,none,70,0.626,-20.13
hst,none,80,0.6809,-13.11
hst,none,90,0.7295,-6.92
