,outlier,imputation,50,60,70,80,90,100
12,none,none,-3.56,-3.1,-2.43,-1.8,-1.17,-0.0
1,hst,drop,25.82,22.9,19.39,15.38,12.09,
5,iforest,drop,0.62,0.75,2.35,4.81,5.22,
9,lof,drop,-1.17,-1.27,-1.17,-0.42,0.06,
14,z,drop,-3.56,-3.03,-2.44,-1.81,-1.07,
16,z,mean,-3.54,-2.99,-2.48,-1.76,-1.13,
13,z,LOCF,-3.54,-3.0,-2.48,-1.75,-1.14,
15,z,interpolation,-3.54,-3.0,-2.48,-1.75,-1.15,
10,lof,interpolation,-5.76,-5.07,-4.13,-3.03,-1.73,
8,lof,LOCF,-6.16,-5.21,-4.34,-3.55,-2.02,
3,hst,mean,-10.69,-9.56,-7.83,-5.87,-3.39,
11,lof,mean,-7.9,-6.97,-6.4,-5.53,-3.72,
2,hst,interpolation,-10.6,-9.46,-8.38,-6.96,-5.47,
0,hst,LOCF,-10.7,-9.91,-9.22,-7.88,-6.57,
6,iforest,interpolation,-7.66,-7.09,-6.96,-7.03,-7.4,
4,iforest,LOCF,-8.23,-7.56,-7.2,-7.31,-7.71,
7,iforest,mean,-12.47,-11.94,-12.1,-12.51,-12.67,
