outlier,imputation,percentage,r2,percent_diff
z,mean,50,0.3705,-49.51
z,mean,60,0.4442,-39.47
z,mean,70,0.5183,-29.37
z,mean,80,0.5882,-19.85
z,mean,90,0.6511,-11.28
z,interpolation,50,0.373,-49.18
z,interpolation,60,0.4531,-38.26
z,interpolation,70,0.5335,-27.31
z,interpolation,80,0.6067,-17.33
z,interpolation,90,0.6686,-8.9
z,drop,50,0.3755,-48.84
z,drop,60,0.4562,-37.84
z,drop,70,0.5382,-26.67
z,drop,80,0.6102,-16.86
z,drop,90,0.6699,-8.72
z,LOCF,50,0.3729,-49.2
z,LOCF,60,0.4529,-38.28
z,LOCF,70,0.534,-27.24
z,LOCF,80,0.6069,-17.3
z,LOCF,90,0.6686,-8.9
none,none,50,0.3722,-49.28
none,none,60,0.4476,-39.01
none,none,70,0.5247,-28.51
none,none,80,0.5984,-18.46
none,none,90,0.6701,-8.69
none,none,100,0.7339,0.0
lof,mean,50,0.2174,-70.38
lof,mean,60,0.2822,-61.55
lof,mean,70,0.3873,-47.23
lof,mean,80,0.5026,-31.52
lof,mean,90,0.6002,-18.22
lof,interpolation,50,0.459,-37.46
lof,interpolation,60,0.5566,-24.16
lof,interpolation,70,0.68,-7.35
lof,interpolation,80,0.7081,-3.52
lof,interpolation,90,0.7173,-2.26
lof,drop,50,0.5038,-31.35
lof,drop,60,0.5739,-21.8
lof,drop,70,0.6621,-9.78
lof,drop,80,0.7487,2.02
lof,drop,90,0.7471,1.8
lof,LOCF,50,0.4641,-36.76
lof,LOCF,60,0.5613,-23.52
lof,LOCF,70,0.6885,-6.19
lof,LOCF,80,0.7153,-2.53
lof,LOCF,90,0.723,-1.48
iforest,mean,50,0.0,-100.0
iforest,mean,60,0.0,-100.0
iforest,mean,70,0.0,-100.0
iforest,mean,80,0.0,-100.0
iforest,mean,90,0.0,-100.0
iforest,interpolation,50,0.5078,-30.81
iforest,interpolation,60,0.4701,-35.95
iforest,interpolation,70,0.4312,-41.25
iforest,interpolation,80,0.3617,-50.71
iforest,interpolation,90,0.2576,-64.91
iforest,drop,50,0.6226,-15.17
iforest,drop,60,0.6719,-8.45
iforest,drop,70,0.665,-9.39
iforest,drop,80,0.6786,-7.54
iforest,drop,90,0.6865,-6.46
iforest,LOCF,50,0.5712,-22.17
iforest,LOCF,60,0.5374,-26.77
iforest,LOCF,70,0.497,-32.28
iforest,LOCF,80,0.4309,-41.28
iforest,LOCF,90,0.3398,-53.7
hst,mean,50,0.1429,-80.54
hst,mean,60,0.2844,-61.24
hst,mean,70,0.4176,-43.1
hst,mean,80,0.5372,-26.81
hst,mean,90,0.6354,-13.43
hst,interpolation,50,0.5232,-28.71
hst,interpolation,60,0.5724,-22.01
hst,interpolation,70,0.6079,-17.17
hst,interpolation,80,0.6473,-11.8
hst,interpolation,90,0.6866,-6.44
hst,drop,50,0.5422,-26.12
hst,drop,60,0.5855,-20.21
hst,drop,70,0.6215,-15.31
hst,drop,80,0.6559,-10.63
hst,drop,90,0.6955,-5.23
hst,LOCF,50,0.5392,-26.53
hst,LOCF,60,0.5788,-21.13
hst,LOCF,70,0.614,-16.34
hst,LOCF,80,0.6496,-11.49
hst,LOCF,90,0.6881,-6.24
