outlier,correction,imputation,percentage,r2,percent_diff
z,drop,interpolation,50,0.765,-2.36
z,drop,interpolation,60,0.7687,-1.88
z,drop,interpolation,70,0.7719,-1.48
z,drop,interpolation,80,0.7762,-0.93
z,drop,interpolation,90,0.7786,-0.62
z,drop,LOCF,50,0.7633,-2.58
z,drop,LOCF,60,0.7675,-2.04
z,drop,LOCF,70,0.7709,-1.61
z,drop,LOCF,80,0.7752,-1.06
z,drop,LOCF,90,0.7779,-0.71
z,LOCF,interpolation,50,0.7645,-2.42
z,LOCF,interpolation,60,0.7674,-2.05
z,LOCF,interpolation,70,0.7722,-1.44
z,LOCF,interpolation,80,0.7758,-0.99
z,LOCF,interpolation,90,0.7779,-0.72
z,LOCF,LOCF,50,0.7636,-2.54
z,LOCF,LOCF,60,0.7674,-2.05
z,LOCF,LOCF,70,0.7704,-1.67
z,LOCF,LOCF,80,0.7751,-1.07
z,LOCF,LOCF,90,0.7781,-0.68
none,none,none,50,0.7591,-3.11
none,none,none,60,0.7641,-2.48
none,none,none,70,0.7674,-2.05
none,none,none,80,0.7723,-1.43
none,none,none,90,0.7758,-0.98
none,none,none,100,0.7835,-0.0
lof,drop,interpolation,50,0.7722,-1.44
lof,drop,interpolation,60,0.7752,-1.06
lof,drop,interpolation,70,0.7786,-0.63
lof,drop,interpolation,80,0.7819,-0.2
lof,drop,interpolation,90,0.7826,-0.11
lof,drop,LOCF,50,0.7702,-1.7
lof,drop,LOCF,60,0.7754,-1.03
lof,drop,LOCF,70,0.7787,-0.61
lof,drop,LOCF,80,0.7823,-0.15
lof,drop,LOCF,90,0.783,-0.06
lof,LOCF,interpolation,50,0.7458,-4.81
lof,LOCF,interpolation,60,0.7517,-4.06
lof,LOCF,interpolation,70,0.758,-3.25
lof,LOCF,interpolation,80,0.767,-2.1
lof,LOCF,interpolation,90,0.773,-1.34
lof,LOCF,LOCF,50,0.7459,-4.8
lof,LOCF,LOCF,60,0.7499,-4.29
lof,LOCF,LOCF,70,0.7573,-3.34
lof,LOCF,LOCF,80,0.7644,-2.43
lof,LOCF,LOCF,90,0.7725,-1.4
hst,drop,interpolation,50,0.7657,-2.27
hst,drop,interpolation,60,0.7685,-1.91
hst,drop,interpolation,70,0.7727,-1.37
hst,drop,interpolation,80,0.7753,-1.05
hst,drop,interpolation,90,0.7771,-0.81
hst,drop,LOCF,50,0.765,-2.36
hst,drop,LOCF,60,0.7682,-1.95
hst,drop,LOCF,70,0.7712,-1.57
hst,drop,LOCF,80,0.7748,-1.1
hst,drop,LOCF,90,0.7773,-0.79
hst,LOCF,interpolation,50,0.761,-2.87
hst,LOCF,interpolation,60,0.7666,-2.15
hst,LOCF,interpolation,70,0.7704,-1.67
hst,LOCF,interpolation,80,0.7744,-1.15
hst,LOCF,interpolation,90,0.7758,-0.98
hst,LOCF,LOCF,50,0.7612,-2.84
hst,LOCF,LOCF,60,0.7656,-2.28
hst,LOCF,LOCF,70,0.77,-1.72
hst,LOCF,LOCF,80,0.7735,-1.27
hst,LOCF,LOCF,90,0.7754,-1.03
