,outlier,correction,imputation,50,60,70,80,90,100
8,none,none,none,-3.11,-2.48,-2.05,-1.43,-0.98,-0.0
6,lof,drop,LOCF,-1.7,-1.03,-0.61,-0.15,-0.06,
7,lof,drop,interpolation,-1.44,-1.06,-0.63,-0.2,-0.11,
12,z,drop,interpolation,-2.36,-1.88,-1.48,-0.93,-0.62,
9,z,LOCF,LOCF,-2.54,-2.05,-1.67,-1.07,-0.68,
11,z,drop,LOCF,-2.58,-2.04,-1.61,-1.06,-0.71,
10,z,LOCF,interpolation,-2.42,-2.05,-1.44,-0.99,-0.72,
2,hst,drop,LOCF,-2.36,-1.95,-1.57,-1.1,-0.79,
3,hst,drop,interpolation,-2.27,-1.91,-1.37,-1.05,-0.81,
1,hst,LOCF,interpolation,-2.87,-2.15,-1.67,-1.15,-0.98,
0,hst,LOCF,LOCF,-2.84,-2.28,-1.72,-1.27,-1.03,
5,lof,LOCF,interpolation,-4.81,-4.06,-3.25,-2.1,-1.34,
4,lof,LOCF,LOCF,-4.8,-4.29,-3.34,-2.43,-1.4,
