,outlier,correction,imputation,50,60,70,80,90,100
24,none,none,none,-15.66,-13.56,-10.96,-8.31,-4.78,-0.0
27,z,drop,mean,-8.21,-6.28,-4.06,-2.89,-1.43,
25,z,drop,interpolation,-10.17,-7.6,-5.02,-3.4,-1.56,
26,z,drop,locf,-11.68,-8.75,-5.77,-4.05,-1.88,
2,iforest,drop,mean,-11.63,-9.28,-6.83,-4.73,-2.37,
14,lof,drop,mean,-11.09,-9.03,-6.75,-4.56,-2.47,
0,iforest,drop,interpolation,-13.31,-10.58,-7.6,-5.29,-2.56,
12,lof,drop,interpolation,-12.85,-10.34,-7.64,-5.08,-2.58,
13,lof,drop,locf,-13.96,-11.28,-8.37,-5.72,-2.84,
1,iforest,drop,locf,-14.46,-11.48,-8.5,-5.9,-2.93,
17,lof,interpolation,mean,-16.39,-13.25,-10.42,-7.16,-3.89,
23,lof,mean,mean,-16.61,-13.33,-10.52,-7.29,-3.95,
15,lof,interpolation,interpolation,-17.77,-14.35,-11.21,-7.71,-4.05,
21,lof,mean,interpolation,-18.13,-14.58,-11.37,-7.84,-4.14,
16,lof,interpolation,locf,-19.03,-15.36,-12.0,-8.4,-4.36,
22,lof,mean,locf,-19.3,-15.58,-12.08,-8.47,-4.4,
5,iforest,interpolation,mean,-17.46,-14.86,-12.04,-8.27,-4.74,
11,iforest,mean,mean,-17.82,-15.18,-12.25,-8.39,-4.82,
3,iforest,interpolation,interpolation,-19.11,-16.28,-12.9,-8.81,-4.94,
9,iforest,mean,interpolation,-19.54,-16.62,-13.12,-8.93,-5.0,
20,lof,locf,mean,-21.5,-17.26,-13.64,-9.86,-5.22,
4,iforest,interpolation,locf,-20.1,-16.97,-13.64,-9.35,-5.28,
10,iforest,mean,locf,-20.51,-17.28,-13.8,-9.48,-5.33,
18,lof,locf,interpolation,-22.72,-18.23,-14.41,-10.41,-5.4,
19,lof,locf,locf,-24.13,-19.14,-15.02,-10.89,-5.64,
30,z,interpolation,mean,-26.02,-21.01,-16.39,-10.98,-6.1,
36,z,mean,mean,-26.18,-21.16,-16.38,-11.03,-6.18,
28,z,interpolation,interpolation,-27.97,-22.59,-17.49,-11.62,-6.32,
34,z,mean,interpolation,-28.34,-22.84,-17.51,-11.58,-6.36,
29,z,interpolation,locf,-29.19,-23.32,-18.14,-12.09,-6.63,
35,z,mean,locf,-29.45,-23.66,-18.12,-12.09,-6.72,
8,iforest,locf,mean,-23.76,-19.44,-16.86,-12.16,-7.22,
6,iforest,locf,interpolation,-25.38,-20.8,-17.66,-12.55,-7.43,
7,iforest,locf,locf,-26.28,-21.62,-18.47,-13.11,-7.74,
33,z,locf,mean,-40.98,-32.88,-27.0,-18.49,-10.26,
31,z,locf,interpolation,-42.77,-34.01,-28.16,-19.02,-10.63,
32,z,locf,locf,-44.06,-35.06,-28.85,-19.61,-11.0,
